Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,102.24976223919923,2021,3,17,2021-03,1
2021-03-18,102.36560070868521,2021,3,18,2021-03,1
2021-03-19,102.61094519601934,2021,3,19,2021-03,1
2021-03-20,103.73775416531723,2021,3,20,2021-03,1
2021-03-21,106.84981937124323,2021,3,21,2021-03,1
2021-03-22,101.90232369765364,2021,3,22,2021-03,1
2021-03-23,101.05806908678538,2021,3,23,2021-03,1
2021-03-24,101.99172923996204,2021,3,24,2021-03,1
2021-03-25,102.57541780700156,2021,3,25,2021-03,1
2021-03-26,102.6815677013023,2021,3,26,2021-03,1
2021-03-27,102.72861675784834,2021,3,27,2021-03,1
2021-03-28,105.89522494055427,2021,3,28,2021-03,1
2021-03-29,102.78867014721075,2021,3,29,2021-03,1
2021-03-30,102.64496902569067,2021,3,30,2021-03,1
2021-03-31,102.91642415107486,2021,3,31,2021-03,1
2021-04-01,102.52993491393953,2021,4,1,2021-04,2
2021-04-02,102.40534359528498,2021,4,2,2021-04,2
2021-04-03,102.7839916536069,2021,4,3,2021-04,2
2021-04-04,104.79091472879828,2021,4,4,2021-04,2
2021-04-05,102.26838526904865,2021,4,5,2021-04,2
2021-04-06,101.44684670259522,2021,4,6,2021-04,2
2021-04-07,102.45645321400994,2021,4,7,2021-04,2
2021-04-08,103.29283644231406,2021,4,8,2021-04,2
2021-04-09,102.28066469622917,2021,4,9,2021-04,2
2021-04-10,102.39654616209243,2021,4,10,2021-04,2
2021-04-11,103.01698035291159,2021,4,11,2021-04,2
2021-04-12,103.44396131369493,2021,4,12,2021-04,2
2021-04-13,104.24359219922785,2021,4,13,2021-04,2
2021-04-14,104.2950386419879,2021,4,14,2021-04,2
2021-04-15,102.24459715405051,2021,4,15,2021-04,2
2021-04-16,102.8111827322985,2021,4,16,2021-04,2
2021-04-17,104.40047541296171,2021,4,17,2021-04,2
2021-04-18,102.6911373618339,2021,4,18,2021-04,2
2021-04-19,102.08172796644727,2021,4,19,2021-04,2
2021-04-20,102.7072337146784,2021,4,20,2021-04,2
2021-04-21,102.66923723315266,2021,4,21,2021-04,2
2021-04-22,103.05037509714059,2021,4,22,2021-04,2
2021-04-23,103.27614724993926,2021,4,23,2021-04,2
2021-04-24,104.03845624967285,2021,4,24,2021-04,2
2021-04-25,104.358434982998,2021,4,25,2021-04,2
2021-04-26,103.62524472869545,2021,4,26,2021-04,2
2021-04-27,103.90023816520385,2021,4,27,2021-04,2
2021-04-28,105.0602380699638,2021,4,28,2021-04,2
2021-04-29,104.82490402178655,2021,4,29,2021-04,2
2021-04-30,101.84630176474248,2021,4,30,2021-04,2
2021-05-01,102.65569835158855,2021,5,1,2021-05,3
2021-05-02,102.83012699431282,2021,5,2,2021-05,3
2021-05-03,100.85546557683128,2021,5,3,2021-05,3
2021-05-04,101.53526222512959,2021,5,4,2021-05,3
2021-05-05,103.62738073622776,2021,5,5,2021-05,3
2021-05-06,102.06113094373119,2021,5,6,2021-05,3
2021-05-07,103.16325342627518,2021,5,7,2021-05,3
2021-05-08,103.44744078698001,2021,5,8,2021-05,3
2021-05-09,104.13789855183396,2021,5,9,2021-05,3
2021-05-10,103.6620285190699,2021,5,10,2021-05,3
2021-05-11,103.65350793174655,2021,5,11,2021-05,3
2021-05-12,103.851314820326,2021,5,12,2021-05,3
2021-05-13,104.00110514371632,2021,5,13,2021-05,3
2021-05-14,104.57561381298922,2021,5,14,2021-05,3
2021-05-15,104.63909527916404,2021,5,15,2021-05,3
2021-05-16,104.96685707870245,2021,5,16,2021-05,3
2021-05-17,106.5641196798065,2021,5,17,2021-05,3
2021-05-18,105.0735945893174,2021,5,18,2021-05,3
2021-05-19,102.63507597493917,2021,5,19,2021-05,3
2021-05-20,102.52520459220335,2021,5,20,2021-05,3
2021-05-21,102.9454656623972,2021,5,21,2021-05,3
2021-05-22,103.18255924589083,2021,5,22,2021-05,3
2021-05-23,100.07058767580708,2021,5,23,2021-05,3
2021-05-24,101.16957842391304,2021,5,24,2021-05,3
2021-05-25,103.01536841601518,2021,5,25,2021-05,3
2021-05-26,100.90355989515986,2021,5,26,2021-05,3
2021-05-27,103.46503531222359,2021,5,27,2021-05,3
2021-05-28,100.86821012657538,2021,5,28,2021-05,3
2021-05-29,101.81929536703774,2021,5,29,2021-05,3
2021-05-30,102.04256931948039,2021,5,30,2021-05,3
2021-05-31,102.92136906863509,2021,5,31,2021-05,3
2021-06-01,102.34132382173263,2021,6,1,2021-06,4
2021-06-02,102.80426343114819,2021,6,2,2021-06,4
2021-06-03,103.27219604502007,2021,6,3,2021-06,4
2021-06-04,105.50322532698677,2021,6,4,2021-06,4
2021-06-05,100.73632637688105,2021,6,5,2021-06,4
2021-06-06,101.59654199917216,2021,6,6,2021-06,4
2021-06-07,102.40022536410598,2021,6,7,2021-06,4
2021-06-08,102.71114519406193,2021,6,8,2021-06,4
2021-06-09,102.68457110860214,2021,6,9,2021-06,4
2021-06-10,103.266781086828,2021,6,10,2021-06,4
2021-06-11,103.41134204578071,2021,6,11,2021-06,4
2021-06-12,103.6493869689063,2021,6,12,2021-06,4
2021-06-13,104.96044144003149,2021,6,13,2021-06,4
2021-06-14,103.96393597392368,2021,6,14,2021-06,4
2021-06-15,104.38231978013324,2021,6,15,2021-06,4
2021-06-16,103.96106893277049,2021,6,16,2021-06,4
2021-06-17,102.16832596645972,2021,6,17,2021-06,4
2021-06-18,103.14717969052708,2021,6,18,2021-06,4
2021-06-19,104.13895766910504,2021,6,19,2021-06,4
2021-06-20,101.05807062587255,2021,6,20,2021-06,4
2021-06-21,101.82320922173645,2021,6,21,2021-06,4
2021-06-22,102.56562478291633,2021,6,22,2021-06,4
2021-06-23,102.08709654105778,2021,6,23,2021-06,4
2021-06-24,101.87847598948777,2021,6,24,2021-06,4
2021-06-25,101.06194548217921,2021,6,25,2021-06,4
2021-06-26,101.61629231413716,2021,6,26,2021-06,4
2021-06-27,102.03700039970899,2021,6,27,2021-06,4
2021-06-28,102.43591564437037,2021,6,28,2021-06,4
2021-06-29,101.46751837048915,2021,6,29,2021-06,4
2021-06-30,100.1693393051863,2021,6,30,2021-06,4
2021-07-01,100.984427636331,2021,7,1,2021-07,5
2021-07-02,100.67084668358406,2021,7,2,2021-07,5
2021-07-03,100.09006394762987,2021,7,3,2021-07,5
2021-07-04,100.51769443117932,2021,7,4,2021-07,5
2021-07-05,101.34799353482799,2021,7,5,2021-07,5
2021-07-06,100.87674826210561,2021,7,6,2021-07,5
2021-07-07,102.16864193306598,2021,7,7,2021-07,5
2021-07-08,99.97337520597144,2021,7,8,2021-07,5
2021-07-09,101.41507925441562,2021,7,9,2021-07,5
2021-07-10,100.60990842572956,2021,7,10,2021-07,5
2021-07-11,101.62508855187109,2021,7,11,2021-07,5
2021-07-12,100.62868871689227,2021,7,12,2021-07,5
2021-07-13,100.49737843829884,2021,7,13,2021-07,5
2021-07-14,99.87909817311434,2021,7,14,2021-07,5
2021-07-15,100.23579409327391,2021,7,15,2021-07,5
2021-07-16,100.77881933821898,2021,7,16,2021-07,5
2021-07-17,101.62831787351658,2021,7,17,2021-07,5
2021-07-18,102.50667065397091,2021,7,18,2021-07,5
2021-07-19,103.18236491381207,2021,7,19,2021-07,5
2021-07-20,103.6632556493048,2021,7,20,2021-07,5
2021-07-21,103.91607911613207,2021,7,21,2021-07,5
2021-07-22,103.79981910797034,2021,7,22,2021-07,5
2021-07-23,103.60925534742643,2021,7,23,2021-07,5
2021-07-24,103.39191217803864,2021,7,24,2021-07,5
2021-07-25,103.53318254487672,2021,7,25,2021-07,5
2021-07-26,103.61066776085005,2021,7,26,2021-07,5
2021-07-27,100.61253174432944,2021,7,27,2021-07,5
2021-07-28,100.92761156799827,2021,7,28,2021-07,5
2021-07-29,101.05198338871993,2021,7,29,2021-07,5
2021-07-30,100.40020486585722,2021,7,30,2021-07,5
2021-07-31,100.66815421968735,2021,7,31,2021-07,5
2021-08-01,101.27129839424259,2021,8,1,2021-08,6
2021-08-02,101.15088359750884,2021,8,2,2021-08,6
2021-08-03,101.55923141273159,2021,8,3,2021-08,6
2021-08-04,102.6407263030715,2021,8,4,2021-08,6
2021-08-05,102.82157958871869,2021,8,5,2021-08,6
2021-08-06,102.95718016338166,2021,8,6,2021-08,6
2021-08-07,102.87004129078308,2021,8,7,2021-08,6
2021-08-08,101.71626316725468,2021,8,8,2021-08,6
2021-08-09,100.26047618822365,2021,8,9,2021-08,6
2021-08-10,100.43019569257311,2021,8,10,2021-08,6
2021-08-11,100.97330712681777,2021,8,11,2021-08,6
2021-08-12,100.74852526138851,2021,8,12,2021-08,6
2021-08-13,102.32262169136108,2021,8,13,2021-08,6
2021-08-14,102.54126611969279,2021,8,14,2021-08,6
2021-08-15,100.3128210736686,2021,8,15,2021-08,6
2021-08-16,97.99539631820937,2021,8,16,2021-08,6
2021-08-17,99.06828606166303,2021,8,17,2021-08,6
