Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,60.293402777777786,2021,3,17,2021-03,1
2021-03-18,60.48784722222222,2021,3,18,2021-03,1
2021-03-19,60.55574980574981,2021,3,19,2021-03,1
2021-03-20,61.84895833333334,2021,3,20,2021-03,1
2021-03-21,67.76041666666666,2021,3,21,2021-03,1
2021-03-22,60.28645833333333,2021,3,22,2021-03,1
2021-03-23,59.935763888888886,2021,3,23,2021-03,1
2021-03-24,60.236111111111114,2021,3,24,2021-03,1
2021-03-25,60.63368055555556,2021,3,25,2021-03,1
2021-03-26,60.03472222222223,2021,3,26,2021-03,1
2021-03-27,60.50868055555556,2021,3,27,2021-03,1
2021-03-28,65.56423611111111,2021,3,28,2021-03,1
2021-03-29,60.15972222222223,2021,3,29,2021-03,1
2021-03-30,61.02604166666667,2021,3,30,2021-03,1
2021-03-31,59.953125,2021,3,31,2021-03,1
2021-04-01,60.10763888888889,2021,4,1,2021-04,2
2021-04-02,59.828125,2021,4,2,2021-04,2
2021-04-03,59.90277777777778,2021,4,3,2021-04,2
2021-04-04,62.69897290209791,2021,4,4,2021-04,2
2021-04-05,59.609375,2021,4,5,2021-04,2
2021-04-06,61.984375,2021,4,6,2021-04,2
2021-04-07,59.63194444444444,2021,4,7,2021-04,2
2021-04-08,59.90451388888889,2021,4,8,2021-04,2
2021-04-09,59.74131944444444,2021,4,9,2021-04,2
2021-04-10,59.94965277777777,2021,4,10,2021-04,2
2021-04-11,60.10243055555556,2021,4,11,2021-04,2
2021-04-12,60.138888888888886,2021,4,12,2021-04,2
2021-04-13,62.05555555555555,2021,4,13,2021-04,2
2021-04-14,60.48784722222223,2021,4,14,2021-04,2
2021-04-15,59.796875,2021,4,15,2021-04,2
2021-04-16,61.94618055555556,2021,4,16,2021-04,2
2021-04-17,65.36631944444444,2021,4,17,2021-04,2
2021-04-18,60.17708333333333,2021,4,18,2021-04,2
2021-04-19,60.015625,2021,4,19,2021-04,2
2021-04-20,60.458333333333336,2021,4,20,2021-04,2
2021-04-21,60.184027777777786,2021,4,21,2021-04,2
2021-04-22,60.26909722222223,2021,4,22,2021-04,2
2021-04-23,60.154513888888886,2021,4,23,2021-04,2
2021-04-24,60.159722222222214,2021,4,24,2021-04,2
2021-04-25,60.420138888888886,2021,4,25,2021-04,2
2021-04-26,60.18055555555556,2021,4,26,2021-04,2
2021-04-27,60.59375,2021,4,27,2021-04,2
2021-04-28,61.47569444444444,2021,4,28,2021-04,2
2021-04-29,62.53993055555556,2021,4,29,2021-04,2
2021-04-30,59.71180555555556,2021,4,30,2021-04,2
2021-05-01,61.98784722222222,2021,5,1,2021-05,3
2021-05-02,60.38368055555556,2021,5,2,2021-05,3
2021-05-03,59.80902777777777,2021,5,3,2021-05,3
2021-05-04,60.302083333333336,2021,5,4,2021-05,3
2021-05-05,63.93229166666667,2021,5,5,2021-05,3
2021-05-06,59.84375,2021,5,6,2021-05,3
2021-05-07,62.52604166666667,2021,5,7,2021-05,3
2021-05-08,59.777777777777786,2021,5,8,2021-05,3
2021-05-09,60.090277777777786,2021,5,9,2021-05,3
2021-05-10,59.94791666666666,2021,5,10,2021-05,3
2021-05-11,60.388888888888886,2021,5,11,2021-05,3
2021-05-12,63.79340277777778,2021,5,12,2021-05,3
2021-05-13,62.22743055555556,2021,5,13,2021-05,3
2021-05-14,59.75,2021,5,14,2021-05,3
2021-05-15,59.9375,2021,5,15,2021-05,3
2021-05-16,61.484375,2021,5,16,2021-05,3
2021-05-17,61.08159722222223,2021,5,17,2021-05,3
2021-05-18,61.88020833333334,2021,5,18,2021-05,3
2021-05-19,64.08333333333333,2021,5,19,2021-05,3
2021-05-20,63.86979166666667,2021,5,20,2021-05,3
2021-05-21,61.61458333333333,2021,5,21,2021-05,3
2021-05-22,59.939236111111114,2021,5,22,2021-05,3
2021-05-23,59.75694444444445,2021,5,23,2021-05,3
2021-05-24,62.96701388888889,2021,5,24,2021-05,3
2021-05-25,59.62152777777777,2021,5,25,2021-05,3
2021-05-26,59.81597222222223,2021,5,26,2021-05,3
2021-05-27,66.65972222222223,2021,5,27,2021-05,3
2021-05-28,59.58680555555556,2021,5,28,2021-05,3
2021-05-29,60.03993055555556,2021,5,29,2021-05,3
2021-05-30,60.13888888888889,2021,5,30,2021-05,3
2021-05-31,60.18229166666667,2021,5,31,2021-05,3
2021-06-01,60.30729166666667,2021,6,1,2021-06,4
2021-06-02,60.20312500000001,2021,6,2,2021-06,4
2021-06-03,60.84027777777778,2021,6,3,2021-06,4
2021-06-04,64.97569444444444,2021,6,4,2021-06,4
2021-06-05,59.902777777777786,2021,6,5,2021-06,4
2021-06-06,60.68055555555556,2021,6,6,2021-06,4
2021-06-07,60.59722222222223,2021,6,7,2021-06,4
2021-06-08,60.69444444444445,2021,6,8,2021-06,4
2021-06-09,60.284722222222214,2021,6,9,2021-06,4
2021-06-10,60.46354166666666,2021,6,10,2021-06,4
2021-06-11,60.036458333333336,2021,6,11,2021-06,4
2021-06-12,60.15625,2021,6,12,2021-06,4
2021-06-13,60.61805555555556,2021,6,13,2021-06,4
2021-06-14,61.00520833333334,2021,6,14,2021-06,4
2021-06-15,61.78819444444444,2021,6,15,2021-06,4
2021-06-16,62.49131944444444,2021,6,16,2021-06,4
2021-06-17,59.328125,2021,6,17,2021-06,4
2021-06-18,60.545138888888886,2021,6,18,2021-06,4
2021-06-19,63.63541666666667,2021,6,19,2021-06,4
2021-06-20,59.446180555555564,2021,6,20,2021-06,4
2021-06-21,59.704861111111114,2021,6,21,2021-06,4
2021-06-22,59.895833333333336,2021,6,22,2021-06,4
2021-06-23,60.496527777777786,2021,6,23,2021-06,4
2021-06-24,60.291666666666664,2021,6,24,2021-06,4
2021-06-25,60.168402777777786,2021,6,25,2021-06,4
2021-06-26,60.15104166666667,2021,6,26,2021-06,4
2021-06-27,60.204861111111114,2021,6,27,2021-06,4
2021-06-28,60.89409722222222,2021,6,28,2021-06,4
2021-06-29,60.49652777777777,2021,6,29,2021-06,4
2021-06-30,60.949264277389275,2021,6,30,2021-06,4
2021-07-01,66.01909722222223,2021,7,1,2021-07,5
