Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,38.65277777777778,2021,3,17,2021-03,1
2021-03-18,38.925925925925924,2021,3,18,2021-03,1
2021-03-19,38.96957671957672,2021,3,19,2021-03,1
2021-03-20,41.135582010582006,2021,3,20,2021-03,1
2021-03-21,46.38921957671958,2021,3,21,2021-03,1
2021-03-22,40.40906084656085,2021,3,22,2021-03,1
2021-03-23,41.718452380952385,2021,3,23,2021-03,1
2021-03-24,44.48860471539043,2021,3,24,2021-03,1
2021-03-25,44.47255291005291,2021,3,25,2021-03,1
2021-03-26,44.407738095238095,2021,3,26,2021-03,1
2021-03-27,44.922288359788354,2021,3,27,2021-03,1
2021-03-28,47.97056878306879,2021,3,28,2021-03,1
2021-03-29,44.761904761904766,2021,3,29,2021-03,1
2021-03-30,44.782407407407405,2021,3,30,2021-03,1
2021-03-31,44.5621693121693,2021,3,31,2021-03,1
2021-04-01,44.67427248677249,2021,4,1,2021-04,2
2021-04-02,44.87400793650794,2021,4,2,2021-04,2
2021-04-03,44.46329365079365,2021,4,3,2021-04,2
2021-04-04,48.66807498057498,2021,4,4,2021-04,2
2021-04-05,43.90277777777777,2021,4,5,2021-04,2
2021-04-06,43.941798941798936,2021,4,6,2021-04,2
2021-04-07,43.76223544973544,2021,4,7,2021-04,2
2021-04-08,44.659060846560855,2021,4,8,2021-04,2
2021-04-09,43.6415343915344,2021,4,9,2021-04,2
2021-04-10,44.07738095238095,2021,4,10,2021-04,2
2021-04-11,45.27744708994709,2021,4,11,2021-04,2
2021-04-12,44.48776455026455,2021,4,12,2021-04,2
2021-04-13,45.93849206349207,2021,4,13,2021-04,2
2021-04-14,45.504298941798936,2021,4,14,2021-04,2
2021-04-15,43.84953703703704,2021,4,15,2021-04,2
2021-04-16,44.61210317460317,2021,4,16,2021-04,2
2021-04-17,48.79828042328042,2021,4,17,2021-04,2
2021-04-18,45.411375661375665,2021,4,18,2021-04,2
2021-04-19,44.392857142857146,2021,4,19,2021-04,2
2021-04-20,44.78571428571428,2021,4,20,2021-04,2
2021-04-21,44.16170634920635,2021,4,21,2021-04,2
2021-04-22,44.269179894179885,2021,4,22,2021-04,2
2021-04-23,44.34755291005291,2021,4,23,2021-04,2
2021-04-24,45.24900793650794,2021,4,24,2021-04,2
