Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,58.33131720430108,2021,3,17,2021-03,1
2021-03-18,58.67876344086022,2021,3,18,2021-03,1
2021-03-19,58.50134408602151,2021,3,19,2021-03,1
2021-03-20,62.83221326164873,2021,3,20,2021-03,1
2021-03-21,63.61895161290322,2021,3,21,2021-03,1
2021-03-22,58.13776881720429,2021,3,22,2021-03,1
2021-03-23,58.12096774193548,2021,3,23,2021-03,1
2021-03-24,58.288082437275975,2021,3,24,2021-03,1
2021-03-25,58.17405913978494,2021,3,25,2021-03,1
2021-03-26,58.42159498207885,2021,3,26,2021-03,1
2021-03-27,59.44807723638369,2021,3,27,2021-03,1
2021-03-28,66.22580645161291,2021,3,28,2021-03,1
2021-03-29,58.59834229390682,2021,3,29,2021-03,1
2021-03-30,58.773073476702514,2021,3,30,2021-03,1
2021-03-31,58.63306451612904,2021,3,31,2021-03,1
2021-04-01,58.74171146953405,2021,4,1,2021-04,2
2021-04-02,58.43145161290322,2021,4,2,2021-04,2
2021-04-03,58.485887096774206,2021,4,3,2021-04,2
2021-04-04,61.044281211619904,2021,4,4,2021-04,2
2021-04-05,57.60035842293905,2021,4,5,2021-04,2
2021-04-06,57.816532258064505,2021,4,6,2021-04,2
2021-04-07,58.54525089605736,2021,4,7,2021-04,2
2021-04-08,58.7959229390681,2021,4,8,2021-04,2
2021-04-09,58.57795698924731,2021,4,9,2021-04,2
2021-04-10,58.39068100358425,2021,4,10,2021-04,2
2021-04-11,58.633512544802876,2021,4,11,2021-04,2
2021-04-12,61.27643369175625,2021,4,12,2021-04,2
2021-04-13,60.994623655913976,2021,4,13,2021-04,2
2021-04-14,58.1480734767025,2021,4,14,2021-04,2
2021-04-15,58.51881720430108,2021,4,15,2021-04,2
2021-04-16,59.01568100358423,2021,4,16,2021-04,2
2021-04-17,60.3747759856631,2021,4,17,2021-04,2
2021-04-18,58.68906810035841,2021,4,18,2021-04,2
2021-04-19,58.699596774193544,2021,4,19,2021-04,2
2021-04-20,58.372311827956985,2021,4,20,2021-04,2
2021-04-21,58.65770609318997,2021,4,21,2021-04,2
2021-04-22,59.20340501792114,2021,4,22,2021-04,2
2021-04-23,59.29793906810034,2021,4,23,2021-04,2
2021-04-24,58.848566308243726,2021,4,24,2021-04,2
2021-04-25,58.50291218637993,2021,4,25,2021-04,2
2021-04-26,58.373431899641574,2021,4,26,2021-04,2
2021-04-27,58.81227598566307,2021,4,27,2021-04,2
2021-04-28,60.28382616487456,2021,4,28,2021-04,2
2021-04-29,61.97625448028672,2021,4,29,2021-04,2
2021-04-30,58.904345878136226,2021,4,30,2021-04,2
2021-05-01,59.23521505376344,2021,5,1,2021-05,3
2021-05-02,58.51724910394264,2021,5,2,2021-05,3
2021-05-03,58.42025089605733,2021,5,3,2021-05,3
2021-05-04,59.16308243727599,2021,5,4,2021-05,3
2021-05-05,62.54749103942653,2021,5,5,2021-05,3
2021-05-06,57.98700716845877,2021,5,6,2021-05,3
2021-05-07,59.16252125514491,2021,5,7,2021-05,3
2021-05-08,58.8801523297491,2021,5,8,2021-05,3
2021-05-09,58.84565412186381,2021,5,9,2021-05,3
2021-05-10,58.860794855576636,2021,5,10,2021-05,3
2021-05-11,59.47298512419481,2021,5,11,2021-05,3
2021-05-12,63.82846045480837,2021,5,12,2021-05,3
2021-05-13,59.0287279551249,2021,5,13,2021-05,3
2021-05-14,58.706229231810845,2021,5,14,2021-05,3
2021-05-15,60.373431899641574,2021,5,15,2021-05,3
2021-05-16,57.76164874551973,2021,5,16,2021-05,3
2021-05-17,59.249696429169596,2021,5,17,2021-05,3
2021-05-18,59.52892829801302,2021,5,18,2021-05,3
2021-05-19,58.15446942092666,2021,5,19,2021-05,3
2021-05-20,66.51718392133364,2021,5,20,2021-05,3
2021-05-21,58.21419874688774,2021,5,21,2021-05,3
2021-05-22,57.94892473118279,2021,5,22,2021-05,3
2021-05-23,58.271281362007166,2021,5,23,2021-05,3
2021-05-24,61.95686244674377,2021,5,24,2021-05,3
2021-05-25,58.02620967741933,2021,5,25,2021-05,3
2021-05-26,61.87703726123533,2021,5,26,2021-05,3
2021-05-27,66.84985613781495,2021,5,27,2021-05,3
