Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,49.08680555555555,2021,3,17,2021-03,1
2021-03-18,49.17939814814815,2021,3,18,2021-03,1
2021-03-19,49.13191206941207,2021,3,19,2021-03,1
2021-03-20,49.06134259259259,2021,3,20,2021-03,1
2021-03-21,52.77662037037036,2021,3,21,2021-03,1
2021-03-22,50.77777777777779,2021,3,22,2021-03,1
2021-03-23,48.8912037037037,2021,3,23,2021-03,1
2021-03-24,48.46875,2021,3,24,2021-03,1
2021-03-25,48.644675925925924,2021,3,25,2021-03,1
2021-03-26,48.538194444444436,2021,3,26,2021-03,1
2021-03-27,48.54861111111111,2021,3,27,2021-03,1
2021-03-28,49.41550925925926,2021,3,28,2021-03,1
2021-03-29,49.512731481481474,2021,3,29,2021-03,1
2021-03-30,48.120370370370374,2021,3,30,2021-03,1
2021-03-31,48.43634259259259,2021,3,31,2021-03,1
2021-04-01,48.52777777777778,2021,4,1,2021-04,2
2021-04-02,48.45601851851851,2021,4,2,2021-04,2
2021-04-03,48.326388888888886,2021,4,3,2021-04,2
2021-04-04,49.243233618233624,2021,4,4,2021-04,2
2021-04-05,50.58796296296297,2021,4,5,2021-04,2
2021-04-06,47.741898148148145,2021,4,6,2021-04,2
2021-04-07,47.98148148148149,2021,4,7,2021-04,2
2021-04-08,48.52893518518518,2021,4,8,2021-04,2
2021-04-09,48.55324074074074,2021,4,9,2021-04,2
2021-04-10,48.47106481481482,2021,4,10,2021-04,2
2021-04-11,48.430555555555564,2021,4,11,2021-04,2
2021-04-12,48.430555555555564,2021,4,12,2021-04,2
2021-04-13,48.71296296296296,2021,4,13,2021-04,2
2021-04-14,51.46990740740741,2021,4,14,2021-04,2
2021-04-15,48.18634259259259,2021,4,15,2021-04,2
2021-04-16,48.02430555555555,2021,4,16,2021-04,2
2021-04-17,49.32175925925926,2021,4,17,2021-04,2
2021-04-18,48.51851851851851,2021,4,18,2021-04,2
2021-04-19,48.262731481481474,2021,4,19,2021-04,2
2021-04-20,48.582175925925924,2021,4,20,2021-04,2
2021-04-21,48.52777777777778,2021,4,21,2021-04,2
2021-04-22,48.46296296296297,2021,4,22,2021-04,2
2021-04-23,48.432870370370374,2021,4,23,2021-04,2
2021-04-24,48.567129629629626,2021,4,24,2021-04,2
2021-04-25,49.02314814814815,2021,4,25,2021-04,2
2021-04-26,48.569444444444436,2021,4,26,2021-04,2
2021-04-27,48.68171296296296,2021,4,27,2021-04,2
2021-04-28,48.675925925925924,2021,4,28,2021-04,2
2021-04-29,49.77893518518518,2021,4,29,2021-04,2
2021-04-30,48.010416666666664,2021,4,30,2021-04,2
2021-05-01,49.776620370370374,2021,5,1,2021-05,3
2021-05-02,48.862268518518526,2021,5,2,2021-05,3
2021-05-03,48.08449074074074,2021,5,3,2021-05,3
2021-05-04,48.43402777777778,2021,5,4,2021-05,3
2021-05-05,49.89930555555555,2021,5,5,2021-05,3
2021-05-06,48.71759259259259,2021,5,6,2021-05,3
2021-05-07,49.43981481481482,2021,5,7,2021-05,3
2021-05-08,48.24305555555555,2021,5,8,2021-05,3
2021-05-09,48.569444444444436,2021,5,9,2021-05,3
2021-05-10,48.75925925925926,2021,5,10,2021-05,3
2021-05-11,48.69560185185185,2021,5,11,2021-05,3
2021-05-12,48.65740740740741,2021,5,12,2021-05,3
2021-05-13,50.20021529396529,2021,5,13,2021-05,3
2021-05-14,48.14814814814815,2021,5,14,2021-05,3
2021-05-15,48.223379629629626,2021,5,15,2021-05,3
2021-05-16,48.93634259259259,2021,5,16,2021-05,3
2021-05-17,49.15393518518519,2021,5,17,2021-05,3
2021-05-18,49.40625,2021,5,18,2021-05,3
2021-05-19,50.550925925925924,2021,5,19,2021-05,3
2021-05-20,49.05324074074074,2021,5,20,2021-05,3
2021-05-21,48.15509259259259,2021,5,21,2021-05,3
2021-05-22,48.97337962962962,2021,5,22,2021-05,3
2021-05-23,48.6886574074074,2021,5,23,2021-05,3
2021-05-24,48.481481481481474,2021,5,24,2021-05,3
2021-05-25,48.39699074074074,2021,5,25,2021-05,3
2021-05-26,48.542824074074076,2021,5,26,2021-05,3
2021-05-27,52.30902777777778,2021,5,27,2021-05,3
2021-05-28,47.81134259259258,2021,5,28,2021-05,3
2021-05-29,47.98726851851851,2021,5,29,2021-05,3
2021-05-30,48.52893518518518,2021,5,30,2021-05,3
2021-05-31,48.98263888888889,2021,5,31,2021-05,3
2021-06-01,48.38078703703704,2021,6,1,2021-06,4
2021-06-02,47.8761574074074,2021,6,2,2021-06,4
2021-06-03,47.986111111111114,2021,6,3,2021-06,4
2021-06-04,49.04050925925926,2021,6,4,2021-06,4
2021-06-05,48.057870370370374,2021,6,5,2021-06,4
2021-06-06,48.52546296296297,2021,6,6,2021-06,4
2021-06-07,48.02314814814815,2021,6,7,2021-06,4
2021-06-08,48.49421296296296,2021,6,8,2021-06,4
2021-06-09,48.5011574074074,2021,6,9,2021-06,4
2021-06-10,48.53703703703704,2021,6,10,2021-06,4
