Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,53.89583333333334,2021,3,17,2021-03,1
2021-03-18,54.194444444444436,2021,3,18,2021-03,1
2021-03-19,54.34027777777779,2021,3,19,2021-03,1
2021-03-20,55.479166666666664,2021,3,20,2021-03,1
2021-03-21,60.09259259259259,2021,3,21,2021-03,1
2021-03-22,53.43981481481482,2021,3,22,2021-03,1
2021-03-23,53.604166666666664,2021,3,23,2021-03,1
2021-03-24,53.604166666666664,2021,3,24,2021-03,1
2021-03-25,54.2337962962963,2021,3,25,2021-03,1
2021-03-26,53.5,2021,3,26,2021-03,1
2021-03-27,53.831018518518526,2021,3,27,2021-03,1
2021-03-28,57.77314814814815,2021,3,28,2021-03,1
2021-03-29,53.254629629629626,2021,3,29,2021-03,1
2021-03-30,54.38425925925927,2021,3,30,2021-03,1
2021-03-31,53.71296296296297,2021,3,31,2021-03,1
2021-04-01,53.75694444444445,2021,4,1,2021-04,2
2021-04-02,53.50925925925926,2021,4,2,2021-04,2
2021-04-03,53.307870370370374,2021,4,3,2021-04,2
2021-04-04,54.9050925925926,2021,4,4,2021-04,2
2021-04-05,53.44675925925927,2021,4,5,2021-04,2
2021-04-06,55.24537037037036,2021,4,6,2021-04,2
2021-04-07,53.354166666666664,2021,4,7,2021-04,2
2021-04-08,53.66666666666668,2021,4,8,2021-04,2
2021-04-09,53.49074074074074,2021,4,9,2021-04,2
2021-04-10,53.58796296296297,2021,4,10,2021-04,2
2021-04-11,53.82175925925926,2021,4,11,2021-04,2
2021-04-12,53.488425925925924,2021,4,12,2021-04,2
2021-04-13,56.173611111111114,2021,4,13,2021-04,2
2021-04-14,53.65740740740741,2021,4,14,2021-04,2
2021-04-15,53.41898148148149,2021,4,15,2021-04,2
2021-04-16,54.520833333333336,2021,4,16,2021-04,2
2021-04-17,58.1087962962963,2021,4,17,2021-04,2
2021-04-18,53.581018518518526,2021,4,18,2021-04,2
2021-04-19,53.66203703703704,2021,4,19,2021-04,2
2021-04-20,53.942129629629626,2021,4,20,2021-04,2
2021-04-21,54.0625,2021,4,21,2021-04,2
2021-04-22,54.020833333333336,2021,4,22,2021-04,2
2021-04-23,53.90046296296297,2021,4,23,2021-04,2
2021-04-24,53.73148148148149,2021,4,24,2021-04,2
2021-04-25,54.0162037037037,2021,4,25,2021-04,2
2021-04-26,53.675925925925924,2021,4,26,2021-04,2
2021-04-27,54.11574074074074,2021,4,27,2021-04,2
2021-04-28,54.21527777777778,2021,4,28,2021-04,2
2021-04-29,55.699074074074076,2021,4,29,2021-04,2
2021-04-30,53.19212962962964,2021,4,30,2021-04,2
2021-05-01,54.66203703703704,2021,5,1,2021-05,3
2021-05-02,53.72453703703704,2021,5,2,2021-05,3
2021-05-03,53.54398148148149,2021,5,3,2021-05,3
2021-05-04,53.74768518518518,2021,5,4,2021-05,3
2021-05-05,56.77777777777778,2021,5,5,2021-05,3
2021-05-06,53.243055555555564,2021,5,6,2021-05,3
2021-05-07,55.92592592592593,2021,5,7,2021-05,3
