Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,42.31388888888888,2021,3,17,2021-03,1
2021-03-18,42.78611111111111,2021,3,18,2021-03,1
2021-03-19,42.84305555555555,2021,3,19,2021-03,1
2021-03-20,46.419444444444444,2021,3,20,2021-03,1
2021-03-21,43.33611111111111,2021,3,21,2021-03,1
2021-03-22,42.080555555555556,2021,3,22,2021-03,1
2021-03-23,42.37222222222222,2021,3,23,2021-03,1
2021-03-24,42.71666666666667,2021,3,24,2021-03,1
2021-03-25,42.50555555555555,2021,3,25,2021-03,1
2021-03-26,42.759722222222216,2021,3,26,2021-03,1
2021-03-27,43.13194444444444,2021,3,27,2021-03,1
2021-03-28,48.418055555555554,2021,3,28,2021-03,1
2021-03-29,42.32638888888889,2021,3,29,2021-03,1
2021-03-30,42.66111111111111,2021,3,30,2021-03,1
2021-03-31,42.6625,2021,3,31,2021-03,1
2021-04-01,42.69027777777778,2021,4,1,2021-04,2
2021-04-02,42.18472222222222,2021,4,2,2021-04,2
2021-04-03,42.255555555555546,2021,4,3,2021-04,2
2021-04-04,43.24027777777778,2021,4,4,2021-04,2
2021-04-05,41.82638888888889,2021,4,5,2021-04,2
2021-04-06,42.26388888888889,2021,4,6,2021-04,2
2021-04-07,42.69444444444444,2021,4,7,2021-04,2
2021-04-08,42.909722222222214,2021,4,8,2021-04,2
2021-04-09,43.105555555555554,2021,4,9,2021-04,2
2021-04-10,42.54166666666667,2021,4,10,2021-04,2
2021-04-11,43.295833333333334,2021,4,11,2021-04,2
2021-04-12,45.47222222222222,2021,4,12,2021-04,2
2021-04-13,43.90972222222222,2021,4,13,2021-04,2
2021-04-14,42.05694444444444,2021,4,14,2021-04,2
2021-04-15,42.55833333333334,2021,4,15,2021-04,2
2021-04-16,43.84444444444445,2021,4,16,2021-04,2
2021-04-17,47.65694444444445,2021,4,17,2021-04,2
2021-04-18,42.02638888888889,2021,4,18,2021-04,2
2021-04-19,42.836111111111116,2021,4,19,2021-04,2
2021-04-20,42.84027777777777,2021,4,20,2021-04,2
2021-04-21,43.073611111111106,2021,4,21,2021-04,2
2021-04-22,43.3125,2021,4,22,2021-04,2
2021-04-23,42.9375,2021,4,23,2021-04,2
2021-04-24,42.69583333333333,2021,4,24,2021-04,2
2021-04-25,42.89027777777777,2021,4,25,2021-04,2
2021-04-26,42.545833333333334,2021,4,26,2021-04,2
2021-04-27,43.3,2021,4,27,2021-04,2
2021-04-28,44.5,2021,4,28,2021-04,2
2021-04-29,47.06805555555555,2021,4,29,2021-04,2
2021-04-30,41.925,2021,4,30,2021-04,2
2021-05-01,42.95,2021,5,1,2021-05,3
2021-05-02,42.56666666666666,2021,5,2,2021-05,3
2021-05-03,42.34305555555555,2021,5,3,2021-05,3
2021-05-04,42.76944444444444,2021,5,4,2021-05,3
2021-05-05,47.095833333333324,2021,5,5,2021-05,3
2021-05-06,41.93333333333334,2021,5,6,2021-05,3
2021-05-07,44.49722222222222,2021,5,7,2021-05,3
2021-05-08,42.599999999999994,2021,5,8,2021-05,3
2021-05-09,42.222222222222214,2021,5,9,2021-05,3
2021-05-10,42.57777777777778,2021,5,10,2021-05,3
2021-05-11,43.083333333333336,2021,5,11,2021-05,3
2021-05-12,48.14027777777778,2021,5,12,2021-05,3
2021-05-13,41.89722222222222,2021,5,13,2021-05,3
2021-05-14,42.1875,2021,5,14,2021-05,3
2021-05-15,45.19027777777778,2021,5,15,2021-05,3
2021-05-16,41.666666666666664,2021,5,16,2021-05,3
2021-05-17,45.106944444444444,2021,5,17,2021-05,3
2021-05-18,43.209722222222226,2021,5,18,2021-05,3
2021-05-19,42.72916666666667,2021,5,19,2021-05,3
2021-05-20,49.775,2021,5,20,2021-05,3
2021-05-21,43.02916666666666,2021,5,21,2021-05,3
2021-05-22,41.522222222222226,2021,5,22,2021-05,3
2021-05-23,42.2125,2021,5,23,2021-05,3
2021-05-24,48.47361111111111,2021,5,24,2021-05,3
2021-05-25,41.65416666666667,2021,5,25,2021-05,3
2021-05-26,44.98611111111111,2021,5,26,2021-05,3
2021-05-27,50.8375,2021,5,27,2021-05,3
2021-05-28,41.75277777777778,2021,5,28,2021-05,3
2021-05-29,41.94444444444444,2021,5,29,2021-05,3
