Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,48.02149470899471,2021,3,17,2021-03,1
2021-03-18,48.38822751322751,2021,3,18,2021-03,1
2021-03-19,48.37037037037036,2021,3,19,2021-03,1
2021-03-20,49.24404761904762,2021,3,20,2021-03,1
2021-03-21,56.1818783068783,2021,3,21,2021-03,1
2021-03-22,48.897246272246264,2021,3,22,2021-03,1
2021-03-23,47.47790404040404,2021,3,23,2021-03,1
2021-03-24,47.58712814962815,2021,3,24,2021-03,1
2021-03-25,47.9260097693579,2021,3,25,2021-03,1
2021-03-26,47.71185587761675,2021,3,26,2021-03,1
2021-03-27,48.048941798941804,2021,3,27,2021-03,1
2021-03-28,50.85350529100529,2021,3,28,2021-03,1
2021-03-29,47.37698412698412,2021,3,29,2021-03,1
2021-03-30,48.093545215342495,2021,3,30,2021-03,1
2021-03-31,47.907076719576715,2021,3,31,2021-03,1
2021-04-01,48.19675925925926,2021,4,1,2021-04,2
2021-04-02,48.01025132275133,2021,4,2,2021-04,2
2021-04-03,47.898478835978835,2021,4,3,2021-04,2
2021-04-04,50.94246031746032,2021,4,4,2021-04,2
2021-04-05,47.50562169312169,2021,4,5,2021-04,2
2021-04-06,48.151455026455025,2021,4,6,2021-04,2
2021-04-07,47.25185925185925,2021,4,7,2021-04,2
2021-04-08,47.57976686849928,2021,4,8,2021-04,2
2021-04-09,47.426256613756614,2021,4,9,2021-04,2
2021-04-10,47.69212962962963,2021,4,10,2021-04,2
2021-04-11,48.034060846560855,2021,4,11,2021-04,2
2021-04-12,47.84292328042328,2021,4,12,2021-04,2
2021-04-13,48.95899470899471,2021,4,13,2021-04,2
2021-04-14,48.783730158730144,2021,4,14,2021-04,2
2021-04-15,47.57308201058201,2021,4,15,2021-04,2
2021-04-16,48.04332010582011,2021,4,16,2021-04,2
2021-04-17,51.92493386243386,2021,4,17,2021-04,2
2021-04-18,48.17427248677249,2021,4,18,2021-04,2
2021-04-19,47.61294619569268,2021,4,19,2021-04,2
2021-04-20,47.82771164021163,2021,4,20,2021-04,2
2021-04-21,47.918650793650805,2021,4,21,2021-04,2
2021-04-22,47.837632275132286,2021,4,22,2021-04,2
2021-04-23,48.00330687830688,2021,4,23,2021-04,2
2021-04-24,47.976521164021165,2021,4,24,2021-04,2
2021-04-25,47.94146825396825,2021,4,25,2021-04,2
2021-04-26,47.75297619047618,2021,4,26,2021-04,2
2021-04-27,48.24371693121693,2021,4,27,2021-04,2
2021-04-28,49.046296296296305,2021,4,28,2021-04,2
2021-04-29,50.13260582010583,2021,4,29,2021-04,2
2021-04-30,47.02414021164022,2021,4,30,2021-04,2
2021-05-01,48.22156084656084,2021,5,1,2021-05,3
2021-05-02,47.935515873015866,2021,5,2,2021-05,3
2021-05-03,47.46197089947089,2021,5,3,2021-05,3
2021-05-04,47.722883597883595,2021,5,4,2021-05,3
2021-05-05,50.77810846560847,2021,5,5,2021-05,3
2021-05-06,47.199735449735456,2021,5,6,2021-05,3
2021-05-07,48.95138888888888,2021,5,7,2021-05,3
2021-05-08,47.4755291005291,2021,5,8,2021-05,3
2021-05-09,47.743386243386254,2021,5,9,2021-05,3
2021-05-10,47.78439153439154,2021,5,10,2021-05,3
2021-05-11,48.097883597883595,2021,5,11,2021-05,3
2021-05-12,49.69486016628873,2021,5,12,2021-05,3
2021-05-13,47.655092592592595,2021,5,13,2021-05,3
2021-05-14,47.783399470899475,2021,5,14,2021-05,3
2021-05-15,48.22387566137566,2021,5,15,2021-05,3
2021-05-16,48.16567460317461,2021,5,16,2021-05,3
2021-05-17,49.53042328042327,2021,5,17,2021-05,3
2021-05-18,49.54794973544972,2021,5,18,2021-05,3
2021-05-19,49.46230158730158,2021,5,19,2021-05,3
2021-05-20,49.7936507936508,2021,5,20,2021-05,3
2021-05-21,50.234788359788354,2021,5,21,2021-05,3
2021-05-22,47.13690476190478,2021,5,22,2021-05,3
2021-05-23,47.6765873015873,2021,5,23,2021-05,3
2021-05-24,50.71626984126984,2021,5,24,2021-05,3
2021-05-25,47.28692680776014,2021,5,25,2021-05,3
2021-05-26,47.47191815505769,2021,5,26,2021-05,3
2021-05-27,53.28141534391533,2021,5,27,2021-05,3
2021-05-28,47.08153410221078,2021,5,28,2021-05,3
2021-05-29,47.59656084656084,2021,5,29,2021-05,3
2021-05-30,47.94675925925927,2021,5,30,2021-05,3
2021-05-31,48.08055786817176,2021,5,31,2021-05,3
2021-06-01,48.26868383215664,2021,6,1,2021-06,4
2021-06-02,48.31341748087931,2021,6,2,2021-06,4
2021-06-03,48.669833980281744,2021,6,3,2021-06,4
2021-06-04,54.285714285714285,2021,6,4,2021-06,4
2021-06-05,47.53373015873016,2021,6,5,2021-06,4
2021-06-06,47.61111111111112,2021,6,6,2021-06,4
2021-06-07,47.79398148148147,2021,6,7,2021-06,4
2021-06-08,48.24206349206349,2021,6,8,2021-06,4
2021-06-09,48.295634920634924,2021,6,9,2021-06,4
2021-06-10,48.373677248677254,2021,6,10,2021-06,4
2021-06-11,48.395507270507274,2021,6,11,2021-06,4
2021-06-12,48.484126984126995,2021,6,12,2021-06,4
2021-06-13,49.18320105820106,2021,6,13,2021-06,4
2021-06-14,49.18121693121692,2021,6,14,2021-06,4
2021-06-15,47.8779761904762,2021,6,15,2021-06,4
2021-06-16,49.97552910052911,2021,6,16,2021-06,4
2021-06-17,47.30555555555555,2021,6,17,2021-06,4
2021-06-18,48.60152116402115,2021,6,18,2021-06,4
2021-06-19,50.45734126984127,2021,6,19,2021-06,4
2021-06-20,47.56547619047619,2021,6,20,2021-06,4
2021-06-21,47.823743386243386,2021,6,21,2021-06,4
2021-06-22,47.88988095238095,2021,6,22,2021-06,4
2021-06-23,48.070105820105816,2021,6,23,2021-06,4
2021-06-24,48.20436507936508,2021,6,24,2021-06,4
2021-06-25,48.507275132275126,2021,6,25,2021-06,4
2021-06-26,48.366732804232804,2021,6,26,2021-06,4
2021-06-27,49.04199735449736,2021,6,27,2021-06,4
2021-06-28,49.00396825396825,2021,6,28,2021-06,4
2021-06-29,48.348875661375665,2021,6,29,2021-06,4
2021-06-30,49.305224867724874,2021,6,30,2021-06,4
2021-07-01,50.3561507936508,2021,7,1,2021-07,5
2021-07-02,48.204034391534385,2021,7,2,2021-07,5
2021-07-03,48.206349206349195,2021,7,3,2021-07,5
2021-07-04,47.02612433862434,2021,7,4,2021-07,5
2021-07-05,46.8531746031746,2021,7,5,2021-07,5
2021-07-06,47.359047162926466,2021,7,6,2021-07,5
2021-07-07,47.22194392058253,2021,7,7,2021-07,5
2021-07-08,46.65948848819968,2021,7,8,2021-07,5
2021-07-09,46.807581085409225,2021,7,9,2021-07,5
2021-07-10,45.08994708994709,2021,7,10,2021-07,5
2021-07-11,45.54298941798942,2021,7,11,2021-07,5
2021-07-12,46.84196344428313,2021,7,12,2021-07,5
2021-07-13,45.566382941831094,2021,7,13,2021-07,5
2021-07-14,46.640145461396536,2021,7,14,2021-07,5
2021-07-15,47.420566163759226,2021,7,15,2021-07,5
2021-07-16,45.26337782587783,2021,7,16,2021-07,5
2021-07-17,45.366816054316054,2021,7,17,2021-07,5
2021-07-18,45.547949735449734,2021,7,18,2021-07,5
2021-07-19,45.458664021164026,2021,7,19,2021-07,5
2021-07-20,45.72041214146477,2021,7,20,2021-07,5
2021-07-21,44.13789682539683,2021,7,21,2021-07,5
2021-07-22,44.223214285714285,2021,7,22,2021-07,5
2021-07-23,44.36904761904763,2021,7,23,2021-07,5
2021-07-24,44.43849206349206,2021,7,24,2021-07,5
2021-07-25,44.5843253968254,2021,7,25,2021-07,5
2021-07-26,44.71274096274096,2021,7,26,2021-07,5
2021-07-27,46.890258881330304,2021,7,27,2021-07,5
2021-07-28,46.906585503672886,2021,7,28,2021-07,5
2021-07-29,46.97318037518037,2021,7,29,2021-07,5
2021-07-30,46.95993497243498,2021,7,30,2021-07,5
2021-07-31,47.50760582010581,2021,7,31,2021-07,5
2021-08-01,48.60350529100529,2021,8,1,2021-08,6
2021-08-02,46.324108063146056,2021,8,2,2021-08,6
2021-08-03,46.76782735006961,2021,8,3,2021-08,6
2021-08-04,46.025243436580645,2021,8,4,2021-08,6
2021-08-05,46.326719576719576,2021,8,5,2021-08,6
2021-08-06,46.386243386243386,2021,8,6,2021-08,6
2021-08-07,46.44146825396825,2021,8,7,2021-08,6
2021-08-08,46.65806878306878,2021,8,8,2021-08,6
2021-08-09,47.50364219114219,2021,8,9,2021-08,6
2021-08-10,45.916666666666664,2021,8,10,2021-08,6
2021-08-11,48.24118165784832,2021,8,11,2021-08,6
2021-08-12,49.14318783068783,2021,8,12,2021-08,6
2021-08-13,47.98346560846561,2021,8,13,2021-08,6
2021-08-14,48.110780423280424,2021,8,14,2021-08,6
2021-08-15,49.58862433862435,2021,8,15,2021-08,6
2021-08-16,47.501653439153436,2021,8,16,2021-08,6
2021-08-17,46.81613756613758,2021,8,17,2021-08,6
2021-08-18,47.557870370370374,2021,8,18,2021-08,6
2021-08-19,47.019841269841265,2021,8,19,2021-08,6
2021-08-20,46.97255291005291,2021,8,20,2021-08,6
2021-08-21,47.12499999999999,2021,8,21,2021-08,6
2021-08-22,46.828373015873005,2021,8,22,2021-08,6
2021-08-23,46.91715969215969,2021,8,23,2021-08,6
2021-08-24,45.32177871148459,2021,8,24,2021-08,6
2021-08-25,45.344247794346224,2021,8,25,2021-08,6
2021-08-26,45.93468133174016,2021,8,26,2021-08,6
2021-08-27,46.52631886087769,2021,8,27,2021-08,6
2021-08-28,46.56935990770578,2021,8,28,2021-08,6
2021-08-29,46.91633597883598,2021,8,29,2021-08,6
2021-08-30,46.82605820105821,2021,8,30,2021-08,6
2021-08-31,47.234126984126995,2021,8,31,2021-08,6
2021-09-01,47.149140211640216,2021,9,1,2021-09,7
2021-09-02,50.55853174603175,2021,9,2,2021-09,7
2021-09-03,48.5026455026455,2021,9,3,2021-09,7
2021-09-04,46.52678571428571,2021,9,4,2021-09,7
2021-09-05,45.793650793650805,2021,9,5,2021-09,7
2021-09-06,45.90046296296296,2021,9,6,2021-09,7
2021-09-07,46.139550264550266,2021,9,7,2021-09,7
2021-09-08,46.44303381803382,2021,9,8,2021-09,7
2021-09-09,48.30921257391846,2021,9,9,2021-09,7
2021-09-10,47.74206349206348,2021,9,10,2021-09,7
2021-09-11,48.75015117157975,2021,9,11,2021-09,7
2021-09-12,48.32506613756615,2021,9,12,2021-09,7
2021-09-13,47.939484126984134,2021,9,13,2021-09,7
2021-09-14,48.47751322751323,2021,9,14,2021-09,7
2021-09-15,48.29563492063493,2021,9,15,2021-09,7
2021-09-16,47.720568783068785,2021,9,16,2021-09,7
2021-09-17,48.69576719576719,2021,9,17,2021-09,7
2021-09-18,49.89616402116402,2021,9,18,2021-09,7
2021-09-19,46.90972222222223,2021,9,19,2021-09,7
2021-09-20,47.66898148148149,2021,9,20,2021-09,7
2021-09-21,47.71593915343916,2021,9,21,2021-09,7
2021-09-22,48.106481481481474,2021,9,22,2021-09,7
2021-09-23,47.75033068783068,2021,9,23,2021-09,7
2021-09-24,47.860449735449734,2021,9,24,2021-09,7
2021-09-25,48.1739417989418,2021,9,25,2021-09,7
2021-09-26,48.5459656084656,2021,9,26,2021-09,7
2021-09-27,47.68518518518518,2021,9,27,2021-09,7
2021-09-28,47.93584656084656,2021,9,28,2021-09,7
2021-09-29,48.08895502645502,2021,9,29,2021-09,7
2021-09-30,47.88492063492064,2021,9,30,2021-09,7
2021-10-01,47.855489417989425,2021,10,1,2021-10,8
2021-10-02,48.34117943740245,2021,10,2,2021-10,8
2021-10-03,48.500000000000014,2021,10,3,2021-10,8
2021-10-04,48.491732804232804,2021,10,4,2021-10,8
2021-10-05,48.304894179894184,2021,10,5,2021-10,8
2021-10-06,48.731812169312164,2021,10,6,2021-10,8
2021-10-07,48.993386243386254,2021,10,7,2021-10,8
2021-10-08,48.63128306878307,2021,10,8,2021-10,8
2021-10-09,48.652116402116384,2021,10,9,2021-10,8
2021-10-10,48.61243386243387,2021,10,10,2021-10,8
2021-10-11,48.68783068783069,2021,10,11,2021-10,8
2021-10-12,48.91005291005291,2021,10,12,2021-10,8
2021-10-13,48.951719576719576,2021,10,13,2021-10,8
2021-10-14,48.55853174603173,2021,10,14,2021-10,8
2021-10-15,49.07661524420643,2021,10,15,2021-10,8
2021-10-16,50.463624338624335,2021,10,16,2021-10,8
2021-10-17,52.229828042328045,2021,10,17,2021-10,8
2021-10-18,47.89866780045351,2021,10,18,2021-10,8
2021-10-19,48.688580784617365,2021,10,19,2021-10,8
2021-10-20,47.958052094150226,2021,10,20,2021-10,8
2021-10-21,48.06179549114331,2021,10,21,2021-10,8
2021-10-22,48.814153439153436,2021,10,22,2021-10,8
2021-10-23,48.20171957671957,2021,10,23,2021-10,8
2021-10-24,48.75562169312169,2021,10,24,2021-10,8
2021-10-25,53.02198172198173,2021,10,25,2021-10,8
2021-10-26,47.19321928952594,2021,10,26,2021-10,8
2021-10-27,47.55027796676733,2021,10,27,2021-10,8
2021-10-28,48.07581952354585,2021,10,28,2021-10,8
2021-10-29,48.1099405347193,2021,10,29,2021-10,8
2021-10-30,48.38128306878308,2021,10,30,2021-10,8
2021-10-31,49.178902116402114,2021,10,31,2021-10,8
2021-11-01,48.51935880086801,2021,11,1,2021-11,9
2021-11-02,48.31431598062953,2021,11,2,2021-11,9
2021-11-03,48.44345238095239,2021,11,3,2021-11,9
2021-11-04,48.155423280423285,2021,11,4,2021-11,9
2021-11-05,48.3968253968254,2021,11,5,2021-11,9
2021-11-06,48.74109088079676,2021,11,6,2021-11,9
2021-11-07,48.54232804232805,2021,11,7,2021-11,9
2021-11-08,48.229166666666664,2021,11,8,2021-11,9
2021-11-09,51.0294312169312,2021,11,9,2021-11,9
2021-11-10,47.69708994708996,2021,11,10,2021-11,9
2021-11-11,49.53042328042329,2021,11,11,2021-11,9
2021-11-12,49.07671957671958,2021,11,12,2021-11,9
2021-11-13,47.69146825396825,2021,11,13,2021-11,9
2021-11-14,47.89980158730158,2021,11,14,2021-11,9
2021-11-15,48.29464285714286,2021,11,15,2021-11,9
2021-11-16,48.210978835978835,2021,11,16,2021-11,9
2021-11-17,48.20469576719578,2021,11,17,2021-11,9
2021-11-18,48.676256613756614,2021,11,18,2021-11,9
2021-11-19,48.901785714285715,2021,11,19,2021-11,9
2021-11-20,48.81646825396825,2021,11,20,2021-11,9
2021-11-21,48.91302910052911,2021,11,21,2021-11,9
2021-11-22,56.048280423280424,2021,11,22,2021-11,9
2021-11-23,48.37533068783068,2021,11,23,2021-11,9
2021-11-24,47.66269841269841,2021,11,24,2021-11,9
2021-11-25,47.58498677248677,2021,11,25,2021-11,9
2021-11-26,47.883597883597886,2021,11,26,2021-11,9
2021-11-27,47.90310846560846,2021,11,27,2021-11,9
2021-11-28,47.76917989417989,2021,11,28,2021-11,9
2021-11-29,48.17394179894179,2021,11,29,2021-11,9
2021-11-30,48.57308201058201,2021,11,30,2021-11,9
2021-12-01,49.30753968253969,2021,12,1,2021-12,10
2021-12-02,47.466269841269835,2021,12,2,2021-12,10
2021-12-03,48.129546379546376,2021,12,3,2021-12,10
2021-12-04,47.93456187431007,2021,12,4,2021-12,10
2021-12-05,47.68088624338625,2021,12,5,2021-12,10
2021-12-06,48.60350529100529,2021,12,6,2021-12,10
2021-12-07,55.60449735449735,2021,12,7,2021-12,10
2021-12-08,47.07175925925927,2021,12,8,2021-12,10
2021-12-09,47.2688492063492,2021,12,9,2021-12,10
2021-12-10,47.90244708994708,2021,12,10,2021-12,10
2021-12-11,47.9345238095238,2021,12,11,2021-12,10
2021-12-12,48.2093253968254,2021,12,12,2021-12,10
2021-12-13,47.91153753653753,2021,12,13,2021-12,10
2021-12-14,47.65145502645503,2021,12,14,2021-12,10
2021-12-15,48.1415343915344,2021,12,15,2021-12,10
2021-12-16,49.58494157055308,2021,12,16,2021-12,10
2021-12-17,53.24007936507937,2021,12,17,2021-12,10
2021-12-18,47.667658730158735,2021,12,18,2021-12,10
2021-12-19,47.12863756613757,2021,12,19,2021-12,10
2021-12-20,47.45109982609982,2021,12,20,2021-12,10
2021-12-21,47.75661375661377,2021,12,21,2021-12,10
2021-12-22,48.21759259259258,2021,12,22,2021-12,10
2021-12-23,48.0244708994709,2021,12,23,2021-12,10
2021-12-24,49.57043650793651,2021,12,24,2021-12,10
2021-12-25,49.232804232804234,2021,12,25,2021-12,10
2021-12-26,47.960648148148145,2021,12,26,2021-12,10
2021-12-27,47.142857142857146,2021,12,27,2021-12,10
2021-12-28,47.7116402116402,2021,12,28,2021-12,10
2021-12-29,48.21626984126984,2021,12,29,2021-12,10
2021-12-30,48.0816798941799,2021,12,30,2021-12,10
2021-12-31,47.86673280423281,2021,12,31,2021-12,10
2022-01-01,47.42328042328044,2022,1,1,2022-01,11
2022-01-02,47.7933201058201,2022,1,2,2022-01,11
2022-01-03,48.14451058201058,2022,1,3,2022-01,11
2022-01-04,47.962264587264585,2022,1,4,2022-01,11
2022-01-05,47.68962750212751,2022,1,5,2022-01,11
2022-01-06,48.08796296296295,2022,1,6,2022-01,11
2022-01-07,47.66170634920635,2022,1,7,2022-01,11
2022-01-08,47.932870370370374,2022,1,8,2022-01,11
2022-01-09,48.516534391534385,2022,1,9,2022-01,11
2022-01-10,48.69411375661376,2022,1,10,2022-01,11
2022-01-11,53.78240740740741,2022,1,11,2022-01,11
2022-01-12,48.23346560846561,2022,1,12,2022-01,11
2022-01-13,47.623186998187,2022,1,13,2022-01,11
2022-01-14,48.047949735449734,2022,1,14,2022-01,11
2022-01-15,47.498015873015866,2022,1,15,2022-01,11
2022-01-16,48.00694444444445,2022,1,16,2022-01,11
2022-01-17,47.7057965182965,2022,1,17,2022-01,11
2022-01-18,47.8914778509829,2022,1,18,2022-01,11
2022-01-19,48.10170513146067,2022,1,19,2022-01,11
2022-01-20,48.08496074374708,2022,1,20,2022-01,11
2022-01-21,47.40006286457125,2022,1,21,2022-01,11
2022-01-22,47.564153439153436,2022,1,22,2022-01,11
2022-01-23,51.31812169312169,2022,1,23,2022-01,11
2022-01-24,47.758509044101416,2022,1,24,2022-01,11
2022-01-25,47.41395102427511,2022,1,25,2022-01,11
2022-01-26,48.055440743808525,2022,1,26,2022-01,11
2022-01-27,48.189598097514754,2022,1,27,2022-01,11
2022-01-28,48.54662698412697,2022,1,28,2022-01,11
2022-01-29,48.476190476190474,2022,1,29,2022-01,11
