Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,54.13020833333333,2021,3,17,2021-03,1
2021-03-18,54.73784722222222,2021,3,18,2021-03,1
2021-03-19,54.72569444444444,2021,3,19,2021-03,1
2021-03-20,55.201432841068915,2021,3,20,2021-03,1
2021-03-21,45.41493055555556,2021,3,21,2021-03,1
2021-03-22,55.891189759036145,2021,3,22,2021-03,1
2021-03-23,53.848958333333336,2021,3,23,2021-03,1
2021-03-24,54.23784722222222,2021,3,24,2021-03,1
2021-03-25,54.651041666666664,2021,3,25,2021-03,1
2021-03-26,53.86805555555556,2021,3,26,2021-03,1
2021-03-27,54.33506944444444,2021,3,27,2021-03,1
2021-03-28,58.342013888888886,2021,3,28,2021-03,1
2021-03-29,53.81249999999999,2021,3,29,2021-03,1
2021-03-30,54.35069444444444,2021,3,30,2021-03,1
2021-03-31,54.065972222222214,2021,3,31,2021-03,1
2021-04-01,54.41493055555556,2021,4,1,2021-04,2
2021-04-02,53.89409722222222,2021,4,2,2021-04,2
2021-04-03,53.989583333333336,2021,4,3,2021-04,2
2021-04-04,56.94270833333333,2021,4,4,2021-04,2
2021-04-05,53.92708333333333,2021,4,5,2021-04,2
2021-04-06,55.41319444444444,2021,4,6,2021-04,2
2021-04-07,53.74305555555556,2021,4,7,2021-04,2
2021-04-08,54.05034722222222,2021,4,8,2021-04,2
2021-04-09,53.748263888888886,2021,4,9,2021-04,2
2021-04-10,54.18055555555556,2021,4,10,2021-04,2
2021-04-11,54.48611111111111,2021,4,11,2021-04,2
2021-04-12,53.99131944444444,2021,4,12,2021-04,2
2021-04-13,54.99652777777778,2021,4,13,2021-04,2
2021-04-14,55.4704861111111,2021,4,14,2021-04,2
2021-04-15,54.005208333333336,2021,4,15,2021-04,2
2021-04-16,54.45833333333333,2021,4,16,2021-04,2
2021-04-17,58.58680555555556,2021,4,17,2021-04,2
2021-04-18,54.864583333333336,2021,4,18,2021-04,2
2021-04-19,54.02604166666666,2021,4,19,2021-04,2
2021-04-20,54.416666666666664,2021,4,20,2021-04,2
2021-04-21,54.375,2021,4,21,2021-04,2
2021-04-22,54.36631944444445,2021,4,22,2021-04,2
2021-04-23,54.451388888888886,2021,4,23,2021-04,2
2021-04-24,54.47395833333333,2021,4,24,2021-04,2
2021-04-25,54.49652777777778,2021,4,25,2021-04,2
2021-04-26,54.135416666666664,2021,4,26,2021-04,2
2021-04-27,54.838541666666664,2021,4,27,2021-04,2
2021-04-28,55.890625,2021,4,28,2021-04,2
2021-04-29,57.13020833333333,2021,4,29,2021-04,2
2021-04-30,53.69965277777777,2021,4,30,2021-04,2
2021-05-01,55.22222222222223,2021,5,1,2021-05,3
2021-05-02,54.83680555555556,2021,5,2,2021-05,3
2021-05-03,53.92881944444444,2021,5,3,2021-05,3
2021-05-04,54.39930555555556,2021,5,4,2021-05,3
2021-05-05,57.31944444444444,2021,5,5,2021-05,3
2021-05-06,53.88194444444444,2021,5,6,2021-05,3
2021-05-07,56.07986111111111,2021,5,7,2021-05,3
2021-05-08,54.060763888888886,2021,5,8,2021-05,3
2021-05-09,54.35590277777778,2021,5,9,2021-05,3
2021-05-10,54.31076388888889,2021,5,10,2021-05,3
2021-05-11,54.50347222222223,2021,5,11,2021-05,3
2021-05-12,55.84375,2021,5,12,2021-05,3
2021-05-13,54.12673611111111,2021,5,13,2021-05,3
2021-05-14,54.47569444444444,2021,5,14,2021-05,3
2021-05-15,54.583333333333336,2021,5,15,2021-05,3
2021-05-16,54.421875,2021,5,16,2021-05,3
2021-05-17,55.970486111111114,2021,5,17,2021-05,3
2021-05-18,56.46875,2021,5,18,2021-05,3
2021-05-19,56.46006944444444,2021,5,19,2021-05,3
2021-05-20,56.416666666666664,2021,5,20,2021-05,3
2021-05-21,56.619791666666664,2021,5,21,2021-05,3
2021-05-22,53.666666666666664,2021,5,22,2021-05,3
2021-05-23,54.16493055555556,2021,5,23,2021-05,3
2021-05-24,58.036458333333336,2021,5,24,2021-05,3
2021-05-25,53.88715277777778,2021,5,25,2021-05,3
2021-05-26,53.92881944444444,2021,5,26,2021-05,3
2021-05-27,59.739583333333336,2021,5,27,2021-05,3
2021-05-28,53.75694444444444,2021,5,28,2021-05,3
2021-05-29,54.13541666666666,2021,5,29,2021-05,3
2021-05-30,54.52430555555556,2021,5,30,2021-05,3
2021-05-31,54.583333333333336,2021,5,31,2021-05,3
2021-06-01,54.75868055555556,2021,6,1,2021-06,4
2021-06-02,54.64583333333333,2021,6,2,2021-06,4
2021-06-03,54.673611111111114,2021,6,3,2021-06,4
2021-06-04,59.82118055555556,2021,6,4,2021-06,4
2021-06-05,53.88020833333333,2021,6,5,2021-06,4
2021-06-06,54.57465277777778,2021,6,6,2021-06,4
2021-06-07,54.61111111111111,2021,6,7,2021-06,4
2021-06-08,54.79861111111111,2021,6,8,2021-06,4
2021-06-09,54.604166666666664,2021,6,9,2021-06,4
2021-06-10,54.663194444444436,2021,6,10,2021-06,4
2021-06-11,54.61458333333333,2021,6,11,2021-06,4
2021-06-12,54.642361111111114,2021,6,12,2021-06,4
2021-06-13,56.526041666666664,2021,6,13,2021-06,4
2021-06-14,56.43055555555555,2021,6,14,2021-06,4
2021-06-15,55.605902777777786,2021,6,15,2021-06,4
2021-06-16,55.565972222222214,2021,6,16,2021-06,4
2021-06-17,53.33333333333333,2021,6,17,2021-06,4
2021-06-18,55.557291666666664,2021,6,18,2021-06,4
2021-06-19,58.354166666666664,2021,6,19,2021-06,4
2021-06-20,53.74652777777778,2021,6,20,2021-06,4
2021-06-21,54.26909722222223,2021,6,21,2021-06,4
2021-06-22,54.54513888888889,2021,6,22,2021-06,4
2021-06-23,54.355902777777786,2021,6,23,2021-06,4
2021-06-24,55.16145833333333,2021,6,24,2021-06,4
2021-06-25,55.421875,2021,6,25,2021-06,4
2021-06-26,54.765625,2021,6,26,2021-06,4
2021-06-27,55.166666666666664,2021,6,27,2021-06,4
2021-06-28,54.94965277777778,2021,6,28,2021-06,4
2021-06-29,54.40859962406015,2021,6,29,2021-06,4
2021-06-30,55.65972222222223,2021,6,30,2021-06,4
2021-07-01,57.920138888888886,2021,7,1,2021-07,5
2021-07-02,54.80729166666667,2021,7,2,2021-07,5
2021-07-03,56.210069444444436,2021,7,3,2021-07,5
2021-07-04,54.03125000000001,2021,7,4,2021-07,5
2021-07-05,53.44618055555555,2021,7,5,2021-07,5
2021-07-06,53.81944444444445,2021,7,6,2021-07,5
2021-07-07,56.40277777777777,2021,7,7,2021-07,5
2021-07-08,54.91493055555555,2021,7,8,2021-07,5
2021-07-09,54.84722222222222,2021,7,9,2021-07,5
2021-07-10,53.48784722222222,2021,7,10,2021-07,5
2021-07-11,53.72222222222222,2021,7,11,2021-07,5
2021-07-12,55.08159722222222,2021,7,12,2021-07,5
2021-07-13,53.65104166666667,2021,7,13,2021-07,5
2021-07-14,54.260416666666664,2021,7,14,2021-07,5
2021-07-15,55.017361111111114,2021,7,15,2021-07,5
2021-07-16,53.12152777777778,2021,7,16,2021-07,5
2021-07-17,53.05208333333333,2021,7,17,2021-07,5
2021-07-18,53.41319444444444,2021,7,18,2021-07,5
2021-07-19,53.84201388888889,2021,7,19,2021-07,5
2021-07-20,54.076388888888886,2021,7,20,2021-07,5
2021-07-21,54.02430555555555,2021,7,21,2021-07,5
2021-07-22,54.42534722222222,2021,7,22,2021-07,5
2021-07-23,54.729166666666664,2021,7,23,2021-07,5
2021-07-24,55.048611111111114,2021,7,24,2021-07,5
2021-07-25,54.97048611111111,2021,7,25,2021-07,5
2021-07-26,55.20381701631702,2021,7,26,2021-07,5
2021-07-27,55.434027777777786,2021,7,27,2021-07,5
2021-07-28,55.23784722222222,2021,7,28,2021-07,5
2021-07-29,55.498263888888886,2021,7,29,2021-07,5
2021-07-30,55.79370629370629,2021,7,30,2021-07,5
2021-07-31,56.63368055555555,2021,7,31,2021-07,5
2021-08-01,55.73951048951049,2021,8,1,2021-08,6
2021-08-02,55.420138888888886,2021,8,2,2021-08,6
2021-08-03,55.53993055555556,2021,8,3,2021-08,6
2021-08-04,54.58159722222222,2021,8,4,2021-08,6
2021-08-05,54.97916666666667,2021,8,5,2021-08,6
2021-08-06,54.42708333333333,2021,8,6,2021-08,6
2021-08-07,54.41647663930272,2021,8,7,2021-08,6
2021-08-08,55.06423611111111,2021,8,8,2021-08,6
2021-08-09,55.3142361111111,2021,8,9,2021-08,6
2021-08-10,54.24131944444444,2021,8,10,2021-08,6
2021-08-11,55.12152777777777,2021,8,11,2021-08,6
2021-08-12,55.871527777777786,2021,8,12,2021-08,6
2021-08-13,54.43750000000001,2021,8,13,2021-08,6
2021-08-14,54.173611111111114,2021,8,14,2021-08,6
2021-08-15,56.73784722222223,2021,8,15,2021-08,6
2021-08-16,53.90625,2021,8,16,2021-08,6
2021-08-17,53.55034722222222,2021,8,17,2021-08,6
2021-08-18,53.651041666666664,2021,8,18,2021-08,6
2021-08-19,53.38715277777778,2021,8,19,2021-08,6
2021-08-20,53.91666666666667,2021,8,20,2021-08,6
2021-08-21,53.75520833333333,2021,8,21,2021-08,6
2021-08-22,53.736111111111114,2021,8,22,2021-08,6
2021-08-23,53.91145833333333,2021,8,23,2021-08,6
2021-08-24,53.88888888888889,2021,8,24,2021-08,6
2021-08-25,53.71006944444445,2021,8,25,2021-08,6
2021-08-26,54.33566433566433,2021,8,26,2021-08,6
2021-08-27,54.39756944444444,2021,8,27,2021-08,6
2021-08-28,54.78645833333333,2021,8,28,2021-08,6
2021-08-29,55.135416666666664,2021,8,29,2021-08,6
2021-08-30,55.26041666666666,2021,8,30,2021-08,6
2021-08-31,55.329861111111114,2021,8,31,2021-08,6
2021-09-01,55.630208333333336,2021,9,1,2021-09,7
2021-09-02,58.357638888888886,2021,9,2,2021-09,7
2021-09-03,56.29861111111111,2021,9,3,2021-09,7
2021-09-04,54.654513888888886,2021,9,4,2021-09,7
2021-09-05,53.77083333333333,2021,9,5,2021-09,7
