Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,39.981925596079535,2021,3,17,2021-03,1
2021-03-18,39.78225308641975,2021,3,18,2021-03,1
2021-03-19,39.64866614866614,2021,3,19,2021-03,1
2021-03-20,40.68387889887889,2021,3,20,2021-03,1
2021-03-21,43.63827160493827,2021,3,21,2021-03,1
2021-03-22,40.36589506172839,2021,3,22,2021-03,1
2021-03-23,39.2933024691358,2021,3,23,2021-03,1
2021-03-24,39.62777777777777,2021,3,24,2021-03,1
2021-03-25,39.9717770734633,2021,3,25,2021-03,1
2021-03-26,39.6197274022274,2021,3,26,2021-03,1
2021-03-27,39.697440087145985,2021,3,27,2021-03,1
2021-03-28,43.69951575138357,2021,3,28,2021-03,1
2021-03-29,41.040586419753105,2021,3,29,2021-03,1
2021-03-30,39.859704882785415,2021,3,30,2021-03,1
2021-03-31,40.18842592592592,2021,3,31,2021-03,1
2021-04-01,40.68881550548216,2021,4,1,2021-04,2
2021-04-02,40.60216049382716,2021,4,2,2021-04,2
2021-04-03,40.646141975308645,2021,4,3,2021-04,2
2021-04-04,42.29527108693776,2021,4,4,2021-04,2
2021-04-05,41.468518518518515,2021,4,5,2021-04,2
2021-04-06,40.12654428904428,2021,4,6,2021-04,2
2021-04-07,40.48317901234567,2021,4,7,2021-04,2
2021-04-08,40.70756172839506,2021,4,8,2021-04,2
2021-04-09,40.79783950617285,2021,4,9,2021-04,2
2021-04-10,40.50987654320988,2021,4,10,2021-04,2
2021-04-11,40.743827160493815,2021,4,11,2021-04,2
2021-04-12,40.681018518518506,2021,4,12,2021-04,2
2021-04-13,41.03333333333333,2021,4,13,2021-04,2
2021-04-14,41.42391975308642,2021,4,14,2021-04,2
2021-04-15,40.94043209876542,2021,4,15,2021-04,2
2021-04-16,41.04429012345678,2021,4,16,2021-04,2
2021-04-17,43.42453703703704,2021,4,17,2021-04,2
2021-04-18,41.940586419753075,2021,4,18,2021-04,2
2021-04-19,40.8304012345679,2021,4,19,2021-04,2
2021-04-20,40.63163580246915,2021,4,20,2021-04,2
2021-04-21,40.17391651558319,2021,4,21,2021-04,2
2021-04-22,40.370061728395044,2021,4,22,2021-04,2
2021-04-23,40.650617283950616,2021,4,23,2021-04,2
2021-04-24,40.9354938271605,2021,4,24,2021-04,2
2021-04-25,41.02438271604939,2021,4,25,2021-04,2
2021-04-26,40.72901234567901,2021,4,26,2021-04,2
2021-04-27,40.73148148148149,2021,4,27,2021-04,2
2021-04-28,41.28040123456791,2021,4,28,2021-04,2
2021-04-29,44.31651234567902,2021,4,29,2021-04,2
2021-04-30,40.942438271604935,2021,4,30,2021-04,2
2021-05-01,42.70566023482691,2021,5,1,2021-05,3
