Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,41.86574074074074,2021,3,17,2021-03,1
2021-03-18,42.20601851851852,2021,3,18,2021-03,1
2021-03-19,41.91203703703704,2021,3,19,2021-03,1
2021-03-20,47.90277777777777,2021,3,20,2021-03,1
2021-03-21,42.1087962962963,2021,3,21,2021-03,1
2021-03-22,41.38657407407408,2021,3,22,2021-03,1
2021-03-23,41.68862807071641,2021,3,23,2021-03,1
2021-03-24,41.92038887911529,2021,3,24,2021-03,1
2021-03-25,42.61805555555556,2021,3,25,2021-03,1
2021-03-26,42.01369775739042,2021,3,26,2021-03,1
2021-03-27,42.467592592592595,2021,3,27,2021-03,1
2021-03-28,45.96296296296297,2021,3,28,2021-03,1
2021-03-29,41.432870370370374,2021,3,29,2021-03,1
2021-03-30,42.30555555555555,2021,3,30,2021-03,1
2021-03-31,42.1087962962963,2021,3,31,2021-03,1
2021-04-01,41.895833333333336,2021,4,1,2021-04,2
2021-04-02,42.5625,2021,4,2,2021-04,2
2021-04-03,45.62268518518519,2021,4,3,2021-04,2
2021-04-04,42.692129629629626,2021,4,4,2021-04,2
2021-04-05,41.208333333333336,2021,4,5,2021-04,2
2021-04-06,41.594907407407405,2021,4,6,2021-04,2
2021-04-07,41.69675925925926,2021,4,7,2021-04,2
2021-04-08,41.97222222222222,2021,4,8,2021-04,2
2021-04-09,42.050925925925924,2021,4,9,2021-04,2
2021-04-10,41.99074074074073,2021,4,10,2021-04,2
2021-04-11,42.25925925925926,2021,4,11,2021-04,2
2021-04-12,44.03472222222223,2021,4,12,2021-04,2
2021-04-13,45.6087962962963,2021,4,13,2021-04,2
2021-04-14,41.261574074074076,2021,4,14,2021-04,2
2021-04-15,41.58333333333333,2021,4,15,2021-04,2
2021-04-16,42.06944444444445,2021,4,16,2021-04,2
2021-04-17,47.375,2021,4,17,2021-04,2
2021-04-18,41.557870370370374,2021,4,18,2021-04,2
2021-04-19,41.82175925925926,2021,4,19,2021-04,2
2021-04-20,41.74074074074074,2021,4,20,2021-04,2
2021-04-21,41.82638888888889,2021,4,21,2021-04,2
2021-04-22,41.81481481481482,2021,4,22,2021-04,2
2021-04-23,41.9212962962963,2021,4,23,2021-04,2
2021-04-24,41.456018518518526,2021,4,24,2021-04,2
2021-04-25,42.2337962962963,2021,4,25,2021-04,2
2021-04-26,41.64351851851852,2021,4,26,2021-04,2
2021-04-27,42.1412037037037,2021,4,27,2021-04,2
2021-04-28,42.97222222222222,2021,4,28,2021-04,2
2021-04-29,44.53703703703704,2021,4,29,2021-04,2
2021-04-30,41.33101851851852,2021,4,30,2021-04,2
2021-05-01,42.59722222222222,2021,5,1,2021-05,3
2021-05-02,41.585648148148145,2021,5,2,2021-05,3
2021-05-03,42.020833333333336,2021,5,3,2021-05,3
2021-05-04,41.97685185185185,2021,5,4,2021-05,3
2021-05-05,45.578703703703695,2021,5,5,2021-05,3
2021-05-06,41.513888888888886,2021,5,6,2021-05,3
2021-05-07,44.307870370370374,2021,5,7,2021-05,3
2021-05-08,42.42592592592593,2021,5,8,2021-05,3
2021-05-09,41.86342592592593,2021,5,9,2021-05,3
2021-05-10,41.914351851851855,2021,5,10,2021-05,3
2021-05-11,43.37731481481481,2021,5,11,2021-05,3
2021-05-12,48.87268518518519,2021,5,12,2021-05,3
2021-05-13,40.91203703703704,2021,5,13,2021-05,3
2021-05-14,42.226851851851855,2021,5,14,2021-05,3
2021-05-15,46.888888888888886,2021,5,15,2021-05,3
2021-05-16,41.629629629629626,2021,5,16,2021-05,3
2021-05-17,42.9050925925926,2021,5,17,2021-05,3
2021-05-18,42.96527777777778,2021,5,18,2021-05,3
2021-05-19,44.48148148148149,2021,5,19,2021-05,3
2021-05-20,44.4537037037037,2021,5,20,2021-05,3
2021-05-21,44.16898148148149,2021,5,21,2021-05,3
2021-05-22,41.557870370370374,2021,5,22,2021-05,3
2021-05-23,41.68981481481482,2021,5,23,2021-05,3
2021-05-24,45.895833333333336,2021,5,24,2021-05,3
2021-05-25,40.930555555555564,2021,5,25,2021-05,3
2021-05-26,42.84490740740741,2021,5,26,2021-05,3
2021-05-27,47.71527777777778,2021,5,27,2021-05,3
2021-05-28,41.1087962962963,2021,5,28,2021-05,3
2021-05-29,41.7037037037037,2021,5,29,2021-05,3
