Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,36.84134615384615,2021,3,17,2021-03,1
2021-03-18,36.807158119658126,2021,3,18,2021-03,1
2021-03-19,36.95016735401351,2021,3,19,2021-03,1
2021-03-20,37.977029914529915,2021,3,20,2021-03,1
2021-03-21,40.44925213675214,2021,3,21,2021-03,1
2021-03-22,38.818910256410255,2021,3,22,2021-03,1
2021-03-23,37.51121794871795,2021,3,23,2021-03,1
2021-03-24,37.941773504273506,2021,3,24,2021-03,1
2021-03-25,38.5715811965812,2021,3,25,2021-03,1
2021-03-26,37.92467948717948,2021,3,26,2021-03,1
2021-03-27,37.90811965811965,2021,3,27,2021-03,1
2021-03-28,41.74465811965812,2021,3,28,2021-03,1
2021-03-29,38.42628205128205,2021,3,29,2021-03,1
2021-03-30,38.30288461538461,2021,3,30,2021-03,1
2021-03-31,38.17628205128205,2021,3,31,2021-03,1
2021-04-01,38.12286324786324,2021,4,1,2021-04,2
2021-04-02,38.17307692307692,2021,4,2,2021-04,2
2021-04-03,38.465811965811966,2021,4,3,2021-04,2
2021-04-04,40.99752331002332,2021,4,4,2021-04,2
2021-04-05,37.89155982905983,2021,4,5,2021-04,2
2021-04-06,37.6784188034188,2021,4,6,2021-04,2
2021-04-07,37.89957264957265,2021,4,7,2021-04,2
2021-04-08,37.86217948717949,2021,4,8,2021-04,2
2021-04-09,38.565705128205124,2021,4,9,2021-04,2
2021-04-10,37.87339743589743,2021,4,10,2021-04,2
2021-04-11,38.372329059829056,2021,4,11,2021-04,2
2021-04-12,38.22061965811966,2021,4,12,2021-04,2
2021-04-13,38.373931623931625,2021,4,13,2021-04,2
2021-04-14,39.13942307692307,2021,4,14,2021-04,2
2021-04-15,37.918269230769226,2021,4,15,2021-04,2
2021-04-16,38.21581196581197,2021,4,16,2021-04,2
2021-04-17,41.7008547008547,2021,4,17,2021-04,2
2021-04-18,42.592414529914535,2021,4,18,2021-04,2
2021-04-19,39.529380341880334,2021,4,19,2021-04,2
2021-04-20,37.97168803418804,2021,4,20,2021-04,2
2021-04-21,37.63642877028505,2021,4,21,2021-04,2
2021-04-22,37.88832280903177,2021,4,22,2021-04,2
2021-04-23,38.47502570528886,2021,4,23,2021-04,2
2021-04-24,39.13461538461539,2021,4,24,2021-04,2
2021-04-25,38.73824786324787,2021,4,25,2021-04,2
2021-04-26,38.335470085470085,2021,4,26,2021-04,2
2021-04-27,38.5650912106136,2021,4,27,2021-04,2
2021-04-28,39.1154723178977,2021,4,28,2021-04,2
2021-04-29,41.82905982905983,2021,4,29,2021-04,2
2021-04-30,38.914529914529915,2021,4,30,2021-04,2
2021-05-01,41.63995726495727,2021,5,1,2021-05,3
2021-05-02,40.39476495726496,2021,5,2,2021-05,3
2021-05-03,39.12339743589743,2021,5,3,2021-05,3
2021-05-04,38.1474358974359,2021,5,4,2021-05,3
2021-05-05,40.373931623931625,2021,5,5,2021-05,3
2021-05-06,38.38942307692307,2021,5,6,2021-05,3
2021-05-07,38.798611111111114,2021,5,7,2021-05,3
2021-05-08,39.01014957264957,2021,5,8,2021-05,3
2021-05-09,40.02083333333333,2021,5,9,2021-05,3
2021-05-10,38.199786324786324,2021,5,10,2021-05,3
2021-05-11,38.13790821533359,2021,5,11,2021-05,3
2021-05-12,38.34134615384615,2021,5,12,2021-05,3
2021-05-13,38.48450854700855,2021,5,13,2021-05,3
2021-05-14,39.01228632478633,2021,5,14,2021-05,3
2021-05-15,39.08760683760684,2021,5,15,2021-05,3
2021-05-16,39.92628205128206,2021,5,16,2021-05,3
2021-05-17,40.14903846153846,2021,5,17,2021-05,3
2021-05-18,40.402243589743584,2021,5,18,2021-05,3
2021-05-19,41.741452991452995,2021,5,19,2021-05,3
2021-05-20,38.30021367521367,2021,5,20,2021-05,3
2021-05-21,42.839209401709404,2021,5,21,2021-05,3
2021-05-22,39.34134615384615,2021,5,22,2021-05,3
2021-05-23,38.75160256410257,2021,5,23,2021-05,3
2021-05-24,38.19658119658119,2021,5,24,2021-05,3
2021-05-25,38.91025641025641,2021,5,25,2021-05,3
2021-05-26,38.63247863247863,2021,5,26,2021-05,3
2021-05-27,39.891025641025635,2021,5,27,2021-05,3
2021-05-28,39.12660256410257,2021,5,28,2021-05,3
2021-05-29,38.859508547008545,2021,5,29,2021-05,3
2021-05-30,38.301282051282044,2021,5,30,2021-05,3
2021-05-31,38.35096153846154,2021,5,31,2021-05,3
2021-06-01,38.6565170940171,2021,6,1,2021-06,4
2021-06-02,38.9732905982906,2021,6,2,2021-06,4
2021-06-03,39.11057692307692,2021,6,3,2021-06,4
2021-06-04,43.62393162393163,2021,6,4,2021-06,4
2021-06-05,38.260149572649574,2021,6,5,2021-06,4
2021-06-06,39.22562653918587,2021,6,6,2021-06,4
2021-06-07,36.053952991452995,2021,6,7,2021-06,4
2021-06-08,36.19070512820513,2021,6,8,2021-06,4
2021-06-09,38.831923986179305,2021,6,9,2021-06,4
2021-06-10,36.1474358974359,2021,6,10,2021-06,4
2021-06-11,36.23096348096348,2021,6,11,2021-06,4
2021-06-12,36.37666606897376,2021,6,12,2021-06,4
2021-06-13,36.75039223596916,2021,6,13,2021-06,4
2021-06-14,36.58333333333333,2021,6,14,2021-06,4
2021-06-15,36.60470085470086,2021,6,15,2021-06,4
2021-06-16,39.06145299145299,2021,6,16,2021-06,4
2021-06-17,38.58867521367522,2021,6,17,2021-06,4
2021-06-18,38.965811965811966,2021,6,18,2021-06,4
2021-06-19,41.15277777777778,2021,6,19,2021-06,4
2021-06-20,38.92040598290599,2021,6,20,2021-06,4
2021-06-21,38.71100427350428,2021,6,21,2021-06,4
2021-06-22,40.096688034188034,2021,6,22,2021-06,4
2021-06-23,40.13087606837607,2021,6,23,2021-06,4
2021-06-24,39.72297307393462,2021,6,24,2021-06,4
2021-06-25,39.19682027374335,2021,6,25,2021-06,4
2021-06-26,39.74839743589743,2021,6,26,2021-06,4
2021-06-27,39.273504273504265,2021,6,27,2021-06,4
2021-06-28,38.859508547008545,2021,6,28,2021-06,4
2021-06-29,38.96688034188034,2021,6,29,2021-06,4
2021-06-30,38.44690619209851,2021,6,30,2021-06,4
2021-07-01,38.509917966648736,2021,7,1,2021-07,5
2021-07-02,38.68749999999999,2021,7,2,2021-07,5
2021-07-03,39.252670940170944,2021,7,3,2021-07,5
2021-07-04,40.47596153846154,2021,7,4,2021-07,5
2021-07-05,39.4155982905983,2021,7,5,2021-07,5
2021-07-06,38.80519693981232,2021,7,6,2021-07,5
2021-07-07,43.08975106090491,2021,7,7,2021-07,5
2021-07-08,38.5133547008547,2021,7,8,2021-07,5
2021-07-09,41.19017094017094,2021,7,9,2021-07,5
2021-07-10,41.449786324786324,2021,7,10,2021-07,5
2021-07-11,42.607905982905976,2021,7,11,2021-07,5
2021-07-12,40.20299145299145,2021,7,12,2021-07,5
2021-07-13,39.40206301914049,2021,7,13,2021-07,5
2021-07-14,38.340811965811966,2021,7,14,2021-07,5
2021-07-15,38.407051282051285,2021,7,15,2021-07,5
2021-07-16,38.97061965811966,2021,7,16,2021-07,5
2021-07-17,39.64593419401112,2021,7,17,2021-07,5
2021-07-18,39.9508547008547,2021,7,18,2021-07,5
2021-07-19,40.145228349294605,2021,7,19,2021-07,5
2021-07-20,37.04326923076923,2021,7,20,2021-07,5
2021-07-21,37.05128205128205,2021,7,21,2021-07,5
2021-07-22,36.839653935807775,2021,7,22,2021-07,5
2021-07-23,36.606288476480785,2021,7,23,2021-07,5
2021-07-24,36.490446857524326,2021,7,24,2021-07,5
2021-07-25,36.40811965811966,2021,7,25,2021-07,5
2021-07-26,36.23079932586975,2021,7,26,2021-07,5
2021-07-27,36.483974358974365,2021,7,27,2021-07,5
2021-07-28,36.670405982905976,2021,7,28,2021-07,5
2021-07-29,41.329493459301155,2021,7,29,2021-07,5
2021-07-30,38.80162198912199,2021,7,30,2021-07,5
2021-07-31,39.19253556272786,2021,7,31,2021-07,5
2021-08-01,39.98887170521785,2021,8,1,2021-08,6
2021-08-02,39.64423076923077,2021,8,2,2021-08,6
2021-08-03,39.42788461538463,2021,8,3,2021-08,6
2021-08-04,40.251120674197594,2021,8,4,2021-08,6
2021-08-05,40.23557692307692,2021,8,5,2021-08,6
2021-08-06,40.19391025641025,2021,8,6,2021-08,6
2021-08-07,39.66096364511857,2021,8,7,2021-08,6
2021-08-08,39.69337606837607,2021,8,8,2021-08,6
2021-08-09,40.04568988703605,2021,8,9,2021-08,6
2021-08-10,39.789529914529915,2021,8,10,2021-08,6
2021-08-11,38.43322649572649,2021,8,11,2021-08,6
2021-08-12,38.59027777777778,2021,8,12,2021-08,6
2021-08-13,40.60042735042736,2021,8,13,2021-08,6
2021-08-14,43.2366452991453,2021,8,14,2021-08,6
2021-08-15,40.14690170940172,2021,8,15,2021-08,6
2021-08-16,38.254273504273506,2021,8,16,2021-08,6
2021-08-17,39.19658119658119,2021,8,17,2021-08,6
2021-08-18,38.664529914529915,2021,8,18,2021-08,6
2021-08-19,38.771367521367516,2021,8,19,2021-08,6
2021-08-20,39.84751773049645,2021,8,20,2021-08,6
2021-08-21,40.1655982905983,2021,8,21,2021-08,6
2021-08-22,40.50106837606837,2021,8,22,2021-08,6
2021-08-23,43.135149572649574,2021,8,23,2021-08,6
2021-08-24,40.55715811965812,2021,8,24,2021-08,6
2021-08-25,40.34294871794872,2021,8,25,2021-08,6
2021-08-26,38.71745188572112,2021,8,26,2021-08,6
2021-08-27,38.90869493754109,2021,8,27,2021-08,6
2021-08-28,39.570438108899644,2021,8,28,2021-08,6
2021-08-29,39.33600427350427,2021,8,29,2021-08,6
2021-08-30,40.074786324786324,2021,8,30,2021-08,6
2021-08-31,39.26923076923077,2021,8,31,2021-08,6
2021-09-01,42.81837606837606,2021,9,1,2021-09,7
2021-09-02,39.751602564102555,2021,9,2,2021-09,7
2021-09-03,38.92467948717948,2021,9,3,2021-09,7
2021-09-04,41.581196581196586,2021,9,4,2021-09,7
2021-09-05,38.307158119658126,2021,9,5,2021-09,7
2021-09-06,38.6559829059829,2021,9,6,2021-09,7
2021-09-07,38.152318301356765,2021,9,7,2021-09,7
2021-09-08,40.71160943757097,2021,9,8,2021-09,7
2021-09-09,38.878205128205124,2021,9,9,2021-09,7
2021-09-10,39.267094017094024,2021,9,10,2021-09,7
2021-09-11,39.96634615384615,2021,9,11,2021-09,7
2021-09-12,39.678952991452995,2021,9,12,2021-09,7
2021-09-13,38.84561965811965,2021,9,13,2021-09,7
2021-09-14,39.44658119658119,2021,9,14,2021-09,7
2021-09-15,39.532585470085465,2021,9,15,2021-09,7
2021-09-16,38.67681623931624,2021,9,16,2021-09,7
2021-09-17,39.03525641025641,2021,9,17,2021-09,7
2021-09-18,42.02777777777778,2021,9,18,2021-09,7
2021-09-19,38.96367521367522,2021,9,19,2021-09,7
2021-09-20,39.550079194309966,2021,9,20,2021-09,7
2021-09-21,39.25587606837607,2021,9,21,2021-09,7
2021-09-22,41.62126068376069,2021,9,22,2021-09,7
2021-09-23,38.90277777777778,2021,9,23,2021-09,7
2021-09-24,38.667200854700845,2021,9,24,2021-09,7
2021-09-25,38.52510683760684,2021,9,25,2021-09,7
2021-09-26,38.43536324786325,2021,9,26,2021-09,7
2021-09-27,38.50587606837606,2021,9,27,2021-09,7
2021-09-28,38.5875022413484,2021,9,28,2021-09,7
2021-09-29,38.991452991452995,2021,9,29,2021-09,7
2021-09-30,39.71047008547008,2021,9,30,2021-09,7
2021-10-01,40.440705128205124,2021,10,1,2021-10,8
2021-10-02,38.64636752136752,2021,10,2,2021-10,8
2021-10-03,39.0405982905983,2021,10,3,2021-10,8
2021-10-04,39.57158119658121,2021,10,4,2021-10,8
2021-10-05,39.451766182535415,2021,10,5,2021-10,8
2021-10-06,39.26442307692308,2021,10,6,2021-10,8
2021-10-07,39.07959401709402,2021,10,7,2021-10,8
2021-10-08,39.06196581196581,2021,10,8,2021-10,8
2021-10-09,39.44604700854701,2021,10,9,2021-10,8
2021-10-10,38.99999999999999,2021,10,10,2021-10,8
2021-10-11,39.49679487179487,2021,10,11,2021-10,8
2021-10-12,42.24732905982906,2021,10,12,2021-10,8
2021-10-13,40.11619075369075,2021,10,13,2021-10,8
2021-10-14,38.602106227106226,2021,10,14,2021-10,8
2021-10-15,39.15988944630249,2021,10,15,2021-10,8
2021-10-16,44.39680084872393,2021,10,16,2021-10,8
2021-10-17,40.74786324786325,2021,10,17,2021-10,8
2021-10-18,38.323336385836384,2021,10,18,2021-10,8
2021-10-19,38.72222222222222,2021,10,19,2021-10,8
2021-10-20,43.6814739747432,2021,10,20,2021-10,8
2021-10-21,38.45619658119658,2021,10,21,2021-10,8
2021-10-22,38.404380341880334,2021,10,22,2021-10,8
2021-10-23,41.11805555555555,2021,10,23,2021-10,8
2021-10-24,38.37232905982906,2021,10,24,2021-10,8
2021-10-25,38.86057692307692,2021,10,25,2021-10,8
2021-10-26,40.04967948717949,2021,10,26,2021-10,8
2021-10-27,38.53672643146327,2021,10,27,2021-10,8
2021-10-28,39.66399572649573,2021,10,28,2021-10,8
2021-10-29,38.71581196581196,2021,10,29,2021-10,8
2021-10-30,39.26728536803164,2021,10,30,2021-10,8
2021-10-31,39.71527777777778,2021,10,31,2021-10,8
2021-11-01,40.02403846153846,2021,11,1,2021-11,9
2021-11-02,39.40331196581197,2021,11,2,2021-11,9
2021-11-03,39.11996443727213,2021,11,3,2021-11,9
2021-11-04,38.469551282051285,2021,11,4,2021-11,9
2021-11-05,38.68749999999999,2021,11,5,2021-11,9
2021-11-06,39.20912901201363,2021,11,6,2021-11,9
2021-11-07,39.22809829059828,2021,11,7,2021-11,9
2021-11-08,38.50186405474868,2021,11,8,2021-11,9
2021-11-09,39.70619658119658,2021,11,9,2021-11,9
2021-11-10,40.37012133165979,2021,11,10,2021-11,9
2021-11-11,44.70726495726497,2021,11,11,2021-11,9
2021-11-12,40.24563310621003,2021,11,12,2021-11,9
2021-11-13,39.61004273504273,2021,11,13,2021-11,9
2021-11-14,39.06263448090371,2021,11,14,2021-11,9
2021-11-15,39.21260683760684,2021,11,15,2021-11,9
2021-11-16,38.48187869822485,2021,11,16,2021-11,9
2021-11-17,38.81036324786325,2021,11,17,2021-11,9
2021-11-18,39.47435897435897,2021,11,18,2021-11,9
