Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,63.755208333333336,2021,3,17,2021-03,1
2021-03-18,64.29224537037038,2021,3,18,2021-03,1
2021-03-19,64.65567129629629,2021,3,19,2021-03,1
2021-03-20,68.03472222222223,2021,3,20,2021-03,1
2021-03-21,73.2037037037037,2021,3,21,2021-03,1
2021-03-22,64.15972222222221,2021,3,22,2021-03,1
2021-03-23,64.16898148148148,2021,3,23,2021-03,1
2021-03-24,64.8136574074074,2021,3,24,2021-03,1
2021-03-25,64.7326388888889,2021,3,25,2021-03,1
2021-03-26,64.37210648148148,2021,3,26,2021-03,1
2021-03-27,64.93287037037038,2021,3,27,2021-03,1
2021-03-28,71.60879629629629,2021,3,28,2021-03,1
2021-03-29,64.60294312169312,2021,3,29,2021-03,1
2021-03-30,64.82812500000001,2021,3,30,2021-03,1
2021-03-31,64.41203703703702,2021,3,31,2021-03,1
2021-04-01,64.8449074074074,2021,4,1,2021-04,2
2021-04-02,64.66608796296295,2021,4,2,2021-04,2
2021-04-03,64.77662037037037,2021,4,3,2021-04,2
2021-04-04,68.73148148148148,2021,4,4,2021-04,2
2021-04-05,63.699074074074076,2021,4,5,2021-04,2
2021-04-06,64.83101851851852,2021,4,6,2021-04,2
2021-04-07,64.0486111111111,2021,4,7,2021-04,2
2021-04-08,64.7662037037037,2021,4,8,2021-04,2
2021-04-09,64.41840277777777,2021,4,9,2021-04,2
2021-04-10,64.83854166666667,2021,4,10,2021-04,2
2021-04-11,65.44733796296296,2021,4,11,2021-04,2
2021-04-12,64.97743055555556,2021,4,12,2021-04,2
2021-04-13,67.47280092592592,2021,4,13,2021-04,2
2021-04-14,65.47106481481482,2021,4,14,2021-04,2
2021-04-15,64.19444444444446,2021,4,15,2021-04,2
2021-04-16,65.1244212962963,2021,4,16,2021-04,2
2021-04-17,70.98032407407409,2021,4,17,2021-04,2
2021-04-18,66.21469907407408,2021,4,18,2021-04,2
2021-04-19,64.19097222222223,2021,4,19,2021-04,2
2021-04-20,64.90567129629629,2021,4,20,2021-04,2
2021-04-21,64.5943287037037,2021,4,21,2021-04,2
2021-04-22,64.69270833333334,2021,4,22,2021-04,2
2021-04-23,64.80555555555557,2021,4,23,2021-04,2
2021-04-24,64.98495370370371,2021,4,24,2021-04,2
2021-04-25,65.30381944444444,2021,4,25,2021-04,2
2021-04-26,64.66898148148148,2021,4,26,2021-04,2
2021-04-27,65.70717592592594,2021,4,27,2021-04,2
2021-04-28,67.55381944444444,2021,4,28,2021-04,2
2021-04-29,68.17418981481481,2021,4,29,2021-04,2
2021-04-30,64.69907407407409,2021,4,30,2021-04,2
2021-05-01,66.24016203703704,2021,5,1,2021-05,3
2021-05-02,65.97743055555556,2021,5,2,2021-05,3
2021-05-03,64.42881944444444,2021,5,3,2021-05,3
2021-05-04,65.1730324074074,2021,5,4,2021-05,3
2021-05-05,72.09143518518518,2021,5,5,2021-05,3
2021-05-06,64.60069444444444,2021,5,6,2021-05,3
2021-05-07,66.56770833333333,2021,5,7,2021-05,3
2021-05-08,65.03761574074075,2021,5,8,2021-05,3
2021-05-09,65.58969907407408,2021,5,9,2021-05,3
2021-05-10,64.87789351851852,2021,5,10,2021-05,3
2021-05-11,65.11631944444444,2021,5,11,2021-05,3
2021-05-12,65.35300925925927,2021,5,12,2021-05,3
2021-05-13,65.13831018518519,2021,5,13,2021-05,3
2021-05-14,66.11554783950616,2021,5,14,2021-05,3
2021-05-15,65.94386574074075,2021,5,15,2021-05,3
2021-05-16,68.46180555555556,2021,5,16,2021-05,3
2021-05-17,71.57060185185186,2021,5,17,2021-05,3
2021-05-18,67.58043981481482,2021,5,18,2021-05,3
