Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,33.64484126984127,2021,3,17,2021-03,1
2021-03-18,33.39186507936508,2021,3,18,2021-03,1
2021-03-19,33.42957042957043,2021,3,19,2021-03,1
2021-03-20,34.74404761904761,2021,3,20,2021-03,1
2021-03-21,40.03075396825397,2021,3,21,2021-03,1
2021-03-22,34.336309523809526,2021,3,22,2021-03,1
2021-03-23,33.06944444444444,2021,3,23,2021-03,1
2021-03-24,33.355158730158735,2021,3,24,2021-03,1
2021-03-25,34.03769841269842,2021,3,25,2021-03,1
2021-03-26,33.29670329670329,2021,3,26,2021-03,1
2021-03-27,33.46626984126984,2021,3,27,2021-03,1
2021-03-28,37.514880952380956,2021,3,28,2021-03,1
2021-03-29,34.39484126984127,2021,3,29,2021-03,1
2021-03-30,33.53670634920634,2021,3,30,2021-03,1
2021-03-31,33.84424603174603,2021,3,31,2021-03,1
2021-04-01,33.742063492063494,2021,4,1,2021-04,2
2021-04-02,33.83134920634921,2021,4,2,2021-04,2
2021-04-03,33.49107142857142,2021,4,3,2021-04,2
2021-04-04,36.64980158730159,2021,4,4,2021-04,2
2021-04-05,35.11309523809524,2021,4,5,2021-04,2
2021-04-06,33.65873015873016,2021,4,6,2021-04,2
2021-04-07,33.5734126984127,2021,4,7,2021-04,2
2021-04-08,33.24007936507936,2021,4,8,2021-04,2
2021-04-09,34.5109126984127,2021,4,9,2021-04,2
2021-04-10,33.31845238095238,2021,4,10,2021-04,2
2021-04-11,33.683531746031754,2021,4,11,2021-04,2
2021-04-12,33.592261904761905,2021,4,12,2021-04,2
2021-04-13,34.27876984126984,2021,4,13,2021-04,2
2021-04-14,34.036706349206355,2021,4,14,2021-04,2
2021-04-15,33.30357142857143,2021,4,15,2021-04,2
2021-04-16,33.69345238095239,2021,4,16,2021-04,2
2021-04-17,35.6438492063492,2021,4,17,2021-04,2
2021-04-18,35.60019841269841,2021,4,18,2021-04,2
2021-04-19,33.44444444444445,2021,4,19,2021-04,2
2021-04-20,33.26587301587301,2021,4,20,2021-04,2
2021-04-21,32.94246031746032,2021,4,21,2021-04,2
2021-04-22,33.25694444444445,2021,4,22,2021-04,2
2021-04-23,33.65972222222222,2021,4,23,2021-04,2
2021-04-24,33.964285714285715,2021,4,24,2021-04,2
2021-04-25,33.6875,2021,4,25,2021-04,2
2021-04-26,33.47420634920635,2021,4,26,2021-04,2
2021-04-27,33.583333333333336,2021,4,27,2021-04,2
2021-04-28,34.18650793650794,2021,4,28,2021-04,2
2021-04-29,37.09623015873016,2021,4,29,2021-04,2
2021-04-30,34.620039682539684,2021,4,30,2021-04,2
2021-05-01,34.61607142857143,2021,5,1,2021-05,3
2021-05-02,36.5625,2021,5,2,2021-05,3
2021-05-03,33.9593253968254,2021,5,3,2021-05,3
2021-05-04,33.273809523809526,2021,5,4,2021-05,3
2021-05-05,34.53769841269842,2021,5,5,2021-05,3
2021-05-06,33.43154761904762,2021,5,6,2021-05,3
2021-05-07,33.83730158730159,2021,5,7,2021-05,3
2021-05-08,34.01190476190476,2021,5,8,2021-05,3
2021-05-09,34.602182539682545,2021,5,9,2021-05,3
2021-05-10,34.208333333333336,2021,5,10,2021-05,3
2021-05-11,34.0436507936508,2021,5,11,2021-05,3
2021-05-12,33.557539682539684,2021,5,12,2021-05,3
2021-05-13,33.467261904761905,2021,5,13,2021-05,3
2021-05-14,33.92956349206349,2021,5,14,2021-05,3
2021-05-15,34.10416666666666,2021,5,15,2021-05,3
2021-05-16,34.41369047619048,2021,5,16,2021-05,3
2021-05-17,36.46230158730158,2021,5,17,2021-05,3
2021-05-18,34.83134920634921,2021,5,18,2021-05,3
2021-05-19,35.66666666666667,2021,5,19,2021-05,3
