Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,40.233134920634924,2021,3,17,2021-03,1
2021-03-18,40.59821428571428,2021,3,18,2021-03,1
2021-03-19,40.47867063492064,2021,3,19,2021-03,1
2021-03-20,44.60912698412698,2021,3,20,2021-03,1
2021-03-21,46.66914682539682,2021,3,21,2021-03,1
2021-03-22,41.76388888888889,2021,3,22,2021-03,1
2021-03-23,40.186011904761905,2021,3,23,2021-03,1
2021-03-24,40.223710317460316,2021,3,24,2021-03,1
2021-03-25,40.19146825396825,2021,3,25,2021-03,1
2021-03-26,40.438171101774046,2021,3,26,2021-03,1
2021-03-27,41.013531607281614,2021,3,27,2021-03,1
2021-03-28,46.83346514596515,2021,3,28,2021-03,1
2021-03-29,40.27666083916085,2021,3,29,2021-03,1
2021-03-30,40.46825396825397,2021,3,30,2021-03,1
2021-03-31,40.75843253968254,2021,3,31,2021-03,1
2021-04-01,40.73115079365079,2021,4,1,2021-04,2
2021-04-02,40.77777777777778,2021,4,2,2021-04,2
2021-04-03,40.75198412698412,2021,4,3,2021-04,2
2021-04-04,45.90692640692641,2021,4,4,2021-04,2
2021-04-05,40.11309523809524,2021,4,5,2021-04,2
2021-04-06,39.892857142857146,2021,4,6,2021-04,2
2021-04-07,40.38690476190476,2021,4,7,2021-04,2
2021-04-08,40.604662698412696,2021,4,8,2021-04,2
2021-04-09,40.35863095238095,2021,4,9,2021-04,2
2021-04-10,40.60664682539682,2021,4,10,2021-04,2
2021-04-11,40.892857142857146,2021,4,11,2021-04,2
2021-04-12,41.8923611111111,2021,4,12,2021-04,2
2021-04-13,41.95833333333333,2021,4,13,2021-04,2
2021-04-14,41.01041666666667,2021,4,14,2021-04,2
2021-04-15,40.92460317460318,2021,4,15,2021-04,2
2021-04-16,41.21676587301588,2021,4,16,2021-04,2
2021-04-17,42.87450396825397,2021,4,17,2021-04,2
2021-04-18,41.52132936507935,2021,4,18,2021-04,2
2021-04-19,40.92311507936508,2021,4,19,2021-04,2
2021-04-20,40.90922619047618,2021,4,20,2021-04,2
2021-04-21,41.19742063492064,2021,4,21,2021-04,2
2021-04-22,41.25396825396826,2021,4,22,2021-04,2
2021-04-23,41.10019841269842,2021,4,23,2021-04,2
2021-04-24,41.27281746031746,2021,4,24,2021-04,2
2021-04-25,41.013392857142854,2021,4,25,2021-04,2
2021-04-26,40.91765873015873,2021,4,26,2021-04,2
2021-04-27,41.74007936507936,2021,4,27,2021-04,2
2021-04-28,42.257936507936506,2021,4,28,2021-04,2
2021-04-29,44.089285714285715,2021,4,29,2021-04,2
2021-04-30,41.173115079365076,2021,4,30,2021-04,2
2021-05-01,43.936011904761905,2021,5,1,2021-05,3
2021-05-02,43.348710317460316,2021,5,2,2021-05,3
2021-05-03,40.21478174603175,2021,5,3,2021-05,3
2021-05-04,40.60912698412698,2021,5,4,2021-05,3
2021-05-05,44.92261904761905,2021,5,5,2021-05,3
2021-05-06,40.333333333333336,2021,5,6,2021-05,3
2021-05-07,40.920213761605275,2021,5,7,2021-05,3
2021-05-08,40.78869047619048,2021,5,8,2021-05,3
2021-05-09,40.799107142857146,2021,5,9,2021-05,3
2021-05-10,41.455211251167135,2021,5,10,2021-05,3
2021-05-11,41.131854256854254,2021,5,11,2021-05,3
2021-05-12,41.567129629629626,2021,5,12,2021-05,3
2021-05-13,41.06048462692163,2021,5,13,2021-05,3
2021-05-14,41.51736111111111,2021,5,14,2021-05,3
2021-05-15,43.23412698412698,2021,5,15,2021-05,3
2021-05-16,42.759424603174594,2021,5,16,2021-05,3
2021-05-17,47.04166666666667,2021,5,17,2021-05,3
2021-05-18,41.004960317460316,2021,5,18,2021-05,3
2021-05-19,40.057610544217674,2021,5,19,2021-05,3
2021-05-20,49.00222116870348,2021,5,20,2021-05,3
2021-05-21,43.026976495726494,2021,5,21,2021-05,3
2021-05-22,40.57986111111112,2021,5,22,2021-05,3
2021-05-23,40.108134920634924,2021,5,23,2021-05,3
2021-05-24,44.51461385836386,2021,5,24,2021-05,3
2021-05-25,39.98065476190475,2021,5,25,2021-05,3
2021-05-26,40.55059523809524,2021,5,26,2021-05,3
2021-05-27,45.33878968253968,2021,5,27,2021-05,3
2021-05-28,42.2375992063492,2021,5,28,2021-05,3
2021-05-29,40.36954365079365,2021,5,29,2021-05,3
2021-05-30,40.37996031746031,2021,5,30,2021-05,3
2021-05-31,40.50396825396825,2021,5,31,2021-05,3
2021-06-01,40.72519841269842,2021,6,1,2021-06,4
2021-06-02,41.55257936507936,2021,6,2,2021-06,4
2021-06-03,42.042162698412696,2021,6,3,2021-06,4
2021-06-04,50.201380632066964,2021,6,4,2021-06,4
2021-06-05,40.33730158730158,2021,6,5,2021-06,4
2021-06-06,40.63839285714287,2021,6,6,2021-06,4
2021-06-07,40.954365079365076,2021,6,7,2021-06,4
2021-06-08,40.789186507936506,2021,6,8,2021-06,4
2021-06-09,40.935019841269835,2021,6,9,2021-06,4
2021-06-10,41.68402777777778,2021,6,10,2021-06,4
2021-06-11,41.45337301587301,2021,6,11,2021-06,4
2021-06-12,41.6140873015873,2021,6,12,2021-06,4
2021-06-13,42.95188492063493,2021,6,13,2021-06,4
2021-06-14,41.23817335333082,2021,6,14,2021-06,4
2021-06-15,41.61111111111111,2021,6,15,2021-06,4
2021-06-16,41.77555722444741,2021,6,16,2021-06,4
2021-06-17,39.887578890155346,2021,6,17,2021-06,4
2021-06-18,46.638392857142854,2021,6,18,2021-06,4
2021-06-19,43.37648809523809,2021,6,19,2021-06,4
2021-06-20,40.25297619047619,2021,6,20,2021-06,4
2021-06-21,40.67509920634921,2021,6,21,2021-06,4
2021-06-22,39.97867063492064,2021,6,22,2021-06,4
2021-06-23,40.29861111111111,2021,6,23,2021-06,4
2021-06-24,41.02728174603174,2021,6,24,2021-06,4
2021-06-25,41.447420634920626,2021,6,25,2021-06,4
2021-06-26,41.64632936507936,2021,6,26,2021-06,4
2021-06-27,41.33333333333333,2021,6,27,2021-06,4
2021-06-28,41.6969246031746,2021,6,28,2021-06,4
2021-06-29,40.749503968253975,2021,6,29,2021-06,4
2021-06-30,41.55208333333333,2021,6,30,2021-06,4
2021-07-01,41.24751984126984,2021,7,1,2021-07,5
2021-07-02,41.74603174603175,2021,7,2,2021-07,5
2021-07-03,43.09325396825396,2021,7,3,2021-07,5
2021-07-04,42.32440476190476,2021,7,4,2021-07,5
2021-07-05,43.589781746031754,2021,7,5,2021-07,5
2021-07-06,40.720734126984134,2021,7,6,2021-07,5
2021-07-07,43.13839285714287,2021,7,7,2021-07,5
2021-07-08,41.77430555555556,2021,7,8,2021-07,5
2021-07-09,47.42609126984127,2021,7,9,2021-07,5
2021-07-10,40.79811507936507,2021,7,10,2021-07,5
2021-07-11,40.11706349206348,2021,7,11,2021-07,5
2021-07-12,49.748511904761905,2021,7,12,2021-07,5
2021-07-13,39.665674603174594,2021,7,13,2021-07,5
2021-07-14,39.98605561105561,2021,7,14,2021-07,5
2021-07-15,41.194940476190474,2021,7,15,2021-07,5
2021-07-16,40.536210317460316,2021,7,16,2021-07,5
2021-07-17,40.35069444444444,2021,7,17,2021-07,5
2021-07-18,40.738591269841265,2021,7,18,2021-07,5
2021-07-19,40.671130952380956,2021,7,19,2021-07,5
2021-07-20,41.316964285714285,2021,7,20,2021-07,5
2021-07-21,41.492063492063494,2021,7,21,2021-07,5
2021-07-22,41.71527777777778,2021,7,22,2021-07,5
2021-07-23,42.045634920634924,2021,7,23,2021-07,5
2021-07-24,42.357142857142854,2021,7,24,2021-07,5
2021-07-25,42.23809523809524,2021,7,25,2021-07,5
2021-07-26,42.37776806526807,2021,7,26,2021-07,5
2021-07-27,41.67857142857143,2021,7,27,2021-07,5
2021-07-28,41.55357142857143,2021,7,28,2021-07,5
2021-07-29,41.8328373015873,2021,7,29,2021-07,5
2021-07-30,42.050595238095234,2021,7,30,2021-07,5
2021-07-31,42.40228174603175,2021,7,31,2021-07,5
2021-08-01,43.005314130314126,2021,8,1,2021-08,6
2021-08-02,43.09771825396825,2021,8,2,2021-08,6
2021-08-03,43.057539682539684,2021,8,3,2021-08,6
2021-08-04,42.67757936507936,2021,8,4,2021-08,6
2021-08-05,43.05264088640356,2021,8,5,2021-08,6
2021-08-06,43.011137179932796,2021,8,6,2021-08,6
2021-08-07,42.450892857142854,2021,8,7,2021-08,6
2021-08-08,44.910714285714285,2021,8,8,2021-08,6
2021-08-09,51.146825396825406,2021,8,9,2021-08,6
2021-08-10,39.50545634920636,2021,8,10,2021-08,6
2021-08-11,40.7906746031746,2021,8,11,2021-08,6
2021-08-12,44.754464285714285,2021,8,12,2021-08,6
2021-08-13,47.24652777777778,2021,8,13,2021-08,6
2021-08-14,55.82539682539683,2021,8,14,2021-08,6
2021-08-15,40.24702380952381,2021,8,15,2021-08,6
2021-08-16,41.12599206349207,2021,8,16,2021-08,6
2021-08-17,45.78323412698412,2021,8,17,2021-08,6
2021-08-18,42.83878968253969,2021,8,18,2021-08,6
2021-08-19,40.207341269841265,2021,8,19,2021-08,6
2021-08-20,41.086309523809526,2021,8,20,2021-08,6
2021-08-21,40.80902777777777,2021,8,21,2021-08,6
2021-08-22,40.8204365079365,2021,8,22,2021-08,6
2021-08-23,40.03720238095237,2021,8,23,2021-08,6
2021-08-24,41.96230158730159,2021,8,24,2021-08,6
2021-08-25,40.084325396825385,2021,8,25,2021-08,6
2021-08-26,40.536503744690364,2021,8,26,2021-08,6
2021-08-27,40.51984126984127,2021,8,27,2021-08,6
2021-08-28,40.46527777777778,2021,8,28,2021-08,6
2021-08-29,40.04712301587301,2021,8,29,2021-08,6
2021-08-30,40.52065804391932,2021,8,30,2021-08,6
2021-08-31,40.96875000000001,2021,8,31,2021-08,6
2021-09-01,42.251300540946076,2021,9,1,2021-09,7
2021-09-02,44.37337931251813,2021,9,2,2021-09,7
2021-09-03,45.31249999999999,2021,9,3,2021-09,7
2021-09-04,40.56646825396825,2021,9,4,2021-09,7
2021-09-05,40.00347222222222,2021,9,5,2021-09,7
2021-09-06,40.1969246031746,2021,9,6,2021-09,7
2021-09-07,40.59771825396825,2021,9,7,2021-09,7
2021-09-08,43.264291264291266,2021,9,8,2021-09,7
2021-09-09,39.74107142857142,2021,9,9,2021-09,7
2021-09-10,40.69593253968254,2021,9,10,2021-09,7
2021-09-11,40.81597222222222,2021,9,11,2021-09,7
2021-09-12,41.36706349206348,2021,9,12,2021-09,7
2021-09-13,41.210813492063494,2021,9,13,2021-09,7
2021-09-14,42.58531746031746,2021,9,14,2021-09,7
2021-09-15,40.32638888888889,2021,9,15,2021-09,7
2021-09-16,40.507936507936506,2021,9,16,2021-09,7
2021-09-17,42.43849206349206,2021,9,17,2021-09,7
2021-09-18,41.36904761904761,2021,9,18,2021-09,7
2021-09-19,39.79761904761905,2021,9,19,2021-09,7
2021-09-20,40.635416666666664,2021,9,20,2021-09,7
2021-09-21,40.70734126984127,2021,9,21,2021-09,7
2021-09-22,41.06001984126984,2021,9,22,2021-09,7
2021-09-23,41.67857142857143,2021,9,23,2021-09,7
2021-09-24,41.34275793650794,2021,9,24,2021-09,7
2021-09-25,40.89434523809524,2021,9,25,2021-09,7
2021-09-26,41.08878968253969,2021,9,26,2021-09,7
2021-09-27,40.83829365079366,2021,9,27,2021-09,7
2021-09-28,42.05257936507936,2021,9,28,2021-09,7
2021-09-29,41.43799603174603,2021,9,29,2021-09,7
2021-09-30,40.82390873015873,2021,9,30,2021-09,7
2021-10-01,40.58581349206349,2021,10,1,2021-10,8
2021-10-02,41.307539682539684,2021,10,2,2021-10,8
2021-10-03,41.816964285714285,2021,10,3,2021-10,8
2021-10-04,41.808371780836204,2021,10,4,2021-10,8
2021-10-05,41.42876033307642,2021,10,5,2021-10,8
2021-10-06,41.85615079365079,2021,10,6,2021-10,8
2021-10-07,42.100356720702464,2021,10,7,2021-10,8
2021-10-08,42.219246031746025,2021,10,8,2021-10,8
2021-10-09,41.84970238095237,2021,10,9,2021-10,8
2021-10-10,41.916666666666664,2021,10,10,2021-10,8
2021-10-11,41.988591269841265,2021,10,11,2021-10,8
2021-10-12,43.35367063492064,2021,10,12,2021-10,8
2021-10-13,42.715499777999774,2021,10,13,2021-10,8
