Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,56.173611111111114,2021,3,17,2021-03,1
2021-03-18,56.70601851851851,2021,3,18,2021-03,1
2021-03-19,57.33101851851851,2021,3,19,2021-03,1
2021-03-20,58.31481481481482,2021,3,20,2021-03,1
2021-03-21,57.70601851851851,2021,3,21,2021-03,1
2021-03-22,55.533216783216794,2021,3,22,2021-03,1
2021-03-23,56.72685185185185,2021,3,23,2021-03,1
2021-03-24,56.68518518518519,2021,3,24,2021-03,1
2021-03-25,56.930555555555564,2021,3,25,2021-03,1
2021-03-26,56.54398148148149,2021,3,26,2021-03,1
2021-03-27,56.5787037037037,2021,3,27,2021-03,1
2021-03-28,61.5462962962963,2021,3,28,2021-03,1
2021-03-29,56.43981481481481,2021,3,29,2021-03,1
2021-03-30,57.43518518518519,2021,3,30,2021-03,1
2021-03-31,56.92361111111112,2021,3,31,2021-03,1
2021-04-01,57.18287037037036,2021,4,1,2021-04,2
2021-04-02,57.166666666666664,2021,4,2,2021-04,2
2021-04-03,57.01388888888889,2021,4,3,2021-04,2
2021-04-04,60.018648018648015,2021,4,4,2021-04,2
2021-04-05,55.96759259259259,2021,4,5,2021-04,2
2021-04-06,56.16435185185185,2021,4,6,2021-04,2
2021-04-07,56.229166666666664,2021,4,7,2021-04,2
2021-04-08,56.19212962962964,2021,4,8,2021-04,2
2021-04-09,55.34490740740741,2021,4,9,2021-04,2
2021-04-10,55.49632543382543,2021,4,10,2021-04,2
2021-04-11,56.367650867650866,2021,4,11,2021-04,2
2021-04-12,56.55964342001576,2021,4,12,2021-04,2
2021-04-13,55.84953703703704,2021,4,13,2021-04,2
2021-04-14,54.71527777777778,2021,4,14,2021-04,2
2021-04-15,55.27777777777778,2021,4,15,2021-04,2
2021-04-16,55.79398148148149,2021,4,16,2021-04,2
2021-04-17,57.168981481481474,2021,4,17,2021-04,2
2021-04-18,54.24551605801606,2021,4,18,2021-04,2
2021-04-19,55.00192357850808,2021,4,19,2021-04,2
2021-04-20,55.10466988727858,2021,4,20,2021-04,2
2021-04-21,55.43287037037036,2021,4,21,2021-04,2
