Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,50.954861111111114,2021,3,17,2021-03,1
2021-03-18,51.470486111111114,2021,3,18,2021-03,1
2021-03-19,51.532986111111114,2021,3,19,2021-03,1
2021-03-20,53.248263888888886,2021,3,20,2021-03,1
2021-03-21,56.772569444444436,2021,3,21,2021-03,1
2021-03-22,52.45659722222222,2021,3,22,2021-03,1
2021-03-23,51.22048611111111,2021,3,23,2021-03,1
2021-03-24,51.060763888888886,2021,3,24,2021-03,1
2021-03-25,51.020833333333336,2021,3,25,2021-03,1
2021-03-26,50.77256944444444,2021,3,26,2021-03,1
2021-03-27,50.88194444444444,2021,3,27,2021-03,1
2021-03-28,53.33333333333333,2021,3,28,2021-03,1
2021-03-29,50.63368055555556,2021,3,29,2021-03,1
2021-03-30,51.470486111111114,2021,3,30,2021-03,1
2021-03-31,50.904513888888886,2021,3,31,2021-03,1
2021-04-01,50.72222222222222,2021,4,1,2021-04,2
2021-04-02,50.61284722222223,2021,4,2,2021-04,2
2021-04-03,50.204861111111114,2021,4,3,2021-04,2
2021-04-04,52.83159722222222,2021,4,4,2021-04,2
2021-04-05,51.02083333333333,2021,4,5,2021-04,2
2021-04-06,52.62847222222222,2021,4,6,2021-04,2
2021-04-07,51.17534722222222,2021,4,7,2021-04,2
2021-04-08,51.265625,2021,4,8,2021-04,2
2021-04-09,50.91493055555555,2021,4,9,2021-04,2
2021-04-10,51.36805555555555,2021,4,10,2021-04,2
2021-04-11,51.49652777777777,2021,4,11,2021-04,2
2021-04-12,51.109375,2021,4,12,2021-04,2
2021-04-13,52.171875,2021,4,13,2021-04,2
2021-04-14,51.05729166666667,2021,4,14,2021-04,2
2021-04-15,51.27083333333333,2021,4,15,2021-04,2
2021-04-16,52.151041666666664,2021,4,16,2021-04,2
2021-04-17,55.24479166666667,2021,4,17,2021-04,2
2021-04-18,51.361111111111114,2021,4,18,2021-04,2
2021-04-19,51.22569444444444,2021,4,19,2021-04,2
2021-04-20,51.390625,2021,4,20,2021-04,2
2021-04-21,51.06423611111111,2021,4,21,2021-04,2
2021-04-22,50.78124999999999,2021,4,22,2021-04,2
2021-04-23,50.638888888888886,2021,4,23,2021-04,2
2021-04-24,50.576388888888886,2021,4,24,2021-04,2
2021-04-25,51.24305555555555,2021,4,25,2021-04,2
2021-04-26,50.986111111111114,2021,4,26,2021-04,2
2021-04-27,51.34375,2021,4,27,2021-04,2
2021-04-28,51.907986111111114,2021,4,28,2021-04,2
2021-04-29,54.121527777777786,2021,4,29,2021-04,2
2021-04-30,50.55381944444444,2021,4,30,2021-04,2
2021-05-01,51.68055555555556,2021,5,1,2021-05,3
2021-05-02,51.166666666666664,2021,5,2,2021-05,3
2021-05-03,50.619791666666664,2021,5,3,2021-05,3
2021-05-04,50.739583333333336,2021,5,4,2021-05,3
2021-05-05,53.560763888888886,2021,5,5,2021-05,3
2021-05-06,50.279513888888886,2021,5,6,2021-05,3
2021-05-07,52.40972222222223,2021,5,7,2021-05,3
2021-05-08,50.494791666666664,2021,5,8,2021-05,3
2021-05-09,50.6875,2021,5,9,2021-05,3
2021-05-10,50.91840277777777,2021,5,10,2021-05,3
2021-05-11,51.34027777777778,2021,5,11,2021-05,3
2021-05-12,53.54861111111111,2021,5,12,2021-05,3
2021-05-13,51.28645833333333,2021,5,13,2021-05,3
2021-05-14,51.07465277777778,2021,5,14,2021-05,3
2021-05-15,51.60314685314685,2021,5,15,2021-05,3
2021-05-16,51.375,2021,5,16,2021-05,3
