Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,35.06510416666668,2021,3,17,2021-03,1
2021-03-18,35.130830989217074,2021,3,18,2021-03,1
2021-03-19,32.13368055555556,2021,3,19,2021-03,1
2021-03-20,36.5792824074074,2021,3,20,2021-03,1
2021-03-21,36.66725011384336,2021,3,21,2021-03,1
2021-03-22,34.640625,2021,3,22,2021-03,1
2021-03-23,34.580729166666664,2021,3,23,2021-03,1
2021-03-24,34.681134259259274,2021,3,24,2021-03,1
2021-03-25,34.96672453703704,2021,3,25,2021-03,1
2021-03-26,34.699363425925924,2021,3,26,2021-03,1
2021-03-27,34.948495370370374,2021,3,27,2021-03,1
2021-03-28,40.93544823232323,2021,3,28,2021-03,1
2021-03-29,34.49450231481481,2021,3,29,2021-03,1
2021-03-30,34.866030092592595,2021,3,30,2021-03,1
2021-03-31,35.091435185185176,2021,3,31,2021-03,1
2021-04-01,34.97280092592592,2021,4,1,2021-04,2
2021-04-02,34.531539351851855,2021,4,2,2021-04,2
2021-04-03,34.372395833333336,2021,4,3,2021-04,2
2021-04-04,37.600694444444436,2021,4,4,2021-04,2
2021-04-05,34.29195601851852,2021,4,5,2021-04,2
2021-04-06,34.46874999999999,2021,4,6,2021-04,2
2021-04-07,34.68605324074075,2021,4,7,2021-04,2
2021-04-08,34.7740162037037,2021,4,8,2021-04,2
2021-04-09,34.791666666666664,2021,4,9,2021-04,2
2021-04-10,34.57436342592593,2021,4,10,2021-04,2
2021-04-11,34.88339120370371,2021,4,11,2021-04,2
2021-04-12,36.21383101851852,2021,4,12,2021-04,2
2021-04-13,36.42650462962964,2021,4,13,2021-04,2
2021-04-14,34.56105324074074,2021,4,14,2021-04,2
2021-04-15,34.84201388888889,2021,4,15,2021-04,2
2021-04-16,35.62934027777777,2021,4,16,2021-04,2
2021-04-17,40.111400462962955,2021,4,17,2021-04,2
2021-04-18,34.45949074074074,2021,4,18,2021-04,2
2021-04-19,34.7416087962963,2021,4,19,2021-04,2
