Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,36.669579945799455,2021,3,17,2021-03,1
2021-03-18,36.62584688346883,2021,3,18,2021-03,1
2021-03-19,36.816415149770975,2021,3,19,2021-03,1
2021-03-20,38.362726704190116,2021,3,20,2021-03,1
2021-03-21,43.94732384823849,2021,3,21,2021-03,1
2021-03-22,40.64719369562116,2021,3,22,2021-03,1
2021-03-23,38.23132933960918,2021,3,23,2021-03,1
2021-03-24,37.46561653116531,2021,3,24,2021-03,1
2021-03-25,38.02913279132791,2021,3,25,2021-03,1
2021-03-26,38.2763197168685,2021,3,26,2021-03,1
2021-03-27,37.77371273712736,2021,3,27,2021-03,1
2021-03-28,41.40091463414634,2021,3,28,2021-03,1
2021-03-29,37.95867208672085,2021,3,29,2021-03,1
2021-03-30,38.388380758807585,2021,3,30,2021-03,1
2021-03-31,38.167344173441734,2021,3,31,2021-03,1
2021-04-01,38.389566395663955,2021,4,1,2021-04,2
2021-04-02,38.624661246612455,2021,4,2,2021-04,2
2021-04-03,38.60823170731708,2021,4,3,2021-04,2
2021-04-04,42.16158536585365,2021,4,4,2021-04,2
2021-04-05,40.50626693766938,2021,4,5,2021-04,2
2021-04-06,38.22459349593494,2021,4,6,2021-04,2
2021-04-07,38.04098915989159,2021,4,7,2021-04,2
2021-04-08,38.40311653116531,2021,4,8,2021-04,2
2021-04-09,38.11822493224932,2021,4,9,2021-04,2
2021-04-10,38.26050135501356,2021,4,10,2021-04,2
2021-04-11,38.64244579945801,2021,4,11,2021-04,2
2021-04-12,38.674736893045626,2021,4,12,2021-04,2
2021-04-13,39.7425012318305,2021,4,13,2021-04,2
2021-04-14,42.37425474254743,2021,4,14,2021-04,2
2021-04-15,38.15996182827682,2021,4,15,2021-04,2
2021-04-16,38.432757452574535,2021,4,16,2021-04,2
2021-04-17,43.20105013550136,2021,4,17,2021-04,2
2021-04-18,44.016937669376695,2021,4,18,2021-04,2
2021-04-19,39.09097045261497,2021,4,19,2021-04,2
2021-04-20,38.48534772319553,2021,4,20,2021-04,2
2021-04-21,38.06421627153334,2021,4,21,2021-04,2
2021-04-22,38.307588075880766,2021,4,22,2021-04,2
2021-04-23,38.54302168021679,2021,4,23,2021-04,2
2021-04-24,38.99119241192411,2021,4,24,2021-04,2
2021-04-25,38.7720189701897,2021,4,25,2021-04,2
2021-04-26,38.37483062330624,2021,4,26,2021-04,2
2021-04-27,38.88753387533875,2021,4,27,2021-04,2
2021-04-28,39.829607046070464,2021,4,28,2021-04,2
2021-04-29,44.763380758807585,2021,4,29,2021-04,2
2021-04-30,39.446307588075875,2021,4,30,2021-04,2
2021-05-01,42.38313008130082,2021,5,1,2021-05,3
2021-05-02,41.44241192411923,2021,5,2,2021-05,3
2021-05-03,38.35789295392954,2021,5,3,2021-05,3
2021-05-04,38.15125338753388,2021,5,4,2021-05,3
2021-05-05,40.62533875338753,2021,5,5,2021-05,3
2021-05-06,37.25575880758807,2021,5,6,2021-05,3
2021-05-07,38.85889990768039,2021,5,7,2021-05,3
2021-05-08,39.0138888888889,2021,5,8,2021-05,3
2021-05-09,39.232046070460704,2021,5,9,2021-05,3
2021-05-10,38.208337239407506,2021,5,10,2021-05,3
2021-05-11,38.43322576897119,2021,5,11,2021-05,3
2021-05-12,38.76734011979027,2021,5,12,2021-05,3
2021-05-13,38.815350910518454,2021,5,13,2021-05,3
2021-05-14,39.377267351989765,2021,5,14,2021-05,3
2021-05-15,39.49932249322494,2021,5,15,2021-05,3
2021-05-16,40.74356368563686,2021,5,16,2021-05,3
2021-05-17,46.05196267117538,2021,5,17,2021-05,3
2021-05-18,41.56101812035807,2021,5,18,2021-05,3
2021-05-19,40.89741418247517,2021,5,19,2021-05,3
2021-05-20,39.4445359325856,2021,5,20,2021-05,3
2021-05-21,43.908813747228386,2021,5,21,2021-05,3
2021-05-22,38.35281165311652,2021,5,22,2021-05,3
2021-05-23,38.742039295392956,2021,5,23,2021-05,3
2021-05-24,38.61418408826945,2021,5,24,2021-05,3
2021-05-25,40.32191118502095,2021,5,25,2021-05,3
2021-05-26,37.96148997775144,2021,5,26,2021-05,3
2021-05-27,41.82734663710273,2021,5,27,2021-05,3
2021-05-28,38.18770325203252,2021,5,28,2021-05,3
2021-05-29,38.568766937669366,2021,5,29,2021-05,3
2021-05-30,38.301321138211364,2021,5,30,2021-05,3
2021-05-31,38.64522049765953,2021,5,31,2021-05,3
2021-06-01,38.52467253839206,2021,6,1,2021-06,4
2021-06-02,39.236508376447404,2021,6,2,2021-06,4
2021-06-03,39.22839061345158,2021,6,3,2021-06,4
2021-06-04,46.71184729867303,2021,6,4,2021-06,4
2021-06-05,38.15819783197832,2021,6,5,2021-06,4
2021-06-06,39.07942518898872,2021,6,6,2021-06,4
2021-06-07,39.28342166248765,2021,6,7,2021-06,4
