Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,31.691666666666663,2021,3,17,2021-03,1
2021-03-18,31.786111111111108,2021,3,18,2021-03,1
2021-03-19,31.697902097902094,2021,3,19,2021-03,1
2021-03-20,31.602777777777778,2021,3,20,2021-03,1
2021-03-21,38.415277777777774,2021,3,21,2021-03,1
2021-03-22,33.352777777777774,2021,3,22,2021-03,1
2021-03-23,31.344444444444445,2021,3,23,2021-03,1
2021-03-24,31.493055555555554,2021,3,24,2021-03,1
2021-03-25,31.395833333333336,2021,3,25,2021-03,1
2021-03-26,31.545833333333338,2021,3,26,2021-03,1
2021-03-27,31.45,2021,3,27,2021-03,1
2021-03-28,32.477777777777774,2021,3,28,2021-03,1
2021-03-29,33.169444444444444,2021,3,29,2021-03,1
2021-03-30,31.24444444444444,2021,3,30,2021-03,1
2021-03-31,31.400000000000006,2021,3,31,2021-03,1
2021-04-01,31.46666666666667,2021,4,1,2021-04,2
2021-04-02,31.386111111111113,2021,4,2,2021-04,2
2021-04-03,31.23055555555556,2021,4,3,2021-04,2
2021-04-04,32.38194444444444,2021,4,4,2021-04,2
2021-04-05,35.13055555555555,2021,4,5,2021-04,2
2021-04-06,30.669444444444444,2021,4,6,2021-04,2
2021-04-07,30.981944444444444,2021,4,7,2021-04,2
2021-04-08,31.573611111111113,2021,4,8,2021-04,2
2021-04-09,31.41527777777778,2021,4,9,2021-04,2
2021-04-10,31.25138888888889,2021,4,10,2021-04,2
2021-04-11,31.440277777777784,2021,4,11,2021-04,2
2021-04-12,31.334722222222222,2021,4,12,2021-04,2
2021-04-13,31.4375,2021,4,13,2021-04,2
2021-04-14,36.58472222222222,2021,4,14,2021-04,2
2021-04-15,31.080555555555556,2021,4,15,2021-04,2
2021-04-16,31.025,2021,4,16,2021-04,2
2021-04-17,33.10138888888889,2021,4,17,2021-04,2
2021-04-18,31.825,2021,4,18,2021-04,2
2021-04-19,31.138888888888886,2021,4,19,2021-04,2
2021-04-20,31.47083333333333,2021,4,20,2021-04,2
2021-04-21,31.434722222222224,2021,4,21,2021-04,2
2021-04-22,31.40694444444444,2021,4,22,2021-04,2
2021-04-23,31.37083333333333,2021,4,23,2021-04,2
2021-04-24,31.58055555555556,2021,4,24,2021-04,2
2021-04-25,32.06944444444444,2021,4,25,2021-04,2
2021-04-26,31.675000000000004,2021,4,26,2021-04,2
2021-04-27,31.826388888888893,2021,4,27,2021-04,2
2021-04-28,32.025,2021,4,28,2021-04,2
2021-04-29,33.68055555555556,2021,4,29,2021-04,2
2021-04-30,31.319444444444446,2021,4,30,2021-04,2
2021-05-01,33.52916666666667,2021,5,1,2021-05,3
2021-05-02,32.08333333333333,2021,5,2,2021-05,3
2021-05-03,31.293055555555554,2021,5,3,2021-05,3
