Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,48.14131944444444,2021,3,17,2021-03,1
2021-03-18,48.334027777777784,2021,3,18,2021-03,1
2021-03-19,48.284404137529144,2021,3,19,2021-03,1
2021-03-20,49.18055555555555,2021,3,20,2021-03,1
2021-03-21,56.94166666666668,2021,3,21,2021-03,1
2021-03-22,48.97881944444444,2021,3,22,2021-03,1
2021-03-23,47.653125,2021,3,23,2021-03,1
2021-03-24,47.943749999999994,2021,3,24,2021-03,1
2021-03-25,47.91354166666667,2021,3,25,2021-03,1
2021-03-26,48.01971396658897,2021,3,26,2021-03,1
2021-03-27,48.08194444444445,2021,3,27,2021-03,1
2021-03-28,51.056597222222216,2021,3,28,2021-03,1
2021-03-29,49.14652777777777,2021,3,29,2021-03,1
2021-03-30,47.897222222222226,2021,3,30,2021-03,1
2021-03-31,48.084375,2021,3,31,2021-03,1
2021-04-01,48.03263888888888,2021,4,1,2021-04,2
2021-04-02,47.88402777777777,2021,4,2,2021-04,2
2021-04-03,47.85659722222222,2021,4,3,2021-04,2
2021-04-04,49.10164627039627,2021,4,4,2021-04,2
2021-04-05,48.82534722222223,2021,4,5,2021-04,2
2021-04-06,47.46631944444445,2021,4,6,2021-04,2
2021-04-07,47.74340277777778,2021,4,7,2021-04,2
2021-04-08,48.54263649425287,2021,4,8,2021-04,2
2021-04-09,47.601041666666674,2021,4,9,2021-04,2
2021-04-10,47.83263888888889,2021,4,10,2021-04,2
2021-04-11,48.04409722222222,2021,4,11,2021-04,2
2021-04-12,47.8408143939394,2021,4,12,2021-04,2
2021-04-13,48.2001936026936,2021,4,13,2021-04,2
2021-04-14,49.3362821310116,2021,4,14,2021-04,2
2021-04-15,47.67254629629629,2021,4,15,2021-04,2
2021-04-16,47.77192721386801,2021,4,16,2021-04,2
2021-04-17,49.73611111111111,2021,4,17,2021-04,2
2021-04-18,48.108333333333334,2021,4,18,2021-04,2
2021-04-19,47.57777777777778,2021,4,19,2021-04,2
2021-04-20,48.06215277777777,2021,4,20,2021-04,2
2021-04-21,47.783327332626754,2021,4,21,2021-04,2
2021-04-22,47.81736111111112,2021,4,22,2021-04,2
2021-04-23,47.85088101160863,2021,4,23,2021-04,2
2021-04-24,48.27395833333334,2021,4,24,2021-04,2
2021-04-25,48.44375,2021,4,25,2021-04,2
2021-04-26,47.861111111111114,2021,4,26,2021-04,2
2021-04-27,48.25334967320261,2021,4,27,2021-04,2
2021-04-28,48.576041666666654,2021,4,28,2021-04,2
2021-04-29,50.355902777777786,2021,4,29,2021-04,2
2021-04-30,47.7486111111111,2021,4,30,2021-04,2
2021-05-01,48.41979166666668,2021,5,1,2021-05,3
2021-05-02,48.22854506604506,2021,5,2,2021-05,3
2021-05-03,47.634375,2021,5,3,2021-05,3
2021-05-04,47.831944444444446,2021,5,4,2021-05,3
2021-05-05,49.197916666666664,2021,5,5,2021-05,3
2021-05-06,47.956597222222236,2021,5,6,2021-05,3
2021-05-07,48.72083333333333,2021,5,7,2021-05,3
2021-05-08,48.343485915492955,2021,5,8,2021-05,3
2021-05-09,48.678124999999994,2021,5,9,2021-05,3
2021-05-10,48.15243055555556,2021,5,10,2021-05,3
2021-05-11,48.159375,2021,5,11,2021-05,3
2021-05-12,48.17465277777778,2021,5,12,2021-05,3
2021-05-13,48.50381944444445,2021,5,13,2021-05,3
2021-05-14,48.464236111111106,2021,5,14,2021-05,3
2021-05-15,48.62916666666667,2021,5,15,2021-05,3
2021-05-16,48.81979166666667,2021,5,16,2021-05,3
2021-05-17,49.41736111111111,2021,5,17,2021-05,3
2021-05-18,53.12222222222222,2021,5,18,2021-05,3
2021-05-19,50.72326388888888,2021,5,19,2021-05,3
2021-05-20,48.94097222222222,2021,5,20,2021-05,3
2021-05-21,49.31840277777778,2021,5,21,2021-05,3
2021-05-22,51.66979166666666,2021,5,22,2021-05,3
2021-05-23,48.17118055555555,2021,5,23,2021-05,3
2021-05-24,47.688541666666666,2021,5,24,2021-05,3
2021-05-25,49.380876068376075,2021,5,25,2021-05,3
2021-05-26,47.290277777777774,2021,5,26,2021-05,3
2021-05-27,50.859374999999986,2021,5,27,2021-05,3
2021-05-28,47.201388888888886,2021,5,28,2021-05,3
2021-05-29,47.729166666666664,2021,5,29,2021-05,3
2021-05-30,48.40555555555556,2021,5,30,2021-05,3
2021-05-31,50.81597222222222,2021,5,31,2021-05,3
2021-06-01,47.378472222222214,2021,6,1,2021-06,4
2021-06-02,47.28472222222222,2021,6,2,2021-06,4
2021-06-03,47.314930555555556,2021,6,3,2021-06,4
2021-06-04,51.22326388888888,2021,6,4,2021-06,4
2021-06-05,47.464236111111106,2021,6,5,2021-06,4
2021-06-06,47.79826388888888,2021,6,6,2021-06,4
2021-06-07,48.26909722222222,2021,6,7,2021-06,4
2021-06-08,48.7736111111111,2021,6,8,2021-06,4
2021-06-09,47.93229166666667,2021,6,9,2021-06,4
2021-06-10,48.22569444444444,2021,6,10,2021-06,4
2021-06-11,47.90194493006993,2021,6,11,2021-06,4
2021-06-12,48.006249999999994,2021,6,12,2021-06,4
2021-06-13,48.409455128205124,2021,6,13,2021-06,4
2021-06-14,49.707638888888894,2021,6,14,2021-06,4
2021-06-15,48.394791666666656,2021,6,15,2021-06,4
2021-06-16,48.656250000000014,2021,6,16,2021-06,4
2021-06-17,47.43601354453627,2021,6,17,2021-06,4
2021-06-18,47.424168192918195,2021,6,18,2021-06,4
2021-06-19,50.63125000000001,2021,6,19,2021-06,4
2021-06-20,47.50416666666666,2021,6,20,2021-06,4
2021-06-21,47.517708333333324,2021,6,21,2021-06,4
2021-06-22,47.48784722222223,2021,6,22,2021-06,4
2021-06-23,47.83819444444445,2021,6,23,2021-06,4
2021-06-24,49.34026563714063,2021,6,24,2021-06,4
2021-06-25,48.454861111111114,2021,6,25,2021-06,4
2021-06-26,47.244791666666664,2021,6,26,2021-06,4
