Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,25.028645833333336,2021,3,17,2021-03,1
2021-03-18,24.890625,2021,3,18,2021-03,1
2021-03-19,25.089409722222218,2021,3,19,2021-03,1
2021-03-20,24.70572916666667,2021,3,20,2021-03,1
2021-03-21,26.17795138888889,2021,3,21,2021-03,1
2021-03-22,24.24045138888889,2021,3,22,2021-03,1
2021-03-23,23.875,2021,3,23,2021-03,1
2021-03-24,26.177951388888886,2021,3,24,2021-03,1
2021-03-25,24.680555555555554,2021,3,25,2021-03,1
2021-03-26,25.02170138888889,2021,3,26,2021-03,1
2021-03-27,25.139756944444443,2021,3,27,2021-03,1
2021-03-28,25.776041666666668,2021,3,28,2021-03,1
2021-03-29,24.974826388888893,2021,3,29,2021-03,1
2021-03-30,25.014756944444446,2021,3,30,2021-03,1
2021-03-31,25.311631944444443,2021,3,31,2021-03,1
2021-04-01,24.67013888888889,2021,4,1,2021-04,2
2021-04-02,27.06770833333333,2021,4,2,2021-04,2
2021-04-03,25.08506944444445,2021,4,3,2021-04,2
2021-04-04,25.789930555555554,2021,4,4,2021-04,2
2021-04-05,25.199652777777775,2021,4,5,2021-04,2
2021-04-06,25.014756944444446,2021,4,6,2021-04,2
2021-04-07,25.084201388888893,2021,4,7,2021-04,2
2021-04-08,25.42534722222222,2021,4,8,2021-04,2
2021-04-09,25.636284722222225,2021,4,9,2021-04,2
2021-04-10,25.68576388888889,2021,4,10,2021-04,2
2021-04-11,25.408854166666668,2021,4,11,2021-04,2
2021-04-12,25.054687500000004,2021,4,12,2021-04,2
2021-04-13,24.671006944444443,2021,4,13,2021-04,2
2021-04-14,26.138020833333332,2021,4,14,2021-04,2
2021-04-15,25.868923611111107,2021,4,15,2021-04,2
2021-04-16,25.806423611111114,2021,4,16,2021-04,2
2021-04-17,25.439236111111114,2021,4,17,2021-04,2
2021-04-18,25.19704861111111,2021,4,18,2021-04,2
2021-04-19,25.08767361111111,2021,4,19,2021-04,2
2021-04-20,25.055555555555554,2021,4,20,2021-04,2
2021-04-21,25.64236111111111,2021,4,21,2021-04,2
2021-04-22,25.758680555555557,2021,4,22,2021-04,2
2021-04-23,26.481770833333332,2021,4,23,2021-04,2
2021-04-24,25.092881944444443,2021,4,24,2021-04,2
2021-04-25,24.953993055555554,2021,4,25,2021-04,2
2021-04-26,25.049479166666664,2021,4,26,2021-04,2
2021-04-27,25.070312500000004,2021,4,27,2021-04,2
2021-04-28,24.472222222222225,2021,4,28,2021-04,2
2021-04-29,26.423611111111107,2021,4,29,2021-04,2
2021-04-30,24.460069444444446,2021,4,30,2021-04,2
2021-05-01,24.350694444444443,2021,5,1,2021-05,3
2021-05-02,24.17361111111111,2021,5,2,2021-05,3
2021-05-03,25.000000000000004,2021,5,3,2021-05,3
2021-05-04,25.32465277777778,2021,5,4,2021-05,3
2021-05-05,25.471354166666664,2021,5,5,2021-05,3
2021-05-06,24.9921875,2021,5,6,2021-05,3
2021-05-07,24.982638888888893,2021,5,7,2021-05,3
2021-05-08,24.888020833333332,2021,5,8,2021-05,3
2021-05-09,26.0234375,2021,5,9,2021-05,3
2021-05-10,25.039930555555554,2021,5,10,2021-05,3
2021-05-11,23.791666666666664,2021,5,11,2021-05,3
2021-05-12,24.28472222222222,2021,5,12,2021-05,3
2021-05-13,24.767361111111114,2021,5,13,2021-05,3
2021-05-14,24.814236111111114,2021,5,14,2021-05,3
2021-05-15,24.74826388888889,2021,5,15,2021-05,3
2021-05-16,24.900173611111114,2021,5,16,2021-05,3
2021-05-17,24.575520833333336,2021,5,17,2021-05,3
2021-05-18,24.907986111111114,2021,5,18,2021-05,3
2021-05-19,25.061631944444446,2021,5,19,2021-05,3
2021-05-20,24.44704861111111,2021,5,20,2021-05,3
2021-05-21,24.434895833333343,2021,5,21,2021-05,3
2021-05-22,25.138020833333332,2021,5,22,2021-05,3
