Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,47.14907407407407,2021,3,17,2021-03,1
2021-03-18,47.37592592592593,2021,3,18,2021-03,1
2021-03-19,47.625462962962956,2021,3,19,2021-03,1
2021-03-20,49.49583333333333,2021,3,20,2021-03,1
2021-03-21,54.636111111111106,2021,3,21,2021-03,1
2021-03-22,49.617592592592594,2021,3,22,2021-03,1
2021-03-23,47.731018518518525,2021,3,23,2021-03,1
2021-03-24,48.05972222222222,2021,3,24,2021-03,1
2021-03-25,48.11666666666667,2021,3,25,2021-03,1
2021-03-26,47.76481481481482,2021,3,26,2021-03,1
2021-03-27,48.19537037037038,2021,3,27,2021-03,1
2021-03-28,53.103703703703694,2021,3,28,2021-03,1
2021-03-29,47.98425925925926,2021,3,29,2021-03,1
2021-03-30,48.69027777777777,2021,3,30,2021-03,1
2021-03-31,48.26203703703704,2021,3,31,2021-03,1
2021-04-01,48.790277777777774,2021,4,1,2021-04,2
2021-04-02,48.42824074074074,2021,4,2,2021-04,2
2021-04-03,48.025,2021,4,3,2021-04,2
2021-04-04,51.320391017433266,2021,4,4,2021-04,2
2021-04-05,47.82483896940418,2021,4,5,2021-04,2
2021-04-06,48.920438676381295,2021,4,6,2021-04,2
2021-04-07,47.648148148148145,2021,4,7,2021-04,2
2021-04-08,48.61249999999999,2021,4,8,2021-04,2
2021-04-09,47.96898148148148,2021,4,9,2021-04,2
2021-04-10,48.166666666666664,2021,4,10,2021-04,2
2021-04-11,48.85138888888889,2021,4,11,2021-04,2
2021-04-12,48.34675925925925,2021,4,12,2021-04,2
2021-04-13,49.70787037037037,2021,4,13,2021-04,2
2021-04-14,49.237447665056365,2021,4,14,2021-04,2
2021-04-15,48.104629629629635,2021,4,15,2021-04,2
2021-04-16,48.648611111111116,2021,4,16,2021-04,2
2021-04-17,52.515277777777776,2021,4,17,2021-04,2
2021-04-18,49.37268518518519,2021,4,18,2021-04,2
2021-04-19,48.05462962962963,2021,4,19,2021-04,2
2021-04-20,48.73472222222222,2021,4,20,2021-04,2
2021-04-21,48.267592592592585,2021,4,21,2021-04,2
2021-04-22,48.43981481481482,2021,4,22,2021-04,2
2021-04-23,48.59398148148149,2021,4,23,2021-04,2
2021-04-24,48.864351851851865,2021,4,24,2021-04,2
2021-04-25,48.60126811594203,2021,4,25,2021-04,2
2021-04-26,48.26342592592592,2021,4,26,2021-04,2
2021-04-27,49.041666666666664,2021,4,27,2021-04,2
2021-04-28,51.2226851851852,2021,4,28,2021-04,2
2021-04-29,53.00648148148148,2021,4,29,2021-04,2
2021-04-30,48.38148148148149,2021,4,30,2021-04,2
2021-05-01,49.20601851851852,2021,5,1,2021-05,3
2021-05-02,49.848148148148155,2021,5,2,2021-05,3
2021-05-03,47.70555555555555,2021,5,3,2021-05,3
2021-05-04,48.41805555555556,2021,5,4,2021-05,3
2021-05-05,53.467592592592595,2021,5,5,2021-05,3
2021-05-06,47.934722222222234,2021,5,6,2021-05,3
2021-05-07,49.473148148148155,2021,5,7,2021-05,3
2021-05-08,48.249537037037044,2021,5,8,2021-05,3
2021-05-09,48.79583333333333,2021,5,9,2021-05,3
2021-05-10,48.514351851851856,2021,5,10,2021-05,3
2021-05-11,48.30324074074075,2021,5,11,2021-05,3
2021-05-12,48.99953703703704,2021,5,12,2021-05,3
2021-05-13,48.2550925925926,2021,5,13,2021-05,3
2021-05-14,49.161574074074075,2021,5,14,2021-05,3
2021-05-15,48.740277777777784,2021,5,15,2021-05,3
2021-05-16,50.51111111111113,2021,5,16,2021-05,3
2021-05-17,52.00092592592593,2021,5,17,2021-05,3
2021-05-18,50.18287037037037,2021,5,18,2021-05,3
2021-05-19,50.49351851851852,2021,5,19,2021-05,3
2021-05-20,51.99074074074073,2021,5,20,2021-05,3
2021-05-21,50.896759259259255,2021,5,21,2021-05,3
2021-05-22,48.048611111111114,2021,5,22,2021-05,3
2021-05-23,48.03287037037037,2021,5,23,2021-05,3
