Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,37.395833333333336,2021,3,17,2021-03,1
2021-03-18,38.023148148148145,2021,3,18,2021-03,1
2021-03-19,38.099537037037045,2021,3,19,2021-03,1
2021-03-20,42.54050925925926,2021,3,20,2021-03,1
2021-03-21,39.24305555555555,2021,3,21,2021-03,1
2021-03-22,37.41550925925926,2021,3,22,2021-03,1
2021-03-23,37.71643518518518,2021,3,23,2021-03,1
2021-03-24,37.98726851851852,2021,3,24,2021-03,1
2021-03-25,38.276620370370374,2021,3,25,2021-03,1
2021-03-26,38.06597222222222,2021,3,26,2021-03,1
2021-03-27,38.53703703703704,2021,3,27,2021-03,1
2021-03-28,43.05555555555555,2021,3,28,2021-03,1
2021-03-29,37.49537037037037,2021,3,29,2021-03,1
2021-03-30,37.95833333333333,2021,3,30,2021-03,1
2021-03-31,38.145833333333336,2021,3,31,2021-03,1
2021-04-01,38.18518518518519,2021,4,1,2021-04,2
2021-04-02,37.43518518518518,2021,4,2,2021-04,2
2021-04-03,37.50925925925926,2021,4,3,2021-04,2
2021-04-04,39.14512917637918,2021,4,4,2021-04,2
2021-04-05,37.2025462962963,2021,4,5,2021-04,2
2021-04-06,37.56481481481482,2021,4,6,2021-04,2
2021-04-07,38.042824074074076,2021,4,7,2021-04,2
2021-04-08,38.36921296296297,2021,4,8,2021-04,2
2021-04-09,38.436342592592595,2021,4,9,2021-04,2
2021-04-10,38.1712962962963,2021,4,10,2021-04,2
2021-04-11,38.49074074074074,2021,4,11,2021-04,2
2021-04-12,40.152777777777786,2021,4,12,2021-04,2
2021-04-13,39.30787037037037,2021,4,13,2021-04,2
2021-04-14,37.583333333333336,2021,4,14,2021-04,2
2021-04-15,38.18055555555555,2021,4,15,2021-04,2
2021-04-16,38.43865740740741,2021,4,16,2021-04,2
2021-04-17,43.17361111111111,2021,4,17,2021-04,2
2021-04-18,37.545138888888886,2021,4,18,2021-04,2
2021-04-19,38.0787037037037,2021,4,19,2021-04,2
2021-04-20,38.02546296296296,2021,4,20,2021-04,2
2021-04-21,38.1712962962963,2021,4,21,2021-04,2
2021-04-22,38.54513888888889,2021,4,22,2021-04,2
2021-04-23,38.4224537037037,2021,4,23,2021-04,2
2021-04-24,38.1400462962963,2021,4,24,2021-04,2
2021-04-25,38.3275462962963,2021,4,25,2021-04,2
2021-04-26,38.04282407407407,2021,4,26,2021-04,2
2021-04-27,38.49305555555555,2021,4,27,2021-04,2
2021-04-28,40.16087962962963,2021,4,28,2021-04,2
2021-04-29,42.214120370370374,2021,4,29,2021-04,2
2021-04-30,37.192129629629626,2021,4,30,2021-04,2
2021-05-01,37.960648148148145,2021,5,1,2021-05,3
2021-05-02,37.370370370370374,2021,5,2,2021-05,3
2021-05-03,37.820601851851855,2021,5,3,2021-05,3
2021-05-04,38.34259259259259,2021,5,4,2021-05,3
2021-05-05,43.745370370370374,2021,5,5,2021-05,3
2021-05-06,37.3912037037037,2021,5,6,2021-05,3
2021-05-07,39.768518518518526,2021,5,7,2021-05,3
2021-05-08,37.563657407407405,2021,5,8,2021-05,3
2021-05-09,37.59606481481482,2021,5,9,2021-05,3
2021-05-10,38.14351851851852,2021,5,10,2021-05,3
2021-05-11,39.3900462962963,2021,5,11,2021-05,3
2021-05-12,43.835648148148145,2021,5,12,2021-05,3
2021-05-13,38.0787037037037,2021,5,13,2021-05,3
2021-05-14,38.8275462962963,2021,5,14,2021-05,3
2021-05-15,41.95023148148148,2021,5,15,2021-05,3
2021-05-16,36.625,2021,5,16,2021-05,3
2021-05-17,42.18171296296297,2021,5,17,2021-05,3
2021-05-18,39.35532407407407,2021,5,18,2021-05,3
2021-05-19,38.61342592592593,2021,5,19,2021-05,3
2021-05-20,42.78472222222223,2021,5,20,2021-05,3
2021-05-21,40.8900462962963,2021,5,21,2021-05,3
2021-05-22,36.84143518518519,2021,5,22,2021-05,3
2021-05-23,37.3125,2021,5,23,2021-05,3
2021-05-24,43.75115740740741,2021,5,24,2021-05,3
2021-05-25,36.87847222222222,2021,5,25,2021-05,3
2021-05-26,39.90856481481481,2021,5,26,2021-05,3
2021-05-27,45.81944444444445,2021,5,27,2021-05,3
2021-05-28,37.0775462962963,2021,5,28,2021-05,3
2021-05-29,37.30671296296296,2021,5,29,2021-05,3
2021-05-30,37.836805555555564,2021,5,30,2021-05,3
2021-05-31,38.09490740740741,2021,5,31,2021-05,3
2021-06-01,38.417824074074076,2021,6,1,2021-06,4
2021-06-02,38.37731481481482,2021,6,2,2021-06,4
2021-06-03,44.035879629629626,2021,6,3,2021-06,4
2021-06-04,45.699074074074076,2021,6,4,2021-06,4
2021-06-05,36.94907407407407,2021,6,5,2021-06,4
2021-06-06,37.55324074074074,2021,6,6,2021-06,4
2021-06-07,37.75115740740741,2021,6,7,2021-06,4
2021-06-08,37.75231481481482,2021,6,8,2021-06,4
2021-06-09,38.1412037037037,2021,6,9,2021-06,4
2021-06-10,38.30902777777778,2021,6,10,2021-06,4
2021-06-11,38.20949074074074,2021,6,11,2021-06,4
2021-06-12,38.01273148148149,2021,6,12,2021-06,4
2021-06-13,37.49074074074074,2021,6,13,2021-06,4
2021-06-14,37.304398148148145,2021,6,14,2021-06,4
2021-06-15,40.45023148148148,2021,6,15,2021-06,4
2021-06-16,39.344907407407405,2021,6,16,2021-06,4
2021-06-17,37.38425925925926,2021,6,17,2021-06,4
2021-06-18,40.138888888888886,2021,6,18,2021-06,4
2021-06-19,38.574074074074076,2021,6,19,2021-06,4
2021-06-20,37.8587962962963,2021,6,20,2021-06,4
2021-06-21,38.04282407407408,2021,6,21,2021-06,4
2021-06-22,38.47453703703704,2021,6,22,2021-06,4
2021-06-23,38.373842592592595,2021,6,23,2021-06,4
2021-06-24,37.99074074074074,2021,6,24,2021-06,4
2021-06-25,38.11921296296296,2021,6,25,2021-06,4
2021-06-26,39.24421296296297,2021,6,26,2021-06,4
2021-06-27,40.24652777777778,2021,6,27,2021-06,4
2021-06-28,38.74305555555556,2021,6,28,2021-06,4
2021-06-29,38.06828703703704,2021,6,29,2021-06,4
2021-06-30,38.50231481481482,2021,6,30,2021-06,4
2021-07-01,38.28240740740741,2021,7,1,2021-07,5
2021-07-02,38.25347222222222,2021,7,2,2021-07,5
2021-07-03,38.33564814814815,2021,7,3,2021-07,5
2021-07-04,36.8900462962963,2021,7,4,2021-07,5
2021-07-05,36.7037037037037,2021,7,5,2021-07,5
2021-07-06,36.980324074074076,2021,7,6,2021-07,5
2021-07-07,36.91550925925926,2021,7,7,2021-07,5
2021-07-08,38.550925925925924,2021,7,8,2021-07,5
2021-07-09,40.22800925925926,2021,7,9,2021-07,5
2021-07-10,44.53472222222222,2021,7,10,2021-07,5
2021-07-11,37.833333333333336,2021,7,11,2021-07,5
2021-07-12,36.65740740740741,2021,7,12,2021-07,5
2021-07-13,36.90856481481482,2021,7,13,2021-07,5
2021-07-14,37.398148148148145,2021,7,14,2021-07,5
2021-07-15,37.417824074074076,2021,7,15,2021-07,5
2021-07-16,37.92824074074074,2021,7,16,2021-07,5
2021-07-17,39.34490740740741,2021,7,17,2021-07,5
2021-07-18,37.38773148148149,2021,7,18,2021-07,5
2021-07-19,37.09722222222222,2021,7,19,2021-07,5
2021-07-20,37.105324074074076,2021,7,20,2021-07,5
2021-07-21,37.27199074074074,2021,7,21,2021-07,5
2021-07-22,37.637731481481474,2021,7,22,2021-07,5
2021-07-23,37.735649766899776,2021,7,23,2021-07,5
2021-07-24,37.71180555555555,2021,7,24,2021-07,5
2021-07-25,37.70949074074074,2021,7,25,2021-07,5
2021-07-26,37.909090909090914,2021,7,26,2021-07,5
2021-07-27,38.469907407407405,2021,7,27,2021-07,5
2021-07-28,38.67524446175147,2021,7,28,2021-07,5
2021-07-29,38.637784573564396,2021,7,29,2021-07,5
2021-07-30,38.493395344886174,2021,7,30,2021-07,5
2021-07-31,38.73726851851852,2021,7,31,2021-07,5
2021-08-01,41.552083333333336,2021,8,1,2021-08,6
