Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,42.55734323432343,2021,3,17,2021-03,1
2021-03-18,42.71603410341035,2021,3,18,2021-03,1
2021-03-19,42.59826126843453,2021,3,19,2021-03,1
2021-03-20,45.60327282728274,2021,3,20,2021-03,1
2021-03-21,50.281696919691974,2021,3,21,2021-03,1
2021-03-22,43.97002200220022,2021,3,22,2021-03,1
2021-03-23,42.5017189218922,2021,3,23,2021-03,1
2021-03-24,42.58792432814712,2021,3,24,2021-03,1
2021-03-25,42.77048954895491,2021,3,25,2021-03,1
2021-03-26,43.49326182618261,2021,3,26,2021-03,1
2021-03-27,42.61936193619362,2021,3,27,2021-03,1
2021-03-28,47.95269526952694,2021,3,28,2021-03,1
2021-03-29,42.34281016129781,2021,3,29,2021-03,1
2021-03-30,42.942217109034864,2021,3,30,2021-03,1
2021-03-31,42.97559130913093,2021,3,31,2021-03,1
2021-04-01,42.94953245324534,2021,4,1,2021-04,2
2021-04-02,43.064279589723675,2021,4,2,2021-04,2
2021-04-03,43.385863586358646,2021,4,3,2021-04,2
2021-04-04,49.80322791894574,2021,4,4,2021-04,2
2021-04-05,42.31146864686468,2021,4,5,2021-04,2
2021-04-06,42.105729602811024,2021,4,6,2021-04,2
2021-04-07,42.16412266226622,2021,4,7,2021-04,2
2021-04-08,42.599559955995595,2021,4,8,2021-04,2
2021-04-09,42.55459295929594,2021,4,9,2021-04,2
2021-04-10,42.57501375137514,2021,4,10,2021-04,2
2021-04-11,42.74126787678768,2021,4,11,2021-04,2
2021-04-12,43.17402365236523,2021,4,12,2021-04,2
2021-04-13,45.70303905390539,2021,4,13,2021-04,2
2021-04-14,44.33573982398239,2021,4,14,2021-04,2
2021-04-15,42.51457645764577,2021,4,15,2021-04,2
2021-04-16,42.84302805280528,2021,4,16,2021-04,2
2021-04-17,48.16350385038503,2021,4,17,2021-04,2
2021-04-18,45.32790154015401,2021,4,18,2021-04,2
2021-04-19,42.164603960396036,2021,4,19,2021-04,2
2021-04-20,42.490786578657875,2021,4,20,2021-04,2
2021-04-21,42.435437293729365,2021,4,21,2021-04,2
2021-04-22,42.4700907590759,2021,4,22,2021-04,2
2021-04-23,42.49525577557754,2021,4,23,2021-04,2
2021-04-24,42.8727310231023,2021,4,24,2021-04,2
2021-04-25,42.69623212321231,2021,4,25,2021-04,2
2021-04-26,42.82810781078108,2021,4,26,2021-04,2
2021-04-27,43.240580308030786,2021,4,27,2021-04,2
2021-04-28,44.89597084708471,2021,4,28,2021-04,2
2021-04-29,49.236386138613845,2021,4,29,2021-04,2
2021-04-30,43.26780803080309,2021,4,30,2021-04,2
2021-05-01,44.23157315731574,2021,5,1,2021-05,3
2021-05-02,45.19726347634764,2021,5,2,2021-05,3
2021-05-03,41.82026952695271,2021,5,3,2021-05,3
2021-05-04,42.17251100110011,2021,5,4,2021-05,3
2021-05-05,47.07274477447744,2021,5,5,2021-05,3
2021-05-06,42.02660891089109,2021,5,6,2021-05,3
2021-05-07,42.7123212321232,2021,5,7,2021-05,3
2021-05-08,42.8076182618262,2021,5,8,2021-05,3
2021-05-09,43.07260726072608,2021,5,9,2021-05,3
2021-05-10,42.59859735973599,2021,5,10,2021-05,3
2021-05-11,42.58257700770078,2021,5,11,2021-05,3
2021-05-12,42.76001100110012,2021,5,12,2021-05,3
2021-05-13,43.40938881881054,2021,5,13,2021-05,3
2021-05-14,43.51236037065245,2021,5,14,2021-05,3
2021-05-15,43.737150638140726,2021,5,15,2021-05,3
2021-05-16,46.484117161716156,2021,5,16,2021-05,3
2021-05-17,51.17637658556743,2021,5,17,2021-05,3
2021-05-18,44.74462149095112,2021,5,18,2021-05,3
2021-05-19,42.68643393465559,2021,5,19,2021-05,3
2021-05-20,46.5459958337133,2021,5,20,2021-05,3
2021-05-21,47.58401889946275,2021,5,21,2021-05,3
2021-05-22,42.17106710671067,2021,5,22,2021-05,3
2021-05-23,42.29895489548955,2021,5,23,2021-05,3
2021-05-24,44.127924811711935,2021,5,24,2021-05,3
2021-05-25,44.04745698150847,2021,5,25,2021-05,3
2021-05-26,41.92401564185542,2021,5,26,2021-05,3
2021-05-27,46.5922083106369,2021,5,27,2021-05,3
2021-05-28,41.964592211648345,2021,5,28,2021-05,3
2021-05-29,43.490786578657854,2021,5,29,2021-05,3
2021-05-30,42.655390539053926,2021,5,30,2021-05,3
2021-05-31,42.31555297986857,2021,5,31,2021-05,3
2021-06-01,42.348004562084945,2021,6,1,2021-06,4
2021-06-02,42.97525153000737,2021,6,2,2021-06,4
2021-06-03,43.45336527678158,2021,6,3,2021-06,4
2021-06-04,54.06784701528405,2021,6,4,2021-06,4
2021-06-05,41.908278327832775,2021,6,5,2021-06,4
2021-06-06,42.73191694169417,2021,6,6,2021-06,4
2021-06-07,43.03772631936092,2021,6,7,2021-06,4
2021-06-08,43.15117761776176,2021,6,8,2021-06,4
2021-06-09,42.8507167727082,2021,6,9,2021-06,4
2021-06-10,43.31164516591946,2021,6,10,2021-06,4
2021-06-11,43.66135837856133,2021,6,11,2021-06,4
2021-06-12,43.494636963696365,2021,6,12,2021-06,4
2021-06-13,44.109176302245594,2021,6,13,2021-06,4
2021-06-14,44.008305638256125,2021,6,14,2021-06,4
2021-06-15,42.477105181560624,2021,6,15,2021-06,4
2021-06-16,42.80803914843687,2021,6,16,2021-06,4
2021-06-17,43.17045222379382,2021,6,17,2021-06,4
2021-06-18,44.02153676906153,2021,6,18,2021-06,4
