Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,45.48675411522634,2021,3,17,2021-03,1
2021-03-18,46.72262067395265,2021,3,18,2021-03,1
2021-03-19,46.936371370399144,2021,3,19,2021-03,1
2021-03-20,49.939043209876566,2021,3,20,2021-03,1
2021-03-21,54.91396604938273,2021,3,21,2021-03,1
2021-03-22,49.16448045267489,2021,3,22,2021-03,1
2021-03-23,46.566486625514415,2021,3,23,2021-03,1
2021-03-24,46.58989197530864,2021,3,24,2021-03,1
2021-03-25,46.8244598765432,2021,3,25,2021-03,1
2021-03-26,46.552469135802475,2021,3,26,2021-03,1
2021-03-27,46.85005144032922,2021,3,27,2021-03,1
2021-03-28,54.059413580246925,2021,3,28,2021-03,1
2021-03-29,46.55041152263374,2021,3,29,2021-03,1
2021-03-30,47.071373456790134,2021,3,30,2021-03,1
2021-03-31,46.87307098765432,2021,3,31,2021-03,1
2021-04-01,47.221064814814824,2021,4,1,2021-04,2
2021-04-02,47.028677983539104,2021,4,2,2021-04,2
2021-04-03,46.52507716049382,2021,4,3,2021-04,2
2021-04-04,51.74727510144177,2021,4,4,2021-04,2
2021-04-05,46.56923456790124,2021,4,5,2021-04,2
2021-04-06,46.166280864197546,2021,4,6,2021-04,2
2021-04-07,46.07291666666668,2021,4,7,2021-04,2
2021-04-08,46.60506687242797,2021,4,8,2021-04,2
2021-04-09,46.3903034979424,2021,4,9,2021-04,2
2021-04-10,46.49202674897119,2021,4,10,2021-04,2
2021-04-11,47.19187242798352,2021,4,11,2021-04,2
2021-04-12,46.50591563786008,2021,4,12,2021-04,2
2021-04-13,48.10866769547325,2021,4,13,2021-04,2
2021-04-14,49.014660493827144,2021,4,14,2021-04,2
2021-04-15,46.32278806584362,2021,4,15,2021-04,2
2021-04-16,46.61561213991771,2021,4,16,2021-04,2
2021-04-17,50.79565329218107,2021,4,17,2021-04,2
2021-04-18,48.359567901234556,2021,4,18,2021-04,2
2021-04-19,46.32868928118149,2021,4,19,2021-04,2
2021-04-20,46.81075470311581,2021,4,20,2021-04,2
2021-04-21,46.59997230136119,2021,4,21,2021-04,2
2021-04-22,46.63268423142832,2021,4,22,2021-04,2
2021-04-23,46.87605877182468,2021,4,23,2021-04,2
2021-04-24,47.15419238683129,2021,4,24,2021-04,2
2021-04-25,46.55825617283952,2021,4,25,2021-04,2
2021-04-26,46.24242906897724,2021,4,26,2021-04,2
2021-04-27,47.13934835590714,2021,4,27,2021-04,2
2021-04-28,48.63374485596706,2021,4,28,2021-04,2
2021-04-29,52.430941358024675,2021,4,29,2021-04,2
2021-04-30,47.441547143548775,2021,4,30,2021-04,2
2021-05-01,48.85138622818221,2021,5,1,2021-05,3
2021-05-02,49.13130144032922,2021,5,2,2021-05,3
2021-05-03,44.91936728395062,2021,5,3,2021-05,3
2021-05-04,45.51530349794239,2021,5,4,2021-05,3
2021-05-05,50.610853909465014,2021,5,5,2021-05,3
2021-05-06,46.24398741690408,2021,5,6,2021-05,3
2021-05-07,47.250915335269895,2021,5,7,2021-05,3
2021-05-08,46.661908436213984,2021,5,8,2021-05,3
2021-05-09,47.12268518518517,2021,5,9,2021-05,3
2021-05-10,48.12181044493338,2021,5,10,2021-05,3
2021-05-11,46.8388014403292,2021,5,11,2021-05,3
2021-05-12,46.73102553310887,2021,5,12,2021-05,3
2021-05-13,46.78086419753087,2021,5,13,2021-05,3
2021-05-14,48.011188271604944,2021,5,14,2021-05,3
2021-05-15,47.40329218106998,2021,5,15,2021-05,3
2021-05-16,48.571887860082306,2021,5,16,2021-05,3
2021-05-17,57.87110826441329,2021,5,17,2021-05,3
2021-05-18,47.22538212815991,2021,5,18,2021-05,3
2021-05-19,47.613846801346796,2021,5,19,2021-05,3
2021-05-20,49.9589399409892,2021,5,20,2021-05,3
2021-05-21,50.82784888646818,2021,5,21,2021-05,3
2021-05-22,46.44045781893004,2021,5,22,2021-05,3
2021-05-23,46.46759259259258,2021,5,23,2021-05,3
2021-05-24,49.598036694101516,2021,5,24,2021-05,3
2021-05-25,46.899716769855665,2021,5,25,2021-05,3
2021-05-26,46.298558671940555,2021,5,26,2021-05,3
2021-05-27,54.85427188552189,2021,5,27,2021-05,3
2021-05-28,46.44299855410967,2021,5,28,2021-05,3
2021-05-29,46.69984567901236,2021,5,29,2021-05,3
2021-05-30,46.734696502057616,2021,5,30,2021-05,3
2021-05-31,46.92479278282477,2021,5,31,2021-05,3
2021-06-01,47.08934731299928,2021,6,1,2021-06,4
2021-06-02,46.92400888498754,2021,6,2,2021-06,4
2021-06-03,46.812174715565234,2021,6,3,2021-06,4
2021-06-04,57.40166031015705,2021,6,4,2021-06,4
2021-06-05,46.291538065843625,2021,6,5,2021-06,4
2021-06-06,46.85866769547326,2021,6,6,2021-06,4
2021-06-07,47.85198627171667,2021,6,7,2021-06,4
2021-06-08,47.43090570631138,2021,6,8,2021-06,4
2021-06-09,47.313539122158396,2021,6,9,2021-06,4
2021-06-10,47.47303165093198,2021,6,10,2021-06,4
2021-06-11,47.01322663584442,2021,6,11,2021-06,4
2021-06-12,47.12281378600823,2021,6,12,2021-06,4
2021-06-13,48.835648148148145,2021,6,13,2021-06,4
2021-06-14,48.100626237497075,2021,6,14,2021-06,4
2021-06-15,47.951248597081936,2021,6,15,2021-06,4
2021-06-16,50.30945987654321,2021,6,16,2021-06,4
2021-06-17,46.88408779149518,2021,6,17,2021-06,4
2021-06-18,47.824331275720176,2021,6,18,2021-06,4
2021-06-19,51.46797839506175,2021,6,19,2021-06,4
2021-06-20,46.158050411522645,2021,6,20,2021-06,4
2021-06-21,47.0354938271605,2021,6,21,2021-06,4
2021-06-22,47.146401050733566,2021,6,22,2021-06,4
2021-06-23,46.576260288065846,2021,6,23,2021-06,4
2021-06-24,47.2866512345679,2021,6,24,2021-06,4
2021-06-25,49.663535516192525,2021,6,25,2021-06,4
2021-06-26,47.64711934156381,2021,6,26,2021-06,4
2021-06-27,48.40560699588478,2021,6,27,2021-06,4
2021-06-28,48.54332583505247,2021,6,28,2021-06,4
2021-06-29,48.48264491284367,2021,6,29,2021-06,4
2021-06-30,47.33039415220374,2021,6,30,2021-06,4
2021-07-01,48.05221500191837,2021,7,1,2021-07,5
2021-07-02,49.73079033183087,2021,7,2,2021-07,5
2021-07-03,47.6048096707819,2021,7,3,2021-07,5
2021-07-04,48.38811728395063,2021,7,4,2021-07,5
2021-07-05,52.586552132220056,2021,7,5,2021-07,5
2021-07-06,48.00507796606235,2021,7,6,2021-07,5
2021-07-07,51.85321177488068,2021,7,7,2021-07,5
2021-07-08,50.78683972516541,2021,7,8,2021-07,5
2021-07-09,49.28322495490428,2021,7,9,2021-07,5
2021-07-10,50.301697530864196,2021,7,10,2021-07,5
2021-07-11,47.182227366255134,2021,7,11,2021-07,5
2021-07-12,48.340688859854964,2021,7,12,2021-07,5
2021-07-13,47.5871542359573,2021,7,13,2021-07,5
2021-07-14,47.47229805066722,2021,7,14,2021-07,5
2021-07-15,47.59468633028958,2021,7,15,2021-07,5
2021-07-16,46.6156242204774,2021,7,16,2021-07,5
2021-07-17,46.69855967078189,2021,7,17,2021-07,5
2021-07-18,47.069187242798364,2021,7,18,2021-07,5
2021-07-19,47.5275194380713,2021,7,19,2021-07,5
2021-07-20,48.34769375857339,2021,7,20,2021-07,5
2021-07-21,48.38703969774373,2021,7,21,2021-07,5
2021-07-22,48.09246399176954,2021,7,22,2021-07,5
2021-07-23,48.24215534979424,2021,7,23,2021-07,5
2021-07-24,48.358463552908,2021,7,24,2021-07,5
2021-07-25,48.46617798353909,2021,7,25,2021-07,5
2021-07-26,48.31852503093137,2021,7,26,2021-07,5
2021-07-27,47.76230281207134,2021,7,27,2021-07,5
2021-07-28,48.100658659867584,2021,7,28,2021-07,5
2021-07-29,48.30131526786724,2021,7,29,2021-07,5
2021-07-30,48.148725377771264,2021,7,30,2021-07,5
2021-07-31,48.031507201646086,2021,7,31,2021-07,5
2021-08-01,48.88783130449796,2021,8,1,2021-08,6
2021-08-02,48.06176378978367,2021,8,2,2021-08,6
2021-08-03,48.20371993487553,2021,8,3,2021-08,6
2021-08-04,47.88815857779288,2021,8,4,2021-08,6
2021-08-05,49.27275900586933,2021,8,5,2021-08,6
2021-08-06,48.459643671449214,2021,8,6,2021-08,6
2021-08-07,48.439300411522616,2021,8,7,2021-08,6
2021-08-08,48.55671296296296,2021,8,8,2021-08,6
2021-08-09,50.509902263374485,2021,8,9,2021-08,6
2021-08-10,47.060105488900476,2021,8,10,2021-08,6
2021-08-11,47.28684472571452,2021,8,11,2021-08,6
2021-08-12,48.890015568666016,2021,8,12,2021-08,6
2021-08-13,51.784979423868315,2021,8,13,2021-08,6
2021-08-14,55.68004115226339,2021,8,14,2021-08,6
2021-08-15,51.13940329218107,2021,8,15,2021-08,6
2021-08-16,47.150977366255134,2021,8,16,2021-08,6
2021-08-17,47.282921810699584,2021,8,17,2021-08,6
2021-08-18,47.03230784547991,2021,8,18,2021-08,6
2021-08-19,46.24858539094651,2021,8,19,2021-08,6
2021-08-20,46.39686213991769,2021,8,20,2021-08,6
2021-08-21,46.569958847736636,2021,8,21,2021-08,6
2021-08-22,46.79899691358026,2021,8,22,2021-08,6
2021-08-23,47.431097915548406,2021,8,23,2021-08,6
2021-08-24,47.59341199606686,2021,8,24,2021-08,6
2021-08-25,47.05936213991771,2021,8,25,2021-08,6
2021-08-26,47.96099811130006,2021,8,26,2021-08,6
2021-08-27,47.641574711387904,2021,8,27,2021-08,6
2021-08-28,48.10374767688836,2021,8,28,2021-08,6
2021-08-29,38.83024691358024,2021,8,29,2021-08,6
2021-08-30,48.11708923616774,2021,8,30,2021-08,6
2021-08-31,48.097855634610504,2021,8,31,2021-08,6
2021-09-01,52.17802719258503,2021,9,1,2021-09,7
2021-09-02,51.06906834769779,2021,9,2,2021-09,7
2021-09-03,48.99775299289188,2021,9,3,2021-09,7
2021-09-04,49.6525205761317,2021,9,4,2021-09,7
2021-09-05,46.80697016460907,2021,9,5,2021-09,7
2021-09-06,46.95614600107352,2021,9,6,2021-09,7
2021-09-07,47.0749841722064,2021,9,7,2021-09,7
2021-09-08,48.831950200005764,2021,9,8,2021-09,7
2021-09-09,48.84850823045267,2021,9,9,2021-09,7
2021-09-10,46.98161008230453,2021,9,10,2021-09,7
2021-09-11,48.8533950617284,2021,9,11,2021-09,7
2021-09-12,48.49961419753088,2021,9,12,2021-09,7
2021-09-13,47.55516975308643,2021,9,13,2021-09,7
2021-09-14,48.72660214151584,2021,9,14,2021-09,7
2021-09-15,48.157077629059216,2021,9,15,2021-09,7
2021-09-16,47.54376714677641,2021,9,16,2021-09,7
2021-09-17,47.142216885889006,2021,9,17,2021-09,7
2021-09-18,50.20267489711936,2021,9,18,2021-09,7
2021-09-19,46.33590534979424,2021,9,19,2021-09,7
2021-09-20,47.54642489711935,2021,9,20,2021-09,7
2021-09-21,46.98283950617283,2021,9,21,2021-09,7
2021-09-22,48.75016642459452,2021,9,22,2021-09,7
2021-09-23,47.323019187602526,2021,9,23,2021-09,7
2021-09-24,47.34284979423869,2021,9,24,2021-09,7
2021-09-25,47.601723251028815,2021,9,25,2021-09,7
2021-09-26,49.353780864197546,2021,9,26,2021-09,7
2021-09-27,47.10263426358197,2021,9,27,2021-09,7
2021-09-28,47.1171259553204,2021,9,28,2021-09,7
2021-09-29,46.67722362514029,2021,9,29,2021-09,7
2021-09-30,46.949843275258665,2021,9,30,2021-09,7
2021-10-01,47.29888668430334,2021,10,1,2021-10,8
2021-10-02,47.135416666666664,2021,10,2,2021-10,8
2021-10-03,47.97119341563784,2021,10,3,2021-10,8
2021-10-04,47.51427469135802,2021,10,4,2021-10,8
2021-10-05,47.902649176954746,2021,10,5,2021-10,8
2021-10-06,48.59220679012348,2021,10,6,2021-10,8
2021-10-07,48.289609053497955,2021,10,7,2021-10,8
2021-10-08,48.63168724279834,2021,10,8,2021-10,8
2021-10-09,48.881301440329224,2021,10,9,2021-10,8
2021-10-10,47.59284979423868,2021,10,10,2021-10,8
2021-10-11,47.983796296296305,2021,10,11,2021-10,8
2021-10-12,49.34465020576132,2021,10,12,2021-10,8
2021-10-13,48.480568588954334,2021,10,13,2021-10,8
2021-10-14,47.734953703703695,2021,10,14,2021-10,8
2021-10-15,48.02006172839505,2021,10,15,2021-10,8
2021-10-16,52.4337705761317,2021,10,16,2021-10,8
2021-10-17,54.40933641975311,2021,10,17,2021-10,8
2021-10-18,46.91962448559671,2021,10,18,2021-10,8
2021-10-19,48.67656893004115,2021,10,19,2021-10,8
2021-10-20,52.97746787677344,2021,10,20,2021-10,8
2021-10-21,47.144032921810684,2021,10,21,2021-10,8
2021-10-22,49.06057098765433,2021,10,22,2021-10,8
2021-10-23,47.341692386831255,2021,10,23,2021-10,8
2021-10-24,47.544881687242786,2021,10,24,2021-10,8
2021-10-25,50.38490226337447,2021,10,25,2021-10,8
2021-10-26,47.08050411522634,2021,10,26,2021-10,8
2021-10-27,47.20408950617285,2021,10,27,2021-10,8
2021-10-28,47.50064300411523,2021,10,28,2021-10,8
2021-10-29,47.37962962962965,2021,10,29,2021-10,8
2021-10-30,48.06738683127574,2021,10,30,2021-10,8
2021-10-31,47.8869598765432,2021,10,31,2021-10,8
2021-11-01,48.05259773662551,2021,11,1,2021-11,9
2021-11-02,48.29475308641975,2021,11,2,2021-11,9
2021-11-03,48.06507201646091,2021,11,3,2021-11,9
2021-11-04,47.52854938271604,2021,11,4,2021-11,9
2021-11-05,48.15020576131687,2021,11,5,2021-11,9
2021-11-06,48.36445473251028,2021,11,6,2021-11,9
2021-11-07,48.72312242798353,2021,11,7,2021-11,9
2021-11-08,47.497237330570655,2021,11,8,2021-11,9
2021-11-09,52.40046296296297,2021,11,9,2021-11,9
2021-11-10,48.295267489711925,2021,11,10,2021-11,9
2021-11-11,49.37898662551439,2021,11,11,2021-11,9
2021-11-12,50.07151748971193,2021,11,12,2021-11,9
2021-11-13,48.36509773662552,2021,11,13,2021-11,9
2021-11-14,48.10300925925926,2021,11,14,2021-11,9
2021-11-15,47.663880615269505,2021,11,15,2021-11,9
2021-11-16,48.175154320987666,2021,11,16,2021-11,9
2021-11-17,48.45331790123456,2021,11,17,2021-11,9
2021-11-18,48.04668209876544,2021,11,18,2021-11,9
2021-11-19,48.24382716049382,2021,11,19,2021-11,9
2021-11-20,47.95897633744856,2021,11,20,2021-11,9
2021-11-21,48.290252057613166,2021,11,21,2021-11,9
2021-11-22,58.32780349794238,2021,11,22,2021-11,9
2021-11-23,53.81468621399176,2021,11,23,2021-11,9
2021-11-24,50.70023148148146,2021,11,24,2021-11,9
