Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,44.208333333333336,2021,3,17,2021-03,1
2021-03-18,44.80555555555556,2021,3,18,2021-03,1
2021-03-19,44.89930555555556,2021,3,19,2021-03,1
2021-03-20,47.920138888888886,2021,3,20,2021-03,1
2021-03-21,50.451388888888886,2021,3,21,2021-03,1
2021-03-22,44.08333333333333,2021,3,22,2021-03,1
2021-03-23,44.10416666666667,2021,3,23,2021-03,1
2021-03-24,44.30208333333333,2021,3,24,2021-03,1
2021-03-25,44.416666666666664,2021,3,25,2021-03,1
2021-03-26,44.76388888888889,2021,3,26,2021-03,1
2021-03-27,45.625,2021,3,27,2021-03,1
2021-03-28,50.82291666666667,2021,3,28,2021-03,1
2021-03-29,44.295138888888886,2021,3,29,2021-03,1
2021-03-30,44.673611111111114,2021,3,30,2021-03,1
2021-03-31,44.67708333333333,2021,3,31,2021-03,1
2021-04-01,45.01041666666667,2021,4,1,2021-04,2
2021-04-02,44.760416666666664,2021,4,2,2021-04,2
2021-04-03,44.78472222222223,2021,4,3,2021-04,2
2021-04-04,48.729166666666664,2021,4,4,2021-04,2
2021-04-05,43.53472222222223,2021,4,5,2021-04,2
2021-04-06,43.89930555555556,2021,4,6,2021-04,2
2021-04-07,44.62847222222223,2021,4,7,2021-04,2
2021-04-08,44.93055555555556,2021,4,8,2021-04,2
2021-04-09,44.81944444444445,2021,4,9,2021-04,2
2021-04-10,45.079861111111114,2021,4,10,2021-04,2
2021-04-11,45.517361111111114,2021,4,11,2021-04,2
2021-04-12,47.93055555555555,2021,4,12,2021-04,2
2021-04-13,46.6875,2021,4,13,2021-04,2
2021-04-14,44.4375,2021,4,14,2021-04,2
2021-04-15,44.857638888888886,2021,4,15,2021-04,2
2021-04-16,45.62847222222222,2021,4,16,2021-04,2
2021-04-17,46.579861111111114,2021,4,17,2021-04,2
2021-04-18,44.74305555555556,2021,4,18,2021-04,2
2021-04-19,44.90972222222223,2021,4,19,2021-04,2
2021-04-20,45.28125,2021,4,20,2021-04,2
2021-04-21,45.954861111111114,2021,4,21,2021-04,2
2021-04-22,46.57986111111111,2021,4,22,2021-04,2
2021-04-23,46.385416666666664,2021,4,23,2021-04,2
2021-04-24,45.822916666666664,2021,4,24,2021-04,2
2021-04-25,45.52083333333333,2021,4,25,2021-04,2
2021-04-26,45.625,2021,4,26,2021-04,2
2021-04-27,46.31597222222223,2021,4,27,2021-04,2
2021-04-28,47.354166666666664,2021,4,28,2021-04,2
2021-04-29,47.892361111111114,2021,4,29,2021-04,2
2021-04-30,44.625,2021,4,30,2021-04,2
2021-05-01,45.06597222222223,2021,5,1,2021-05,3
2021-05-02,44.763888888888886,2021,5,2,2021-05,3
2021-05-03,44.49652777777778,2021,5,3,2021-05,3
2021-05-04,45.472222222222214,2021,5,4,2021-05,3
2021-05-05,47.458333333333336,2021,5,5,2021-05,3
2021-05-06,44.51388888888889,2021,5,6,2021-05,3
2021-05-07,45.43402777777778,2021,5,7,2021-05,3
2021-05-08,45.0625,2021,5,8,2021-05,3
2021-05-09,45.25694444444444,2021,5,9,2021-05,3
2021-05-10,45.69791666666667,2021,5,10,2021-05,3
2021-05-11,46.611111111111114,2021,5,11,2021-05,3
2021-05-12,49.02083333333334,2021,5,12,2021-05,3
2021-05-13,45.08680555555556,2021,5,13,2021-05,3
2021-05-14,45.27777777777777,2021,5,14,2021-05,3
2021-05-15,45.65625,2021,5,15,2021-05,3
2021-05-16,43.85416666666667,2021,5,16,2021-05,3
2021-05-17,45.35069444444444,2021,5,17,2021-05,3
2021-05-18,45.56250000000001,2021,5,18,2021-05,3
2021-05-19,44.354166666666664,2021,5,19,2021-05,3
2021-05-20,51.63194444444444,2021,5,20,2021-05,3
2021-05-21,44.166666666666664,2021,5,21,2021-05,3
2021-05-22,43.767361111111114,2021,5,22,2021-05,3
2021-05-23,44.423611111111114,2021,5,23,2021-05,3
2021-05-24,47.35069444444444,2021,5,24,2021-05,3
2021-05-25,43.93055555555556,2021,5,25,2021-05,3
2021-05-26,47.86458333333334,2021,5,26,2021-05,3
2021-05-27,52.989583333333336,2021,5,27,2021-05,3
2021-05-28,43.986111111111114,2021,5,28,2021-05,3
