Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,118.64835919173198,2021,3,17,2021-03,1
2021-03-18,118.77958949384022,2021,3,18,2021-03,1
2021-03-19,119.09902399376541,2021,3,19,2021-03,1
2021-03-20,119.96723282818266,2021,3,20,2021-03,1
2021-03-21,122.91152877215816,2021,3,21,2021-03,1
2021-03-22,117.86804960181676,2021,3,22,2021-03,1
2021-03-23,117.10582413317881,2021,3,23,2021-03,1
2021-03-24,118.24405940052537,2021,3,24,2021-03,1
2021-03-25,118.93368531801059,2021,3,25,2021-03,1
2021-03-26,119.05651929703237,2021,3,26,2021-03,1
2021-03-27,119.10425303421532,2021,3,27,2021-03,1
2021-03-28,122.01266950714475,2021,3,28,2021-03,1
2021-03-29,119.10656804586131,2021,3,29,2021-03,1
2021-03-30,118.94248707124733,2021,3,30,2021-03,1
2021-03-31,119.29755732730244,2021,3,31,2021-03,1
2021-04-01,118.7898158671446,2021,4,1,2021-04,2
2021-04-02,118.64561469069116,2021,4,2,2021-04,2
2021-04-03,119.12732741966005,2021,4,3,2021-04,2
2021-04-04,120.84424561077064,2021,4,4,2021-04,2
2021-04-05,118.3875035147451,2021,4,5,2021-04,2
2021-04-06,117.54976189981964,2021,4,6,2021-04,2
2021-04-07,118.81448583698251,2021,4,7,2021-04,2
2021-04-08,119.75355952580223,2021,4,8,2021-04,2
2021-04-09,118.4881081498703,2021,4,9,2021-04,2
2021-04-10,118.66476869643434,2021,4,10,2021-04,2
2021-04-11,119.3836676720648,2021,4,11,2021-04,2
2021-04-12,119.84268562199914,2021,4,12,2021-04,2
2021-04-13,120.60996220938978,2021,4,13,2021-04,2
2021-04-14,120.64989558590608,2021,4,14,2021-04,2
2021-04-15,118.48901859034719,2021,4,15,2021-04,2
2021-04-16,119.12242122760027,2021,4,16,2021-04,2
2021-04-17,120.19207910731714,2021,4,17,2021-04,2
2021-04-18,118.65358415398885,2021,4,18,2021-04,2
2021-04-19,118.24484165038093,2021,4,19,2021-04,2
2021-04-20,119.03062134300568,2021,4,20,2021-04,2
2021-04-21,118.99876470251264,2021,4,21,2021-04,2
2021-04-22,119.46686828743668,2021,4,22,2021-04,2
2021-04-23,119.74088941066124,2021,4,23,2021-04,2
2021-04-24,120.65677842136047,2021,4,24,2021-04,2
2021-04-25,121.05748304206647,2021,4,25,2021-04,2
2021-04-26,120.21668109815135,2021,4,26,2021-04,2
2021-04-27,120.45587014946396,2021,4,27,2021-04,2
2021-04-28,121.68516311962422,2021,4,28,2021-04,2
2021-04-29,120.66284602983536,2021,4,29,2021-04,2
2021-04-30,117.84987315304011,2021,4,30,2021-04,2
2021-05-01,118.5930624967844,2021,5,1,2021-05,3
2021-05-02,118.82077501348529,2021,5,2,2021-05,3
2021-05-03,116.81267304119703,2021,5,3,2021-05,3
2021-05-04,117.61647692872893,2021,5,4,2021-05,3
2021-05-05,119.38760770844877,2021,5,5,2021-05,3
2021-05-06,118.29667914844778,2021,5,6,2021-05,3
2021-05-07,119.38997489410377,2021,5,7,2021-05,3
2021-05-08,119.93533780783577,2021,5,8,2021-05,3
2021-05-09,120.74723188515294,2021,5,9,2021-05,3
2021-05-10,120.17586550586698,2021,5,10,2021-05,3
2021-05-11,120.11611409029662,2021,5,11,2021-05,3
2021-05-12,120.18984248901687,2021,5,12,2021-05,3
2021-05-13,120.54056089937272,2021,5,13,2021-05,3
2021-05-14,121.2540048284787,2021,5,14,2021-05,3
2021-05-15,121.25431804469358,2021,5,15,2021-05,3
2021-05-16,121.55027543182021,2021,5,16,2021-05,3
2021-05-17,122.7489235273979,2021,5,17,2021-05,3
2021-05-18,121.61217629961959,2021,5,18,2021-05,3
2021-05-19,118.53510294637705,2021,5,19,2021-05,3
2021-05-20,117.99637982475514,2021,5,20,2021-05,3
2021-05-21,118.53297077834107,2021,5,21,2021-05,3
2021-05-22,119.53778279162803,2021,5,22,2021-05,3
2021-05-23,115.68140450262862,2021,5,23,2021-05,3
2021-05-24,116.59927381027072,2021,5,24,2021-05,3
2021-05-25,119.3500621582532,2021,5,25,2021-05,3
2021-05-26,116.68996805701039,2021,5,26,2021-05,3
