Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,33.769675925925924,2021,3,17,2021-03,1
2021-03-18,33.44328703703703,2021,3,18,2021-03,1
2021-03-19,33.473193473193476,2021,3,19,2021-03,1
2021-03-20,34.545138888888886,2021,3,20,2021-03,1
2021-03-21,42.42476851851851,2021,3,21,2021-03,1
2021-03-22,35.62731481481482,2021,3,22,2021-03,1
2021-03-23,33.97106481481482,2021,3,23,2021-03,1
2021-03-24,34.342592592592595,2021,3,24,2021-03,1
2021-03-25,36.1087962962963,2021,3,25,2021-03,1
2021-03-26,34.48516414141414,2021,3,26,2021-03,1
2021-03-27,35.24884259259259,2021,3,27,2021-03,1
2021-03-28,39.655092592592595,2021,3,28,2021-03,1
2021-03-29,36.083333333333336,2021,3,29,2021-03,1
2021-03-30,35.598379629629626,2021,3,30,2021-03,1
2021-03-31,35.804398148148145,2021,3,31,2021-03,1
2021-04-01,35.57175925925926,2021,4,1,2021-04,2
2021-04-02,35.61111111111111,2021,4,2,2021-04,2
2021-04-03,35.837962962962955,2021,4,3,2021-04,2
2021-04-04,42.5034965034965,2021,4,4,2021-04,2
2021-04-05,38.15046296296296,2021,4,5,2021-04,2
2021-04-06,35.192129629629626,2021,4,6,2021-04,2
2021-04-07,35.145833333333336,2021,4,7,2021-04,2
2021-04-08,35.10069444444444,2021,4,8,2021-04,2
2021-04-09,36.83796296296297,2021,4,9,2021-04,2
2021-04-10,35.28935185185185,2021,4,10,2021-04,2
2021-04-11,35.7037037037037,2021,4,11,2021-04,2
2021-04-12,35.486111111111114,2021,4,12,2021-04,2
2021-04-13,37.605324074074076,2021,4,13,2021-04,2
2021-04-14,36.70601851851851,2021,4,14,2021-04,2
2021-04-15,35.24768518518518,2021,4,15,2021-04,2
2021-04-16,35.50231481481482,2021,4,16,2021-04,2
2021-04-17,39.25115740740741,2021,4,17,2021-04,2
2021-04-18,39.326388888888886,2021,4,18,2021-04,2
2021-04-19,36.19328703703704,2021,4,19,2021-04,2
2021-04-20,35.25347222222222,2021,4,20,2021-04,2
2021-04-21,34.94907407407408,2021,4,21,2021-04,2
