Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,31.94823888888889,2021,3,17,2021-03,1
2021-03-18,31.918749999999996,2021,3,18,2021-03,1
2021-03-19,32.17974672662173,2021,3,19,2021-03,1
2021-03-20,33.28155791404612,2021,3,20,2021-03,1
2021-03-21,37.299027777777766,2021,3,21,2021-03,1
2021-03-22,32.46195116487455,2021,3,22,2021-03,1
2021-03-23,31.99340277777778,2021,3,23,2021-03,1
2021-03-24,32.59236111111111,2021,3,24,2021-03,1
2021-03-25,32.620833333333344,2021,3,25,2021-03,1
2021-03-26,32.44980817793318,2021,3,26,2021-03,1
2021-03-27,32.58472222222222,2021,3,27,2021-03,1
2021-03-28,35.20896226415094,2021,3,28,2021-03,1
2021-03-29,33.43045253357754,2021,3,29,2021-03,1
2021-03-30,33.001041666666666,2021,3,30,2021-03,1
2021-03-31,32.48020833333334,2021,3,31,2021-03,1
2021-04-01,32.671442793317794,2021,4,1,2021-04,2
2021-04-02,32.71249999999999,2021,4,2,2021-04,2
2021-04-03,32.629356060606064,2021,4,3,2021-04,2
2021-04-04,34.08004616541851,2021,4,4,2021-04,2
2021-04-05,32.68163759689922,2021,4,5,2021-04,2
2021-04-06,32.5125,2021,4,6,2021-04,2
2021-04-07,32.587152777777774,2021,4,7,2021-04,2
2021-04-08,32.73958333333333,2021,4,8,2021-04,2
2021-04-09,32.48970716783217,2021,4,9,2021-04,2
2021-04-10,32.61736111111111,2021,4,10,2021-04,2
2021-04-11,32.952083333333334,2021,4,11,2021-04,2
2021-04-12,32.78645833333333,2021,4,12,2021-04,2
2021-04-13,32.99201388888889,2021,4,13,2021-04,2
2021-04-14,33.52847222222222,2021,4,14,2021-04,2
2021-04-15,32.69618055555556,2021,4,15,2021-04,2
2021-04-16,32.74513888888889,2021,4,16,2021-04,2
2021-04-17,36.938541666666666,2021,4,17,2021-04,2
2021-04-18,33.02326388888889,2021,4,18,2021-04,2
2021-04-19,32.298680555555556,2021,4,19,2021-04,2
2021-04-20,32.81412728026534,2021,4,20,2021-04,2
2021-04-21,32.395817815225705,2021,4,21,2021-04,2
2021-04-22,32.51948141238254,2021,4,22,2021-04,2
2021-04-23,32.78848684210526,2021,4,23,2021-04,2
2021-04-24,33.15972222222222,2021,4,24,2021-04,2
2021-04-25,33.28090277777777,2021,4,25,2021-04,2
2021-04-26,32.66979166666666,2021,4,26,2021-04,2
2021-04-27,33.309666015300344,2021,4,27,2021-04,2
2021-04-28,33.825694444444444,2021,4,28,2021-04,2
2021-04-29,35.52986111111112,2021,4,29,2021-04,2
2021-04-30,32.93876096491228,2021,4,30,2021-04,2
2021-05-01,34.39729532163743,2021,5,1,2021-05,3
2021-05-02,33.47009024801364,2021,5,2,2021-05,3
2021-05-03,32.828201686598426,2021,5,3,2021-05,3
2021-05-04,33.19375,2021,5,4,2021-05,3
2021-05-05,34.3774878950051,2021,5,5,2021-05,3
2021-05-06,31.633333333333336,2021,5,6,2021-05,3
2021-05-07,32.41666666666667,2021,5,7,2021-05,3
2021-05-08,31.87291666666666,2021,5,8,2021-05,3
2021-05-09,32.08923611111111,2021,5,9,2021-05,3
2021-05-10,33.41541132478632,2021,5,10,2021-05,3
2021-05-11,33.49011994949495,2021,5,11,2021-05,3
2021-05-12,33.47629716981132,2021,5,12,2021-05,3
2021-05-13,33.66354166666667,2021,5,13,2021-05,3
2021-05-14,33.96875000000001,2021,5,14,2021-05,3
2021-05-15,34.171699635241296,2021,5,15,2021-05,3
2021-05-16,34.792240061162076,2021,5,16,2021-05,3
2021-05-17,35.35553240740741,2021,5,17,2021-05,3
2021-05-18,37.098935185185184,2021,5,18,2021-05,3
2021-05-19,34.97901014195937,2021,5,19,2021-05,3
2021-05-20,34.743865740740745,2021,5,20,2021-05,3
2021-05-21,35.6052398989899,2021,5,21,2021-05,3
2021-05-22,34.896875,2021,5,22,2021-05,3
2021-05-23,32.907291666666666,2021,5,23,2021-05,3
2021-05-24,33.65277777777777,2021,5,24,2021-05,3
2021-05-25,33.51915792540793,2021,5,25,2021-05,3
2021-05-26,33.20868055555556,2021,5,26,2021-05,3
2021-05-27,37.86006944444444,2021,5,27,2021-05,3
2021-05-28,32.922916666666666,2021,5,28,2021-05,3
2021-05-29,33.501041666666666,2021,5,29,2021-05,3
2021-05-30,33.59374999999999,2021,5,30,2021-05,3
2021-05-31,34.808680555555554,2021,5,31,2021-05,3
2021-06-01,33.145486111111104,2021,6,1,2021-06,4
2021-06-02,33.23645833333334,2021,6,2,2021-06,4
2021-06-03,33.254513888888894,2021,6,3,2021-06,4
2021-06-04,36.8930667562724,2021,6,4,2021-06,4
2021-06-05,33.088069444444436,2021,6,5,2021-06,4
2021-06-06,33.88761574074074,2021,6,6,2021-06,4
2021-06-07,34.19376426940639,2021,6,7,2021-06,4
2021-06-08,34.223958333333336,2021,6,8,2021-06,4
2021-06-09,33.72951388888889,2021,6,9,2021-06,4
2021-06-10,34.004861111111104,2021,6,10,2021-06,4
2021-06-11,33.81792443667443,2021,6,11,2021-06,4
2021-06-12,33.80921231546232,2021,6,12,2021-06,4
2021-06-13,34.849408508158525,2021,6,13,2021-06,4
2021-06-14,36.647942872117405,2021,6,14,2021-06,4
2021-06-15,33.88169642857143,2021,6,15,2021-06,4
2021-06-16,34.7017361111111,2021,6,16,2021-06,4
2021-06-17,33.396941323345814,2021,6,17,2021-06,4
2021-06-18,33.134027777777774,2021,6,18,2021-06,4
2021-06-19,37.05729166666667,2021,6,19,2021-06,4
2021-06-20,33.207511337868475,2021,6,20,2021-06,4
2021-06-21,33.23314153439152,2021,6,21,2021-06,4
2021-06-22,33.56145833333333,2021,6,22,2021-06,4
2021-06-23,34.23452068764569,2021,6,23,2021-06,4
2021-06-24,33.81600517538017,2021,6,24,2021-06,4
2021-06-25,33.67094907407407,2021,6,25,2021-06,4
2021-06-26,33.48215811965812,2021,6,26,2021-06,4
2021-06-27,33.317708333333336,2021,6,27,2021-06,4
2021-06-28,33.23318521756023,2021,6,28,2021-06,4
2021-06-29,36.275066743892964,2021,6,29,2021-06,4
2021-06-30,33.693756877457744,2021,6,30,2021-06,4
2021-07-01,35.05389262665718,2021,7,1,2021-07,5
2021-07-02,34.10180652680653,2021,7,2,2021-07,5
2021-07-03,34.06286781141234,2021,7,3,2021-07,5
2021-07-04,35.70493281228575,2021,7,4,2021-07,5
2021-07-05,35.13662930207048,2021,7,5,2021-07,5
2021-07-06,34.4131320997078,2021,7,6,2021-07,5
2021-07-07,34.16497662157874,2021,7,7,2021-07,5
2021-07-08,35.494658436370386,2021,7,8,2021-07,5
2021-07-09,35.15246940559441,2021,7,9,2021-07,5
2021-07-10,35.179979863787366,2021,7,10,2021-07,5
2021-07-11,34.86437208624709,2021,7,11,2021-07,5
2021-07-12,34.675594243719246,2021,7,12,2021-07,5
2021-07-13,33.769584810874704,2021,7,13,2021-07,5
2021-07-14,34.688126855524246,2021,7,14,2021-07,5
2021-07-15,33.13654574592074,2021,7,15,2021-07,5
2021-07-16,32.6974019036519,2021,7,16,2021-07,5
2021-07-17,33.03136899634932,2021,7,17,2021-07,5
2021-07-18,33.51952214452214,2021,7,18,2021-07,5
2021-07-19,34.06776460254721,2021,7,19,2021-07,5
2021-07-20,32.928785797535795,2021,7,20,2021-07,5
2021-07-21,33.44551957437987,2021,7,21,2021-07,5
2021-07-22,34.40344559052059,2021,7,22,2021-07,5
2021-07-23,34.52242049654471,2021,7,23,2021-07,5
2021-07-24,33.955376646162605,2021,7,24,2021-07,5
2021-07-25,33.700857207308815,2021,7,25,2021-07,5
2021-07-26,34.10777446801272,2021,7,26,2021-07,5
2021-07-27,34.05415162023768,2021,7,27,2021-07,5
2021-07-28,34.83724747474748,2021,7,28,2021-07,5
2021-07-29,35.79930301003775,2021,7,29,2021-07,5
2021-07-30,33.9292267684927,2021,7,30,2021-07,5
2021-07-31,33.952015933775854,2021,7,31,2021-07,5
2021-08-01,34.66957805985095,2021,8,1,2021-08,6
2021-08-02,33.635296583261706,2021,8,2,2021-08,6
2021-08-03,33.290577619283376,2021,8,3,2021-08,6
2021-08-04,34.04738225418373,2021,8,4,2021-08,6
