Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,46.1779127305443,2021,3,17,2021-03,1
2021-03-18,46.46663190429769,2021,3,18,2021-03,1
2021-03-19,46.09840813669763,2021,3,19,2021-03,1
2021-03-20,46.14814814814814,2021,3,20,2021-03,1
2021-03-21,53.07416310541311,2021,3,21,2021-03,1
2021-03-22,47.118387448321656,2021,3,22,2021-03,1
2021-03-23,45.635139984659205,2021,3,23,2021-03,1
2021-03-24,45.78966468723505,2021,3,24,2021-03,1
2021-03-25,45.613166355683965,2021,3,25,2021-03,1
2021-03-26,46.25713246867093,2021,3,26,2021-03,1
2021-03-27,45.95308048433048,2021,3,27,2021-03,1
2021-03-28,47.474893162393165,2021,3,28,2021-03,1
2021-03-29,47.33820840070838,2021,3,29,2021-03,1
2021-03-30,45.85642684293371,2021,3,30,2021-03,1
2021-03-31,46.04736467236468,2021,3,31,2021-03,1
2021-04-01,46.04300213675216,2021,4,1,2021-04,2
2021-04-02,45.926014957264954,2021,4,2,2021-04,2
2021-04-03,45.90073005698007,2021,4,3,2021-04,2
2021-04-04,46.8847044159544,2021,4,4,2021-04,2
2021-04-05,48.4880698005698,2021,4,5,2021-04,2
2021-04-06,45.17993233618233,2021,4,6,2021-04,2
2021-04-07,45.63710826210825,2021,4,7,2021-04,2
2021-04-08,46.670851139601126,2021,4,8,2021-04,2
2021-04-09,45.76994301994301,2021,4,9,2021-04,2
2021-04-10,45.699964387464405,2021,4,10,2021-04,2
2021-04-11,45.932247150997156,2021,4,11,2021-04,2
2021-04-12,45.738782051282044,2021,4,12,2021-04,2
2021-04-13,45.94304253306119,2021,4,13,2021-04,2
2021-04-14,51.69761396011396,2021,4,14,2021-04,2
2021-04-15,45.54103157644825,2021,4,15,2021-04,2
2021-04-16,45.56642331433997,2021,4,16,2021-04,2
2021-04-17,46.56569703444704,2021,4,17,2021-04,2
2021-04-18,46.58386752136751,2021,4,18,2021-04,2
2021-04-19,45.81579415954416,2021,4,19,2021-04,2
2021-04-20,46.2072244884745,2021,4,20,2021-04,2
2021-04-21,46.12694300001991,2021,4,21,2021-04,2
2021-04-22,46.032012108262094,2021,4,22,2021-04,2
2021-04-23,45.95793805872021,2021,4,23,2021-04,2
2021-04-24,46.31790472599295,2021,4,24,2021-04,2
2021-04-25,46.814814814814824,2021,4,25,2021-04,2
2021-04-26,46.03424145299145,2021,4,26,2021-04,2
2021-04-27,46.30078598156957,2021,4,27,2021-04,2
2021-04-28,46.551644112060785,2021,4,28,2021-04,2
2021-04-29,48.084846866096875,2021,4,29,2021-04,2
2021-04-30,46.08831908831908,2021,4,30,2021-04,2
2021-05-01,46.77466168091167,2021,5,1,2021-05,3
2021-05-02,47.7108262108262,2021,5,2,2021-05,3
2021-05-03,45.6952457264957,2021,5,3,2021-05,3
2021-05-04,46.11796652421651,2021,5,4,2021-05,3
2021-05-05,47.66132478632479,2021,5,5,2021-05,3
2021-05-06,46.373575498575505,2021,5,6,2021-05,3
2021-05-07,47.010505698005694,2021,5,7,2021-05,3
2021-05-08,45.979077635327634,2021,5,8,2021-05,3
2021-05-09,46.48958333333333,2021,5,9,2021-05,3
2021-05-10,46.153313728808776,2021,5,10,2021-05,3
2021-05-11,46.19312362801769,2021,5,11,2021-05,3
2021-05-12,46.18307412388873,2021,5,12,2021-05,3
2021-05-13,47.09015278476063,2021,5,13,2021-05,3
2021-05-14,46.12828320184089,2021,5,14,2021-05,3
2021-05-15,46.0832443019943,2021,5,15,2021-05,3
2021-05-16,46.592414529914535,2021,5,16,2021-05,3
2021-05-17,46.723263269954444,2021,5,17,2021-05,3
2021-05-18,48.22068814376507,2021,5,18,2021-05,3
2021-05-19,48.583627946127955,2021,5,19,2021-05,3
2021-05-20,46.970184975699695,2021,5,20,2021-05,3
2021-05-21,46.77523519508813,2021,5,21,2021-05,3
2021-05-22,47.989039886039905,2021,5,22,2021-05,3
2021-05-23,46.42182614133834,2021,5,23,2021-05,3
2021-05-24,45.63554265441058,2021,5,24,2021-05,3
2021-05-25,45.946629759129756,2021,5,25,2021-05,3
2021-05-26,45.53618487993487,2021,5,26,2021-05,3
2021-05-27,49.03388484638486,2021,5,27,2021-05,3
2021-05-28,45.70936086654165,2021,5,28,2021-05,3
2021-05-29,46.090900997150996,2021,5,29,2021-05,3
2021-05-30,46.65037393162394,2021,5,30,2021-05,3
2021-05-31,47.96332408073061,2021,5,31,2021-05,3
2021-06-01,46.06890063140062,2021,6,1,2021-06,4
2021-06-02,45.75601253419227,2021,6,2,2021-06,4
2021-06-03,45.66704822954823,2021,6,3,2021-06,4
2021-06-04,48.856317115932505,2021,6,4,2021-06,4
2021-06-05,45.864049145299155,2021,6,5,2021-06,4
2021-06-06,46.35238603988603,2021,6,6,2021-06,4
2021-06-07,46.47002187627187,2021,6,7,2021-06,4
2021-06-08,47.625529148524414,2021,6,8,2021-06,4
2021-06-09,46.380445349195334,2021,6,9,2021-06,4
2021-06-10,46.285763972095765,2021,6,10,2021-06,4
2021-06-11,46.04295195545197,2021,6,11,2021-06,4
2021-06-12,46.16951566951567,2021,6,12,2021-06,4
2021-06-13,46.3176538561154,2021,6,13,2021-06,4
2021-06-14,47.018723458581945,2021,6,14,2021-06,4
2021-06-15,46.65795454545453,2021,6,15,2021-06,4
2021-06-16,46.0914423546759,2021,6,16,2021-06,4
2021-06-17,46.10128367586351,2021,6,17,2021-06,4
2021-06-18,46.410714525690935,2021,6,18,2021-06,4
2021-06-19,49.25423703360451,2021,6,19,2021-06,4
2021-06-20,46.481114498645006,2021,6,20,2021-06,4
2021-06-21,45.780220260173074,2021,6,21,2021-06,4
2021-06-22,45.97161426536426,2021,6,22,2021-06,4
2021-06-23,45.93556674806675,2021,6,23,2021-06,4
2021-06-24,46.033034017008035,2021,6,24,2021-06,4
2021-06-25,45.81188137256616,2021,6,25,2021-06,4
2021-06-26,46.10354344729346,2021,6,26,2021-06,4
2021-06-27,46.30364177571033,2021,6,27,2021-06,4
2021-06-28,46.30120810655761,2021,6,28,2021-06,4
2021-06-29,48.07300075047989,2021,6,29,2021-06,4
2021-06-30,45.86194541354799,2021,6,30,2021-06,4
2021-07-01,47.20541910482008,2021,7,1,2021-07,5
2021-07-02,47.59343722783104,2021,7,2,2021-07,5
2021-07-03,46.87684509775027,2021,7,3,2021-07,5
2021-07-04,47.03017921767921,2021,7,4,2021-07,5
2021-07-05,48.65276303780323,2021,7,5,2021-07,5
2021-07-06,46.52798800202646,2021,7,6,2021-07,5
2021-07-07,46.05474569908099,2021,7,7,2021-07,5
2021-07-08,50.42665237563073,2021,7,8,2021-07,5
2021-07-09,46.07871463713624,2021,7,9,2021-07,5
2021-07-10,48.28491398202937,2021,7,10,2021-07,5
2021-07-11,48.385412995271224,2021,7,11,2021-07,5
2021-07-12,46.96015246344528,2021,7,12,2021-07,5
2021-07-13,46.16112485302936,2021,7,13,2021-07,5
2021-07-14,45.44736853349538,2021,7,14,2021-07,5
2021-07-15,45.38761228491725,2021,7,15,2021-07,5
2021-07-16,45.28506844671238,2021,7,16,2021-07,5
2021-07-17,45.61224468763341,2021,7,17,2021-07,5
2021-07-18,45.8353098290598,2021,7,18,2021-07,5
2021-07-19,46.04685712679135,2021,7,19,2021-07,5
2021-07-20,45.714621669317076,2021,7,20,2021-07,5
2021-07-21,45.793715596034595,2021,7,21,2021-07,5
2021-07-22,45.88375713495907,2021,7,22,2021-07,5
2021-07-23,45.95440452544325,2021,7,23,2021-07,5
2021-07-24,45.86352786400453,2021,7,24,2021-07,5
2021-07-25,46.09179131054131,2021,7,25,2021-07,5
2021-07-26,46.11823837382734,2021,7,26,2021-07,5
2021-07-27,46.038136699056395,2021,7,27,2021-07,5
2021-07-28,47.04590169530645,2021,7,28,2021-07,5
2021-07-29,45.468920128596224,2021,7,29,2021-07,5
2021-07-30,45.01100837093422,2021,7,30,2021-07,5
2021-07-31,45.49397388580082,2021,7,31,2021-07,5
2021-08-01,45.73967111947883,2021,8,1,2021-08,6
2021-08-02,45.43391360817832,2021,8,2,2021-08,6
2021-08-03,45.87467884139932,2021,8,3,2021-08,6
2021-08-04,46.14817768336703,2021,8,4,2021-08,6
2021-08-05,46.36235928432297,2021,8,5,2021-08,6
2021-08-06,46.45815967715573,2021,8,6,2021-08,6
2021-08-07,46.40500857710363,2021,8,7,2021-08,6
2021-08-08,47.67690527065528,2021,8,8,2021-08,6
2021-08-09,45.69914006933238,2021,8,9,2021-08,6
2021-08-10,45.67466713976753,2021,8,10,2021-08,6
2021-08-11,46.074940750825704,2021,8,11,2021-08,6
2021-08-12,46.217058404558415,2021,8,12,2021-08,6
2021-08-13,48.539618945868945,2021,8,13,2021-08,6
2021-08-14,50.3798076923077,2021,8,14,2021-08,6
2021-08-15,50.53970797720797,2021,8,15,2021-08,6
2021-08-16,45.22017450142451,2021,8,16,2021-08,6
2021-08-17,45.430907153894445,2021,8,17,2021-08,6
2021-08-18,44.87235657860659,2021,8,18,2021-08,6
2021-08-19,45.30428941961022,2021,8,19,2021-08,6
2021-08-20,45.59977013727012,2021,8,20,2021-08,6
2021-08-21,45.857193732193714,2021,8,21,2021-08,6
2021-08-22,46.52448361823361,2021,8,22,2021-08,6
2021-08-23,46.86907033994415,2021,8,23,2021-08,6
2021-08-24,46.55542729006712,2021,8,24,2021-08,6
2021-08-25,46.56009109199043,2021,8,25,2021-08,6
2021-08-26,46.854656276771664,2021,8,26,2021-08,6
2021-08-27,46.783709379458855,2021,8,27,2021-08,6
2021-08-28,47.007326718865166,2021,8,28,2021-08,6
2021-08-29,46.92022792022793,2021,8,29,2021-08,6
2021-08-30,48.46571180430667,2021,8,30,2021-08,6
2021-08-31,47.58643049385973,2021,8,31,2021-08,6
2021-09-01,49.2650319364029,2021,9,1,2021-09,7
2021-09-02,50.03896720169099,2021,9,2,2021-09,7
2021-09-03,47.74816014908481,2021,9,3,2021-09,7
2021-09-04,46.82719017094017,2021,9,4,2021-09,7
2021-09-05,45.56727548948293,2021,9,5,2021-09,7
2021-09-06,45.80410304385529,2021,9,6,2021-09,7
2021-09-07,45.35240916579472,2021,9,7,2021-09,7
2021-09-08,46.18662790637573,2021,9,8,2021-09,7
2021-09-09,47.83472491560726,2021,9,9,2021-09,7
