Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,24.98214285714286,2021,3,17,2021-03,1
2021-03-18,23.612433862433857,2021,3,18,2021-03,1
2021-03-19,22.884441946941944,2021,3,19,2021-03,1
2021-03-20,23.01157407407407,2021,3,20,2021-03,1
2021-03-21,29.799603174603167,2021,3,21,2021-03,1
2021-03-22,23.515873015873012,2021,3,22,2021-03,1
2021-03-23,22.833333333333332,2021,3,23,2021-03,1
2021-03-24,22.821428571428566,2021,3,24,2021-03,1
2021-03-25,24.27116402116402,2021,3,25,2021-03,1
2021-03-26,22.9125296000296,2021,3,26,2021-03,1
2021-03-27,22.877314814814813,2021,3,27,2021-03,1
2021-03-28,25.24470899470899,2021,3,28,2021-03,1
2021-03-29,23.945436507936513,2021,3,29,2021-03,1
2021-03-30,23.35714285714286,2021,3,30,2021-03,1
2021-03-31,23.41104497354498,2021,3,31,2021-03,1
2021-04-01,23.165013227513228,2021,4,1,2021-04,2
2021-04-02,23.080357142857142,2021,4,2,2021-04,2
2021-04-03,23.184854497354497,2021,4,3,2021-04,2
2021-04-04,30.526124338624342,2021,4,4,2021-04,2
2021-04-05,24.776455026455025,2021,4,5,2021-04,2
2021-04-06,22.725859788359788,2021,4,6,2021-04,2
2021-04-07,22.633267195767196,2021,4,7,2021-04,2
2021-04-08,23.000000000000004,2021,4,8,2021-04,2
2021-04-09,25.305886243386237,2021,4,9,2021-04,2
2021-04-10,22.711970899470895,2021,4,10,2021-04,2
2021-04-11,22.86904761904762,2021,4,11,2021-04,2
2021-04-12,23.012566137566143,2021,4,12,2021-04,2
2021-04-13,24.447751322751326,2021,4,13,2021-04,2
2021-04-14,23.03505291005292,2021,4,14,2021-04,2
2021-04-15,23.025462962962965,2021,4,15,2021-04,2
2021-04-16,22.983465608465604,2021,4,16,2021-04,2
2021-04-17,25.64914021164021,2021,4,17,2021-04,2
2021-04-18,25.943121693121693,2021,4,18,2021-04,2
2021-04-19,23.257605820105823,2021,4,19,2021-04,2
2021-04-20,22.81216931216931,2021,4,20,2021-04,2
2021-04-21,22.5760582010582,2021,4,21,2021-04,2
2021-04-22,22.683862433862437,2021,4,22,2021-04,2
2021-04-23,22.863095238095234,2021,4,23,2021-04,2
2021-04-24,23.043320105820108,2021,4,24,2021-04,2
2021-04-25,23.215608465608465,2021,4,25,2021-04,2
2021-04-26,22.813161375661373,2021,4,26,2021-04,2
2021-04-27,22.886574074074073,2021,4,27,2021-04,2
2021-04-28,23.287037037037038,2021,4,28,2021-04,2
2021-04-29,24.81580687830688,2021,4,29,2021-04,2
2021-04-30,25.60085978835979,2021,4,30,2021-04,2
2021-05-01,23.111441798941797,2021,5,1,2021-05,3
2021-05-02,24.295304232804234,2021,5,2,2021-05,3
2021-05-03,23.101190476190474,2021,5,3,2021-05,3
2021-05-04,22.884920634920633,2021,5,4,2021-05,3
2021-05-05,23.627976190476193,2021,5,5,2021-05,3
2021-05-06,23.00165343915344,2021,5,6,2021-05,3
2021-05-07,23.20866402116402,2021,5,7,2021-05,3
2021-05-08,23.71626984126984,2021,5,8,2021-05,3
2021-05-09,24.33300264550265,2021,5,9,2021-05,3
2021-05-10,24.101419413919416,2021,5,10,2021-05,3
2021-05-11,23.431878306878307,2021,5,11,2021-05,3
2021-05-12,22.8616452991453,2021,5,12,2021-05,3
2021-05-13,23.12999606749607,2021,5,13,2021-05,3
2021-05-14,23.912367724867728,2021,5,14,2021-05,3
2021-05-15,23.10648148148148,2021,5,15,2021-05,3
2021-05-16,24.88558201058201,2021,5,16,2021-05,3
2021-05-17,27.20601851851852,2021,5,17,2021-05,3
2021-05-18,23.228208812260537,2021,5,18,2021-05,3
2021-05-19,23.187601750101756,2021,5,19,2021-05,3
2021-05-20,22.820436507936513,2021,5,20,2021-05,3
2021-05-21,28.1082289694675,2021,5,21,2021-05,3
2021-05-22,24.21775074764205,2021,5,22,2021-05,3
2021-05-23,23.566798941798943,2021,5,23,2021-05,3
2021-05-24,22.783068783068785,2021,5,24,2021-05,3
2021-05-25,23.914862914862912,2021,5,25,2021-05,3
2021-05-26,22.87271524771524,2021,5,26,2021-05,3
2021-05-27,24.41257745788374,2021,5,27,2021-05,3
2021-05-28,24.277314814814815,2021,5,28,2021-05,3
2021-05-29,23.680555555555557,2021,5,29,2021-05,3
2021-05-30,22.808531746031747,2021,5,30,2021-05,3
2021-05-31,22.47056878306878,2021,5,31,2021-05,3
2021-06-01,22.510582010582013,2021,6,1,2021-06,4
2021-06-02,22.961309523809526,2021,6,2,2021-06,4
2021-06-03,23.12996031746032,2021,6,3,2021-06,4
2021-06-04,29.53575154631493,2021,6,4,2021-06,4
2021-06-05,22.971891534391535,2021,6,5,2021-06,4
2021-06-06,23.127645502645496,2021,6,6,2021-06,4
2021-06-07,23.12929894179894,2021,6,7,2021-06,4
2021-06-08,23.28323667073667,2021,6,8,2021-06,4
2021-06-09,23.07104566972988,2021,6,9,2021-06,4
2021-06-10,23.359863945578226,2021,6,10,2021-06,4
2021-06-11,23.82233275983276,2021,6,11,2021-06,4
2021-06-12,23.8651233026233,2021,6,12,2021-06,4
2021-06-13,23.232429607429612,2021,6,13,2021-06,4
2021-06-14,23.39021164021164,2021,6,14,2021-06,4
2021-06-15,23.941468253968253,2021,6,15,2021-06,4
2021-06-16,23.12996031746031,2021,6,16,2021-06,4
2021-06-17,22.80896129929635,2021,6,17,2021-06,4
2021-06-18,22.947025173184965,2021,6,18,2021-06,4
2021-06-19,24.29596560846561,2021,6,19,2021-06,4
2021-06-20,24.013888888888886,2021,6,20,2021-06,4
2021-06-21,22.963955026455032,2021,6,21,2021-06,4
2021-06-22,23.01859110853014,2021,6,22,2021-06,4
2021-06-23,23.779707526869217,2021,6,23,2021-06,4
2021-06-24,23.71121604328756,2021,6,24,2021-06,4
2021-06-25,22.927386703473662,2021,6,25,2021-06,4
2021-06-26,23.224537037037035,2021,6,26,2021-06,4
2021-06-27,23.349537037037038,2021,6,27,2021-06,4
2021-06-28,22.8653493143289,2021,6,28,2021-06,4
2021-06-29,22.961117263442844,2021,6,29,2021-06,4
2021-06-30,22.965372960372957,2021,6,30,2021-06,4
2021-07-01,23.104405793143414,2021,7,1,2021-07,5
2021-07-02,23.081390542328045,2021,7,2,2021-07,5
2021-07-03,23.04166666666667,2021,7,3,2021-07,5
2021-07-04,23.40674603174603,2021,7,4,2021-07,5
2021-07-05,25.510484749455333,2021,7,5,2021-07,5
2021-07-06,22.921514886557254,2021,7,6,2021-07,5
2021-07-07,23.123892311392314,2021,7,7,2021-07,5
2021-07-08,23.095843422114612,2021,7,8,2021-07,5
2021-07-09,23.006944444444446,2021,7,9,2021-07,5
2021-07-10,27.207657579940186,2021,7,10,2021-07,5
2021-07-11,23.105489417989418,2021,7,11,2021-07,5
2021-07-12,22.68617724867725,2021,7,12,2021-07,5
2021-07-13,22.603267754676207,2021,7,13,2021-07,5
2021-07-14,22.44973544973545,2021,7,14,2021-07,5
2021-07-15,22.64451058201059,2021,7,15,2021-07,5
2021-07-16,23.01587301587302,2021,7,16,2021-07,5
2021-07-17,23.50139212639213,2021,7,17,2021-07,5
2021-07-18,23.181547619047617,2021,7,18,2021-07,5
2021-07-19,23.151785714285715,2021,7,19,2021-07,5
2021-07-20,23.345568783068785,2021,7,20,2021-07,5
2021-07-21,23.500661375661373,2021,7,21,2021-07,5
2021-07-22,23.49867724867725,2021,7,22,2021-07,5
2021-07-23,23.581189643689648,2021,7,23,2021-07,5
2021-07-24,23.40902847152847,2021,7,24,2021-07,5
2021-07-25,23.47189153439154,2021,7,25,2021-07,5
2021-07-26,23.10731052984574,2021,7,26,2021-07,5
2021-07-27,23.36805555555556,2021,7,27,2021-07,5
2021-07-28,23.322089947089946,2021,7,28,2021-07,5
2021-07-29,23.32142857142857,2021,7,29,2021-07,5
2021-07-30,23.340953028453036,2021,7,30,2021-07,5
2021-07-31,23.054498741998742,2021,7,31,2021-07,5
2021-08-01,23.971722721722728,2021,8,1,2021-08,6
2021-08-02,23.401413690476186,2021,8,2,2021-08,6
2021-08-03,23.79563492063492,2021,8,3,2021-08,6
2021-08-04,24.151785714285715,2021,8,4,2021-08,6
2021-08-05,23.74272486772487,2021,8,5,2021-08,6
2021-08-06,23.91857910607911,2021,8,6,2021-08,6
2021-08-07,23.541258135448277,2021,8,7,2021-08,6
2021-08-08,23.387235449735453,2021,8,8,2021-08,6
2021-08-09,24.84458596958597,2021,8,9,2021-08,6
2021-08-10,27.301917989417987,2021,8,10,2021-08,6
2021-08-11,23.641534391534396,2021,8,11,2021-08,6
2021-08-12,22.987103174603174,2021,8,12,2021-08,6
2021-08-13,22.863095238095244,2021,8,13,2021-08,6
2021-08-14,23.27017195767196,2021,8,14,2021-08,6
2021-08-15,22.791666666666668,2021,8,15,2021-08,6
2021-08-16,22.618055555555557,2021,8,16,2021-08,6
2021-08-17,23.184523809523814,2021,8,17,2021-08,6
2021-08-18,24.401616640808374,2021,8,18,2021-08,6
2021-08-19,22.936507936507937,2021,8,19,2021-08,6
2021-08-20,23.075727513227513,2021,8,20,2021-08,6
2021-08-21,23.033399470899468,2021,8,21,2021-08,6
2021-08-22,23.663029100529105,2021,8,22,2021-08,6
2021-08-23,23.93915343915344,2021,8,23,2021-08,6
2021-08-24,23.173941798941794,2021,8,24,2021-08,6
2021-08-25,30.19047619047619,2021,8,25,2021-08,6
2021-08-26,22.778464590964592,2021,8,26,2021-08,6
2021-08-27,22.664555352055352,2021,8,27,2021-08,6
2021-08-28,23.511183261183266,2021,8,28,2021-08,6
2021-08-29,23.536706349206355,2021,8,29,2021-08,6
2021-08-30,23.79464285714286,2021,8,30,2021-08,6
2021-08-31,23.543320105820104,2021,8,31,2021-08,6
2021-09-01,23.51719576719577,2021,9,1,2021-09,7
2021-09-02,23.47387566137566,2021,9,2,2021-09,7
2021-09-03,23.256944444444443,2021,9,3,2021-09,7
2021-09-04,23.04464285714286,2021,9,4,2021-09,7
2021-09-05,23.024801587301585,2021,9,5,2021-09,7
2021-09-06,23.158730158730158,2021,9,6,2021-09,7
2021-09-07,23.218915343915345,2021,9,7,2021-09,7
2021-09-08,23.30833055833056,2021,9,8,2021-09,7
2021-09-09,24.913282393335585,2021,9,9,2021-09,7
2021-09-10,23.33730158730159,2021,9,10,2021-09,7
2021-09-11,23.62632275132275,2021,9,11,2021-09,7
2021-09-12,25.12797619047619,2021,9,12,2021-09,7
2021-09-13,23.508267195767196,2021,9,13,2021-09,7
2021-09-14,22.95436507936508,2021,9,14,2021-09,7
2021-09-15,23.1276455026455,2021,9,15,2021-09,7
2021-09-16,23.039351851851848,2021,9,16,2021-09,7
2021-09-17,23.39880952380953,2021,9,17,2021-09,7
2021-09-18,25.729166666666668,2021,9,18,2021-09,7
2021-09-19,23.526455026455025,2021,9,19,2021-09,7
2021-09-20,23.891372516372517,2021,9,20,2021-09,7
2021-09-21,23.942460317460316,2021,9,21,2021-09,7
2021-09-22,24.32936507936508,2021,9,22,2021-09,7
2021-09-23,24.41137566137566,2021,9,23,2021-09,7
2021-09-24,24.730158730158728,2021,9,24,2021-09,7
2021-09-25,23.021164021164022,2021,9,25,2021-09,7
2021-09-26,23.171296296296298,2021,9,26,2021-09,7
2021-09-27,23.04662698412698,2021,9,27,2021-09,7
2021-09-28,22.985144485144488,2021,9,28,2021-09,7
2021-09-29,23.120039682539684,2021,9,29,2021-09,7
2021-09-30,24.081679894179896,2021,9,30,2021-09,7
2021-10-01,24.633267195767196,2021,10,1,2021-10,8
2021-10-02,23.2228835978836,2021,10,2,2021-10,8
2021-10-03,23.582341269841272,2021,10,3,2021-10,8
2021-10-04,23.55092592592592,2021,10,4,2021-10,8
2021-10-05,37.95327575474634,2021,10,5,2021-10,8
2021-10-06,25.64776450539405,2021,10,6,2021-10,8
2021-10-07,25.40102623445758,2021,10,7,2021-10,8
2021-10-08,24.962886224861034,2021,10,8,2021-10,8
2021-10-09,23.18121693121693,2021,10,9,2021-10,8
2021-10-10,23.182208994708997,2021,10,10,2021-10,8
2021-10-11,25.7136555355895,2021,10,11,2021-10,8
2021-10-12,23.19649785058771,2021,10,12,2021-10,8
2021-10-13,23.300860515146233,2021,10,13,2021-10,8
2021-10-14,23.89937469338953,2021,10,14,2021-10,8
2021-10-15,23.793235071806503,2021,10,15,2021-10,8
2021-10-16,27.500330687830694,2021,10,16,2021-10,8
2021-10-17,25.555886243386244,2021,10,17,2021-10,8
2021-10-18,23.363542113542117,2021,10,18,2021-10,8
2021-10-19,23.5995004995005,2021,10,19,2021-10,8
2021-10-20,26.282258254124834,2021,10,20,2021-10,8
2021-10-21,24.161187323687326,2021,10,21,2021-10,8
2021-10-22,23.486111111111114,2021,10,22,2021-10,8
2021-10-23,24.935846560846564,2021,10,23,2021-10,8
2021-10-24,23.326388888888893,2021,10,24,2021-10,8
2021-10-25,23.149801587301585,2021,10,25,2021-10,8
2021-10-26,23.491071428571427,2021,10,26,2021-10,8
2021-10-27,23.242724867724867,2021,10,27,2021-10,8
2021-10-28,25.164021164021165,2021,10,28,2021-10,8
2021-10-29,23.875000000000004,2021,10,29,2021-10,8
2021-10-30,23.487433862433864,2021,10,30,2021-10,8
2021-10-31,23.474867724867725,2021,10,31,2021-10,8
2021-11-01,23.657738095238095,2021,11,1,2021-11,9
2021-11-02,28.901785714285715,2021,11,2,2021-11,9
2021-11-03,23.92012617012617,2021,11,3,2021-11,9
2021-11-04,23.071097883597886,2021,11,4,2021-11,9
2021-11-05,23.48677248677249,2021,11,5,2021-11,9
2021-11-06,22.96263227513228,2021,11,6,2021-11,9
2021-11-07,23.317460317460316,2021,11,7,2021-11,9
2021-11-08,23.196460946460945,2021,11,8,2021-11,9
2021-11-09,24.09071672062966,2021,11,9,2021-11,9
2021-11-10,26.534757834757833,2021,11,10,2021-11,9
2021-11-11,30.78174603174603,2021,11,11,2021-11,9
2021-11-12,28.613976096830086,2021,11,12,2021-11,9
2021-11-13,24.405423280423275,2021,11,13,2021-11,9
2021-11-14,24.557539682539684,2021,11,14,2021-11,9
2021-11-15,24.686135623635625,2021,11,15,2021-11,9
2021-11-16,23.45979948026408,2021,11,16,2021-11,9
2021-11-17,23.89194409327153,2021,11,17,2021-11,9
2021-11-18,24.21172723475355,2021,11,18,2021-11,9
2021-11-19,27.479782430213465,2021,11,19,2021-11,9
2021-11-20,23.87599206349206,2021,11,20,2021-11,9
2021-11-21,24.709656084656086,2021,11,21,2021-11,9
2021-11-22,26.478835978835978,2021,11,22,2021-11,9
2021-11-23,32.7609126984127,2021,11,23,2021-11,9
2021-11-24,28.816798941798943,2021,11,24,2021-11,9
2021-11-25,24.790013227513224,2021,11,25,2021-11,9
2021-11-26,25.974206349206344,2021,11,26,2021-11,9
2021-11-27,25.05720899470899,2021,11,27,2021-11,9
2021-11-28,23.040013227513224,2021,11,28,2021-11,9
2021-11-29,23.861922799422803,2021,11,29,2021-11,9
2021-11-30,23.408399470899475,2021,11,30,2021-11,9
2021-12-01,26.882936507936506,2021,12,1,2021-12,10
2021-12-02,26.016203703703706,2021,12,2,2021-12,10
2021-12-03,24.725283573109657,2021,12,3,2021-12,10
2021-12-04,29.2199074074074,2021,12,4,2021-12,10
2021-12-05,24.71906534664267,2021,12,5,2021-12,10
2021-12-06,23.059854497354497,2021,12,6,2021-12,10
2021-12-07,23.56832288082288,2021,12,7,2021-12,10
2021-12-08,23.77414021164021,2021,12,8,2021-12,10
2021-12-09,23.203042328042326,2021,12,9,2021-12,10
2021-12-10,23.232126885903863,2021,12,10,2021-12,10
2021-12-11,23.675925925925927,2021,12,11,2021-12,10
2021-12-12,25.930115203002522,2021,12,12,2021-12,10
2021-12-13,33.46915753781951,2021,12,13,2021-12,10
2021-12-14,23.37003968253968,2021,12,14,2021-12,10
2021-12-15,24.77843915343915,2021,12,15,2021-12,10
2021-12-16,24.93132099382099,2021,12,16,2021-12,10
2021-12-17,27.182299182299186,2021,12,17,2021-12,10
2021-12-18,25.570436507936506,2021,12,18,2021-12,10
2021-12-19,23.646314333814335,2021,12,19,2021-12,10
2021-12-20,26.256042716245794,2021,12,20,2021-12,10
2021-12-21,26.34424603174603,2021,12,21,2021-12,10
2021-12-22,28.18253968253969,2021,12,22,2021-12,10
2021-12-23,26.345238095238095,2021,12,23,2021-12,10
2021-12-24,23.771279646279645,2021,12,24,2021-12,10
2021-12-25,24.014219576719572,2021,12,25,2021-12,10
2021-12-26,26.90509259259259,2021,12,26,2021-12,10
2021-12-27,24.47156084656085,2021,12,27,2021-12,10
2021-12-28,21.872685185185183,2021,12,28,2021-12,10
2021-12-29,18.941468253968253,2021,12,29,2021-12,10
2021-12-30,19.259203759203757,2021,12,30,2021-12,10
2021-12-31,22.666335978835985,2021,12,31,2021-12,10
2022-01-01,22.184854497354493,2022,1,1,2022-01,11
2022-01-02,20.419642857142854,2022,1,2,2022-01,11
2022-01-03,20.844576719576718,2022,1,3,2022-01,11
2022-01-04,19.938325563325563,2022,1,4,2022-01,11
2022-01-05,18.682481869981867,2022,1,5,2022-01,11
2022-01-06,16.774140211640212,2022,1,6,2022-01,11
2022-01-07,21.173611111111107,2022,1,7,2022-01,11
2022-01-08,16.708994708994705,2022,1,8,2022-01,11
2022-01-09,19.54001322751323,2022,1,9,2022-01,11
2022-01-10,16.944444444444443,2022,1,10,2022-01,11
2022-01-11,20.66865079365079,2022,1,11,2022-01,11
2022-01-12,24.95998677248677,2022,1,12,2022-01,11
2022-01-13,20.60175703925704,2022,1,13,2022-01,11
2022-01-14,23.152116402116402,2022,1,14,2022-01,11
2022-01-15,17.81117724867725,2022,1,15,2022-01,11
2022-01-16,17.531084656084655,2022,1,16,2022-01,11
2022-01-17,21.412208162208163,2022,1,17,2022-01,11
