Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,38.83700980392157,2021,3,17,2021-03,1
2021-03-18,39.05857843137256,2021,3,18,2021-03,1
2021-03-19,39.03366812925634,2021,3,19,2021-03,1
2021-03-20,38.77226307189541,2021,3,20,2021-03,1
2021-03-21,49.09558823529412,2021,3,21,2021-03,1
2021-03-22,40.100081699346404,2021,3,22,2021-03,1
2021-03-23,40.04154235488023,2021,3,23,2021-03,1
2021-03-24,39.90870098039216,2021,3,24,2021-03,1
2021-03-25,39.80187908496732,2021,3,25,2021-03,1
2021-03-26,40.13664215686275,2021,3,26,2021-03,1
2021-03-27,40.07250816993462,2021,3,27,2021-03,1
2021-03-28,43.9281045751634,2021,3,28,2021-03,1
2021-03-29,40.8764297385621,2021,3,29,2021-03,1
2021-03-30,40.18055555555556,2021,3,30,2021-03,1
2021-03-31,40.11621732026145,2021,3,31,2021-03,1
2021-04-01,39.782883986928105,2021,4,1,2021-04,2
2021-04-02,39.881664495635086,2021,4,2,2021-04,2
2021-04-03,39.67790032679738,2021,4,3,2021-04,2
2021-04-04,41.13316993464053,2021,4,4,2021-04,2
2021-04-05,41.56617647058824,2021,4,5,2021-04,2
2021-04-06,39.234477124182995,2021,4,6,2021-04,2
2021-04-07,39.721609477124176,2021,4,7,2021-04,2
2021-04-08,40.25939542483662,2021,4,8,2021-04,2
2021-04-09,39.895016339869265,2021,4,9,2021-04,2
2021-04-10,39.9234068627451,2021,4,10,2021-04,2
2021-04-11,39.77818627450981,2021,4,11,2021-04,2
2021-04-12,39.74244281045751,2021,4,12,2021-04,2
2021-04-13,41.5655722953517,2021,4,13,2021-04,2
2021-04-14,40.781045751633975,2021,4,14,2021-04,2
2021-04-15,39.56433823529411,2021,4,15,2021-04,2
2021-04-16,40.082720588235304,2021,4,16,2021-04,2
2021-04-17,44.804325780428734,2021,4,17,2021-04,2
2021-04-18,39.57250816993464,2021,4,18,2021-04,2
2021-04-19,39.93729575163399,2021,4,19,2021-04,2
2021-04-20,40.27124183006535,2021,4,20,2021-04,2
2021-04-21,40.2077205882353,2021,4,21,2021-04,2
2021-04-22,40.03125,2021,4,22,2021-04,2
2021-04-23,39.6689133986928,2021,4,23,2021-04,2
2021-04-24,39.93831699346406,2021,4,24,2021-04,2
2021-04-25,40.28758169934641,2021,4,25,2021-04,2
2021-04-26,40.064746732026144,2021,4,26,2021-04,2
2021-04-27,40.12071078431374,2021,4,27,2021-04,2
2021-04-28,39.9138071895425,2021,4,28,2021-04,2
2021-04-29,42.76858660130719,2021,4,29,2021-04,2
2021-04-30,39.5016339869281,2021,4,30,2021-04,2
2021-05-01,42.103892390289445,2021,5,1,2021-05,3
2021-05-02,39.74550653594772,2021,5,2,2021-05,3
2021-05-03,39.918096405228745,2021,5,3,2021-05,3
2021-05-04,39.82904411764706,2021,5,4,2021-05,3
2021-05-05,42.65400326797385,2021,5,5,2021-05,3
2021-05-06,40.23325163398693,2021,5,6,2021-05,3
2021-05-07,42.067401960784316,2021,5,7,2021-05,3
2021-05-08,39.64767156862745,2021,5,8,2021-05,3
2021-05-09,39.852532679738566,2021,5,9,2021-05,3
2021-05-10,39.82639803433812,2021,5,10,2021-05,3
2021-05-11,40.03446614964394,2021,5,11,2021-05,3
2021-05-12,40.40349341490982,2021,5,12,2021-05,3
2021-05-13,40.97615476538873,2021,5,13,2021-05,3
2021-05-14,39.71764275885791,2021,5,14,2021-05,3
2021-05-15,39.77144607843138,2021,5,15,2021-05,3
2021-05-16,40.512663398692816,2021,5,16,2021-05,3
2021-05-17,40.89551471038307,2021,5,17,2021-05,3
2021-05-18,40.92455261962182,2021,5,18,2021-05,3
2021-05-19,43.93260593453066,2021,5,19,2021-05,3
2021-05-20,42.34982192715273,2021,5,20,2021-05,3
2021-05-21,43.50129725313549,2021,5,21,2021-05,3
2021-05-22,40.953227124183,2021,5,22,2021-05,3
2021-05-23,39.66707516339869,2021,5,23,2021-05,3
2021-05-24,41.945124611333206,2021,5,24,2021-05,3
2021-05-25,40.271376950988596,2021,5,25,2021-05,3
2021-05-26,40.33879233511586,2021,5,26,2021-05,3
2021-05-27,45.19464869281047,2021,5,27,2021-05,3
2021-05-28,39.65332633053221,2021,5,28,2021-05,3
2021-05-29,39.60069444444444,2021,5,29,2021-05,3
2021-05-30,40.16360294117648,2021,5,30,2021-05,3
2021-05-31,40.28370692937368,2021,5,31,2021-05,3
2021-06-01,40.82744594235235,2021,6,1,2021-06,4
2021-06-02,40.51838235294117,2021,6,2,2021-06,4
2021-06-03,39.992141395393105,2021,6,3,2021-06,4
2021-06-04,43.80902777777777,2021,6,4,2021-06,4
2021-06-05,39.791870915032675,2021,6,5,2021-06,4
2021-06-06,40.6000816993464,2021,6,6,2021-06,4
2021-06-07,40.68628992477494,2021,6,7,2021-06,4
2021-06-08,41.24771087680354,2021,6,8,2021-06,4
2021-06-09,40.21817037625861,2021,6,9,2021-06,4
2021-06-10,40.09885620915032,2021,6,10,2021-06,4
2021-06-11,39.87908496732025,2021,6,11,2021-06,4
2021-06-12,39.80433006535948,2021,6,12,2021-06,4
2021-06-13,40.07576186068834,2021,6,13,2021-06,4
2021-06-14,40.75,2021,6,14,2021-06,4
2021-06-15,40.00714869281046,2021,6,15,2021-06,4
2021-06-16,41.62152777777777,2021,6,16,2021-06,4
2021-06-17,39.91687091503268,2021,6,17,2021-06,4
2021-06-18,39.697099673202615,2021,6,18,2021-06,4
2021-06-19,42.61151960784314,2021,6,19,2021-06,4
2021-06-20,39.831903594771255,2021,6,20,2021-06,4
2021-06-21,39.85507668413901,2021,6,21,2021-06,4
2021-06-22,39.55242675978946,2021,6,22,2021-06,4
2021-06-23,39.51096132897604,2021,6,23,2021-06,4
2021-06-24,39.85795582600856,2021,6,24,2021-06,4
2021-06-25,39.72442439096851,2021,6,25,2021-06,4
2021-06-26,39.68974673202616,2021,6,26,2021-06,4
2021-06-27,40.33843954248366,2021,6,27,2021-06,4
2021-06-28,41.21777589240825,2021,6,28,2021-06,4
2021-06-29,41.916616073034724,2021,6,29,2021-06,4
2021-06-30,39.47251266714637,2021,6,30,2021-06,4
2021-07-01,46.897321428571416,2021,7,1,2021-07,5
2021-07-02,47.2609024465642,2021,7,2,2021-07,5
2021-07-03,43.37050653594771,2021,7,3,2021-07,5
2021-07-04,39.49244281045751,2021,7,4,2021-07,5
2021-07-05,38.854337793676024,2021,7,5,2021-07,5
2021-07-06,39.39529340721794,2021,7,6,2021-07,5
2021-07-07,40.03129084967319,2021,7,7,2021-07,5
2021-07-08,39.85422527706734,2021,7,8,2021-07,5
2021-07-09,39.97867217062264,2021,7,9,2021-07,5
2021-07-10,39.49244281045752,2021,7,10,2021-07,5
2021-07-11,39.86029411764706,2021,7,11,2021-07,5
2021-07-12,40.96123145204028,2021,7,12,2021-07,5
2021-07-13,41.96830232960707,2021,7,13,2021-07,5
2021-07-14,40.93908205937742,2021,7,14,2021-07,5
2021-07-15,39.696409454586444,2021,7,15,2021-07,5
2021-07-16,39.22324346405229,2021,7,16,2021-07,5
2021-07-17,39.380101924219574,2021,7,17,2021-07,5
2021-07-18,39.54799836601308,2021,7,18,2021-07,5
2021-07-19,39.713923954537556,2021,7,19,2021-07,5
2021-07-20,39.85449768988055,2021,7,20,2021-07,5
2021-07-21,39.87649782135076,2021,7,21,2021-07,5
2021-07-22,40.0702614379085,2021,7,22,2021-07,5
2021-07-23,40.04534313725489,2021,7,23,2021-07,5
2021-07-24,40.11262797659857,2021,7,24,2021-07,5
2021-07-25,40.15604575163399,2021,7,25,2021-07,5
2021-07-26,40.34414731651038,2021,7,26,2021-07,5
2021-07-27,40.96421568627452,2021,7,27,2021-07,5
2021-07-28,41.14671482628138,2021,7,28,2021-07,5
2021-07-29,40.78444621091679,2021,7,29,2021-07,5
2021-07-30,40.01704014939308,2021,7,30,2021-07,5
2021-07-31,40.10355392156863,2021,7,31,2021-07,5
2021-08-01,40.04268790849674,2021,8,1,2021-08,6
2021-08-02,39.96993249054008,2021,8,2,2021-08,6
2021-08-03,39.12034359304968,2021,8,3,2021-08,6
2021-08-04,39.51709001782532,2021,8,4,2021-08,6
2021-08-05,39.59486342472093,2021,8,5,2021-08,6
2021-08-06,39.61172385620915,2021,8,6,2021-08,6
2021-08-07,39.75346508067096,2021,8,7,2021-08,6
2021-08-08,41.07557189542483,2021,8,8,2021-08,6
2021-08-09,40.27021915992505,2021,8,9,2021-08,6
2021-08-10,39.765522875817,2021,8,10,2021-08,6
2021-08-11,40.17953431372549,2021,8,11,2021-08,6
2021-08-12,41.60707756295992,2021,8,12,2021-08,6
2021-08-13,39.64593689588511,2021,8,13,2021-08,6
2021-08-14,39.342320261437905,2021,8,14,2021-08,6
2021-08-15,41.871271008403355,2021,8,15,2021-08,6
2021-08-16,42.69318268584692,2021,8,16,2021-08,6
2021-08-17,38.98048048048048,2021,8,17,2021-08,6
2021-08-18,38.417455979441925,2021,8,18,2021-08,6
2021-08-19,38.6364070785547,2021,8,19,2021-08,6
2021-08-20,38.98982318462554,2021,8,20,2021-08,6
2021-08-21,39.12622549019607,2021,8,21,2021-08,6
2021-08-22,38.95486111111111,2021,8,22,2021-08,6
2021-08-23,39.60955237358101,2021,8,23,2021-08,6
2021-08-24,39.68956456456456,2021,8,24,2021-08,6
2021-08-25,38.96980988341282,2021,8,25,2021-08,6
2021-08-26,40.112522281639926,2021,8,26,2021-08,6
2021-08-27,40.782751501501494,2021,8,27,2021-08,6
2021-08-28,41.06320130033366,2021,8,28,2021-08,6
2021-08-29,40.82312091503269,2021,8,29,2021-08,6
2021-08-30,40.83357100415924,2021,8,30,2021-08,6
2021-08-31,40.776497085320614,2021,8,31,2021-08,6
2021-09-01,40.84830659536542,2021,9,1,2021-09,7
2021-09-02,43.381382220426865,2021,9,2,2021-09,7
2021-09-03,43.65168797705561,2021,9,3,2021-09,7
2021-09-04,41.08231209150328,2021,9,4,2021-09,7
2021-09-05,39.3174019607843,2021,9,5,2021-09,7
2021-09-06,39.704452614379086,2021,9,6,2021-09,7
2021-09-07,39.36738913935404,2021,9,7,2021-09,7
2021-09-08,39.462386877828045,2021,9,8,2021-09,7
2021-09-09,41.1203022875817,2021,9,9,2021-09,7
2021-09-10,39.80412581699346,2021,9,10,2021-09,7
2021-09-11,40.3233251633987,2021,9,11,2021-09,7
2021-09-12,41.286356209150334,2021,9,12,2021-09,7
2021-09-13,40.5928769814498,2021,9,13,2021-09,7
2021-09-14,40.6464160826578,2021,9,14,2021-09,7
2021-09-15,39.949355924467596,2021,9,15,2021-09,7
2021-09-16,39.67136437908498,2021,9,16,2021-09,7
2021-09-17,40.201053235979714,2021,9,17,2021-09,7
2021-09-18,42.2250816993464,2021,9,18,2021-09,7
2021-09-19,40.152982026143796,2021,9,19,2021-09,7
2021-09-20,39.67372251931075,2021,9,20,2021-09,7
2021-09-21,39.572508169934636,2021,9,21,2021-09,7
2021-09-22,40.46997549019608,2021,9,22,2021-09,7
2021-09-23,40.03553921568626,2021,9,23,2021-09,7
2021-09-24,40.22875816993465,2021,9,24,2021-09,7
2021-09-25,39.87175916403857,2021,9,25,2021-09,7
2021-09-26,42.237336601307184,2021,9,26,2021-09,7
2021-09-27,39.25919117647058,2021,9,27,2021-09,7
2021-09-28,39.37466254617789,2021,9,28,2021-09,7
2021-09-29,39.473243464052274,2021,9,29,2021-09,7
2021-09-30,39.732434640522875,2021,9,30,2021-09,7
2021-10-01,41.50388071895424,2021,10,1,2021-10,8
2021-10-02,39.816380718954235,2021,10,2,2021-10,8
2021-10-03,39.90257352941177,2021,10,3,2021-10,8
2021-10-04,39.650326797385624,2021,10,4,2021-10,8
2021-10-05,39.843954248366025,2021,10,5,2021-10,8
