Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,59.34375,2021,3,17,2021-03,1
2021-03-18,59.203125,2021,3,18,2021-03,1
2021-03-19,59.045138888888886,2021,3,19,2021-03,1
2021-03-20,59.71701388888889,2021,3,20,2021-03,1
2021-03-21,61.08680555555555,2021,3,21,2021-03,1
2021-03-22,59.77430555555555,2021,3,22,2021-03,1
2021-03-23,59.17013888888888,2021,3,23,2021-03,1
2021-03-24,59.60668525039124,2021,3,24,2021-03,1
2021-03-25,59.36631944444445,2021,3,25,2021-03,1
2021-03-26,58.911458333333336,2021,3,26,2021-03,1
2021-03-27,59.08159722222223,2021,3,27,2021-03,1
2021-03-28,60.763888888888886,2021,3,28,2021-03,1
2021-03-29,58.87152777777778,2021,3,29,2021-03,1
2021-03-30,59.682291666666664,2021,3,30,2021-03,1
2021-03-31,59.267361111111114,2021,3,31,2021-03,1
2021-04-01,58.79340277777778,2021,4,1,2021-04,2
2021-04-02,58.72395833333333,2021,4,2,2021-04,2
2021-04-03,58.432291666666664,2021,4,3,2021-04,2
2021-04-04,61.54687499999999,2021,4,4,2021-04,2
2021-04-05,58.795138888888886,2021,4,5,2021-04,2
2021-04-06,59.88368055555556,2021,4,6,2021-04,2
2021-04-07,59.64409722222222,2021,4,7,2021-04,2
2021-04-08,59.796875,2021,4,8,2021-04,2
2021-04-09,59.286458333333336,2021,4,9,2021-04,2
2021-04-10,59.31076388888889,2021,4,10,2021-04,2
2021-04-11,59.1875,2021,4,11,2021-04,2
2021-04-12,59.86284722222222,2021,4,12,2021-04,2
2021-04-13,59.4357638888889,2021,4,13,2021-04,2
2021-04-14,59.6875,2021,4,14,2021-04,2
2021-04-15,59.876736111111114,2021,4,15,2021-04,2
2021-04-16,59.70138888888888,2021,4,16,2021-04,2
2021-04-17,62.1875,2021,4,17,2021-04,2
2021-04-18,59.39930555555556,2021,4,18,2021-04,2
2021-04-19,59.33680555555556,2021,4,19,2021-04,2
2021-04-20,59.02777777777777,2021,4,20,2021-04,2
2021-04-21,59.859375,2021,4,21,2021-04,2
2021-04-22,59.16493055555556,2021,4,22,2021-04,2
2021-04-23,59.104166666666664,2021,4,23,2021-04,2
2021-04-24,59.27777777777777,2021,4,24,2021-04,2
2021-04-25,59.29340277777778,2021,4,25,2021-04,2
2021-04-26,59.515625,2021,4,26,2021-04,2
2021-04-27,59.487847222222214,2021,4,27,2021-04,2
2021-04-28,60.50694444444444,2021,4,28,2021-04,2
2021-04-29,63.3125,2021,4,29,2021-04,2
2021-04-30,58.829861111111114,2021,4,30,2021-04,2
2021-05-01,59.09895833333333,2021,5,1,2021-05,3
2021-05-02,59.453125,2021,5,2,2021-05,3
2021-05-03,58.66493055555554,2021,5,3,2021-05,3
2021-05-04,58.80555555555555,2021,5,4,2021-05,3
2021-05-05,60.77430555555555,2021,5,5,2021-05,3
2021-05-06,59.015625,2021,5,6,2021-05,3
2021-05-07,60.58159722222222,2021,5,7,2021-05,3
2021-05-08,58.94618055555555,2021,5,8,2021-05,3
2021-05-09,58.64583333333333,2021,5,9,2021-05,3
2021-05-10,59.28645833333333,2021,5,10,2021-05,3
2021-05-11,59.369791666666664,2021,5,11,2021-05,3
2021-05-12,61.145833333333336,2021,5,12,2021-05,3
2021-05-13,59.4375,2021,5,13,2021-05,3
2021-05-14,58.6579861111111,2021,5,14,2021-05,3
2021-05-15,59.38368055555556,2021,5,15,2021-05,3
2021-05-16,58.355902777777786,2021,5,16,2021-05,3
2021-05-17,61.78298611111112,2021,5,17,2021-05,3
2021-05-18,59.48528874269006,2021,5,18,2021-05,3
2021-05-19,59.45486111111111,2021,5,19,2021-05,3
2021-05-20,62.06076388888889,2021,5,20,2021-05,3
2021-05-21,60.496527777777786,2021,5,21,2021-05,3
2021-05-22,58.506944444444436,2021,5,22,2021-05,3
2021-05-23,58.498263888888886,2021,5,23,2021-05,3
2021-05-24,61.32465277777777,2021,5,24,2021-05,3
2021-05-25,58.69618055555554,2021,5,25,2021-05,3
2021-05-26,59.48784722222222,2021,5,26,2021-05,3
2021-05-27,64.15451388888889,2021,5,27,2021-05,3
2021-05-28,58.967013888888886,2021,5,28,2021-05,3
2021-05-29,58.921875,2021,5,29,2021-05,3
2021-05-30,59.239583333333336,2021,5,30,2021-05,3
2021-05-31,59.175347222222214,2021,5,31,2021-05,3
2021-06-01,59.407986111111114,2021,6,1,2021-06,4
2021-06-02,59.342013888888886,2021,6,2,2021-06,4
2021-06-03,60.72222222222222,2021,6,3,2021-06,4
2021-06-04,62.17534722222223,2021,6,4,2021-06,4
2021-06-05,59.020833333333336,2021,6,5,2021-06,4
2021-06-06,59.314236111111114,2021,6,6,2021-06,4
2021-06-07,59.30555555555555,2021,6,7,2021-06,4
2021-06-08,59.42708333333333,2021,6,8,2021-06,4
2021-06-09,59.30208333333334,2021,6,9,2021-06,4
2021-06-10,59.546875,2021,6,10,2021-06,4
2021-06-11,59.107638888888886,2021,6,11,2021-06,4
2021-06-12,59.05902777777778,2021,6,12,2021-06,4
2021-06-13,59.348958333333336,2021,6,13,2021-06,4
2021-06-14,58.85243055555556,2021,6,14,2021-06,4
2021-06-15,59.15625,2021,6,15,2021-06,4
2021-06-16,60.026041666666664,2021,6,16,2021-06,4
2021-06-17,58.578125,2021,6,17,2021-06,4
2021-06-18,61.369791666666664,2021,6,18,2021-06,4
2021-06-19,60.51909722222222,2021,6,19,2021-06,4
2021-06-20,59.045138888888886,2021,6,20,2021-06,4
2021-06-21,59.56770833333333,2021,6,21,2021-06,4
2021-06-22,59.28174776612276,2021,6,22,2021-06,4
2021-06-23,59.13888888888889,2021,6,23,2021-06,4
2021-06-24,59.62847222222222,2021,6,24,2021-06,4
2021-06-25,59.70312500000001,2021,6,25,2021-06,4
2021-06-26,59.69618055555556,2021,6,26,2021-06,4
2021-06-27,59.388888888888886,2021,6,27,2021-06,4
2021-06-28,60.16666666666667,2021,6,28,2021-06,4
2021-06-29,59.08159722222223,2021,6,29,2021-06,4
2021-06-30,59.43402777777778,2021,6,30,2021-06,4
2021-07-01,59.41493055555556,2021,7,1,2021-07,5
2021-07-02,59.123263888888886,2021,7,2,2021-07,5
2021-07-03,59.66840277777778,2021,7,3,2021-07,5
2021-07-04,58.88541666666666,2021,7,4,2021-07,5
2021-07-05,58.47764598540145,2021,7,5,2021-07,5
2021-07-06,58.75,2021,7,6,2021-07,5
2021-07-07,58.88715277777778,2021,7,7,2021-07,5
2021-07-08,61.14236111111112,2021,7,8,2021-07,5
2021-07-09,61.61805555555556,2021,7,9,2021-07,5
2021-07-10,59.18055555555555,2021,7,10,2021-07,5
2021-07-11,58.52430555555556,2021,7,11,2021-07,5
2021-07-12,60.95976307189542,2021,7,12,2021-07,5
2021-07-13,58.78993055555556,2021,7,13,2021-07,5
2021-07-14,59.08506944444444,2021,7,14,2021-07,5
2021-07-15,59.46180555555555,2021,7,15,2021-07,5
2021-07-16,59.61631944444444,2021,7,16,2021-07,5
2021-07-17,58.08159722222223,2021,7,17,2021-07,5
2021-07-18,58.21527777777778,2021,7,18,2021-07,5
2021-07-19,58.38368055555556,2021,7,19,2021-07,5
2021-07-20,58.76736111111111,2021,7,20,2021-07,5
2021-07-21,58.75868055555554,2021,7,21,2021-07,5
2021-07-22,58.845486111111114,2021,7,22,2021-07,5
2021-07-23,59.182291666666664,2021,7,23,2021-07,5
2021-07-24,59.15972222222222,2021,7,24,2021-07,5
2021-07-25,59.25520833333333,2021,7,25,2021-07,5
2021-07-26,59.56293706293707,2021,7,26,2021-07,5
2021-07-27,59.54166666666667,2021,7,27,2021-07,5
2021-07-28,59.96356594794095,2021,7,28,2021-07,5
2021-07-29,60.38368055555555,2021,7,29,2021-07,5
2021-07-30,60.36111111111111,2021,7,30,2021-07,5
2021-07-31,60.307291666666664,2021,7,31,2021-07,5
2021-08-01,60.43576388888889,2021,8,1,2021-08,6
2021-08-02,60.079861111111114,2021,8,2,2021-08,6
2021-08-03,59.97916666666666,2021,8,3,2021-08,6
2021-08-04,59.734375,2021,8,4,2021-08,6
