Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,39.206944444444446,2021,3,17,2021-03,1
2021-03-18,39.25555555555555,2021,3,18,2021-03,1
2021-03-19,39.49305555555555,2021,3,19,2021-03,1
2021-03-20,45.734722222222224,2021,3,20,2021-03,1
2021-03-21,42.46805555555555,2021,3,21,2021-03,1
2021-03-22,38.34166666666666,2021,3,22,2021-03,1
2021-03-23,38.92916666666666,2021,3,23,2021-03,1
2021-03-24,39.019444444444446,2021,3,24,2021-03,1
2021-03-25,39.75694444444444,2021,3,25,2021-03,1
2021-03-26,38.790277777777774,2021,3,26,2021-03,1
2021-03-27,39.24583333333333,2021,3,27,2021-03,1
2021-03-28,44.93194444444445,2021,3,28,2021-03,1
2021-03-29,38.20138888888889,2021,3,29,2021-03,1
2021-03-30,38.97638888888889,2021,3,30,2021-03,1
2021-03-31,39.22916666666667,2021,3,31,2021-03,1
2021-04-01,39.01944444444444,2021,4,1,2021-04,2
2021-04-02,38.30833333333333,2021,4,2,2021-04,2
2021-04-03,39.24583333333334,2021,4,3,2021-04,2
2021-04-04,41.92777777777778,2021,4,4,2021-04,2
2021-04-05,37.676388888888894,2021,4,5,2021-04,2
2021-04-06,40.21111111111111,2021,4,6,2021-04,2
2021-04-07,38.609722222222224,2021,4,7,2021-04,2
2021-04-08,39.108333333333334,2021,4,8,2021-04,2
2021-04-09,38.984722222222224,2021,4,9,2021-04,2
2021-04-10,39.1125,2021,4,10,2021-04,2
2021-04-11,39.4625,2021,4,11,2021-04,2
2021-04-12,41.516666666666666,2021,4,12,2021-04,2
2021-04-13,41.85972222222223,2021,4,13,2021-04,2
2021-04-14,38.073611111111106,2021,4,14,2021-04,2
2021-04-15,38.44166666666666,2021,4,15,2021-04,2
2021-04-16,39.302777777777784,2021,4,16,2021-04,2
2021-04-17,43.53055555555555,2021,4,17,2021-04,2
2021-04-18,38.3625,2021,4,18,2021-04,2
2021-04-19,39.00277777777778,2021,4,19,2021-04,2
2021-04-20,39.26527777777778,2021,4,20,2021-04,2
2021-04-21,39.334722222222226,2021,4,21,2021-04,2
2021-04-22,39.50833333333334,2021,4,22,2021-04,2
2021-04-23,39.00972222222222,2021,4,23,2021-04,2
2021-04-24,38.772222222222226,2021,4,24,2021-04,2
2021-04-25,39.3125,2021,4,25,2021-04,2
2021-04-26,38.80694444444443,2021,4,26,2021-04,2
2021-04-27,39.50138888888888,2021,4,27,2021-04,2
2021-04-28,40.71805555555555,2021,4,28,2021-04,2
2021-04-29,42.58333333333333,2021,4,29,2021-04,2
2021-04-30,38.597222222222214,2021,4,30,2021-04,2
2021-05-01,40.09305555555555,2021,5,1,2021-05,3
2021-05-02,38.78194444444445,2021,5,2,2021-05,3
2021-05-03,38.66111111111111,2021,5,3,2021-05,3
2021-05-04,38.95,2021,5,4,2021-05,3
2021-05-05,44.676388888888894,2021,5,5,2021-05,3
2021-05-06,38.27916666666667,2021,5,6,2021-05,3
2021-05-07,41.48055555555556,2021,5,7,2021-05,3
2021-05-08,38.775,2021,5,8,2021-05,3
2021-05-09,38.92638888888889,2021,5,9,2021-05,3
2021-05-10,38.64583333333333,2021,5,10,2021-05,3
2021-05-11,39.352777777777774,2021,5,11,2021-05,3
2021-05-12,43.71111111111111,2021,5,12,2021-05,3
2021-05-13,39.56388888888888,2021,5,13,2021-05,3
2021-05-14,39.18472222222222,2021,5,14,2021-05,3
2021-05-15,41.31805555555555,2021,5,15,2021-05,3
2021-05-16,39.459722222222226,2021,5,16,2021-05,3
2021-05-17,44.0125,2021,5,17,2021-05,3
2021-05-18,40.31249999999999,2021,5,18,2021-05,3
2021-05-19,41.706944444444446,2021,5,19,2021-05,3
2021-05-20,45.60416666666667,2021,5,20,2021-05,3
2021-05-21,42.37638888888888,2021,5,21,2021-05,3
2021-05-22,38.07083333333333,2021,5,22,2021-05,3
2021-05-23,38.78611111111111,2021,5,23,2021-05,3
2021-05-24,44.15694444444445,2021,5,24,2021-05,3
2021-05-25,38.294444444444444,2021,5,25,2021-05,3
2021-05-26,39.269444444444446,2021,5,26,2021-05,3
2021-05-27,45.81666666666667,2021,5,27,2021-05,3
2021-05-28,38.03888888888889,2021,5,28,2021-05,3
2021-05-29,38.986111111111114,2021,5,29,2021-05,3
2021-05-30,39.30138888888889,2021,5,30,2021-05,3
2021-05-31,39.28611111111111,2021,5,31,2021-05,3
2021-06-01,39.36944444444445,2021,6,1,2021-06,4
2021-06-02,39.090277777777786,2021,6,2,2021-06,4
2021-06-03,41.91388888888889,2021,6,3,2021-06,4
2021-06-04,43.636111111111106,2021,6,4,2021-06,4
2021-06-05,38.88055555555555,2021,6,5,2021-06,4
2021-06-06,38.829166666666666,2021,6,6,2021-06,4
2021-06-07,38.99027777777778,2021,6,7,2021-06,4
2021-06-08,39.91111111111111,2021,6,8,2021-06,4
2021-06-09,40.205555555555556,2021,6,9,2021-06,4
2021-06-10,39.02638888888889,2021,6,10,2021-06,4
2021-06-11,39.03055555555555,2021,6,11,2021-06,4
2021-06-12,40.15833333333334,2021,6,12,2021-06,4
2021-06-13,39.43194444444445,2021,6,13,2021-06,4
2021-06-14,39.25972222222222,2021,6,14,2021-06,4
2021-06-15,39.016666666666666,2021,6,15,2021-06,4
2021-06-16,39.97222222222222,2021,6,16,2021-06,4
2021-06-17,38.13333333333333,2021,6,17,2021-06,4
2021-06-18,42.53055555555555,2021,6,18,2021-06,4
2021-06-19,41.36944444444445,2021,6,19,2021-06,4
2021-06-20,39.28611111111111,2021,6,20,2021-06,4
2021-06-21,39.375,2021,6,21,2021-06,4
2021-06-22,39.06527777777778,2021,6,22,2021-06,4
2021-06-23,39.57638888888889,2021,6,23,2021-06,4
2021-06-24,40.240277777777784,2021,6,24,2021-06,4
2021-06-25,39.5375,2021,6,25,2021-06,4
2021-06-26,40.422222222222224,2021,6,26,2021-06,4
2021-06-27,40.25694444444444,2021,6,27,2021-06,4
2021-06-28,39.33472222222222,2021,6,28,2021-06,4
2021-06-29,38.94305555555555,2021,6,29,2021-06,4
2021-06-30,39.456944444444446,2021,6,30,2021-06,4
2021-07-01,41.80979020979021,2021,7,1,2021-07,5
2021-07-02,39.15833333333333,2021,7,2,2021-07,5
2021-07-03,40.24722222222222,2021,7,3,2021-07,5
2021-07-04,38.47638888888889,2021,7,4,2021-07,5
2021-07-05,38.03194444444444,2021,7,5,2021-07,5
2021-07-06,39.234722222222224,2021,7,6,2021-07,5
2021-07-07,39.85555555555556,2021,7,7,2021-07,5
2021-07-08,39.62916666666666,2021,7,8,2021-07,5
2021-07-09,41.17777777777778,2021,7,9,2021-07,5
2021-07-10,40.358333333333334,2021,7,10,2021-07,5
2021-07-11,40.2375,2021,7,11,2021-07,5
2021-07-12,41.72638888888888,2021,7,12,2021-07,5
2021-07-13,39.84305555555555,2021,7,13,2021-07,5
2021-07-14,40.68333333333334,2021,7,14,2021-07,5
2021-07-15,39.28888888888889,2021,7,15,2021-07,5
2021-07-16,40.56805555555556,2021,7,16,2021-07,5
2021-07-17,38.352777777777774,2021,7,17,2021-07,5
2021-07-18,38.327777777777776,2021,7,18,2021-07,5
2021-07-19,37.59027777777778,2021,7,19,2021-07,5
2021-07-20,38.165277777777774,2021,7,20,2021-07,5
2021-07-21,38.27361111111111,2021,7,21,2021-07,5
2021-07-22,38.75416666666667,2021,7,22,2021-07,5
2021-07-23,39.01111111111111,2021,7,23,2021-07,5
2021-07-24,39.02777777777777,2021,7,24,2021-07,5
2021-07-25,39.19027777777777,2021,7,25,2021-07,5
2021-07-26,39.13006993006993,2021,7,26,2021-07,5
2021-07-27,40.18333333333334,2021,7,27,2021-07,5
2021-07-28,40.706944444444446,2021,7,28,2021-07,5
2021-07-29,40.27222222222222,2021,7,29,2021-07,5
2021-07-30,40.37467948717949,2021,7,30,2021-07,5
2021-07-31,41.08472222222222,2021,7,31,2021-07,5
2021-08-01,40.962500000000006,2021,8,1,2021-08,6
2021-08-02,39.824999999999996,2021,8,2,2021-08,6
2021-08-03,39.93611111111111,2021,8,3,2021-08,6
2021-08-04,39.61805555555556,2021,8,4,2021-08,6
2021-08-05,40.170833333333334,2021,8,5,2021-08,6
2021-08-06,39.74166666666666,2021,8,6,2021-08,6
2021-08-07,39.92361111111111,2021,8,7,2021-08,6
2021-08-08,42.19444444444444,2021,8,8,2021-08,6
2021-08-09,42.666666666666664,2021,8,9,2021-08,6
2021-08-10,38.85138888888889,2021,8,10,2021-08,6
2021-08-11,41.329166666666666,2021,8,11,2021-08,6
2021-08-12,41.455555555555556,2021,8,12,2021-08,6
2021-08-13,41.18472222222223,2021,8,13,2021-08,6
2021-08-14,39.82638888888889,2021,8,14,2021-08,6
2021-08-15,43.831944444444446,2021,8,15,2021-08,6
2021-08-16,39.523611111111116,2021,8,16,2021-08,6
2021-08-17,39.02777777777777,2021,8,17,2021-08,6
2021-08-18,40.197222222222216,2021,8,18,2021-08,6
2021-08-19,41.9625,2021,8,19,2021-08,6
2021-08-20,39.60694444444444,2021,8,20,2021-08,6
2021-08-21,38.06666666666666,2021,8,21,2021-08,6
2021-08-22,37.983333333333334,2021,8,22,2021-08,6
2021-08-23,38.706944444444446,2021,8,23,2021-08,6
2021-08-24,38.022222222222226,2021,8,24,2021-08,6
2021-08-25,38.21388888888889,2021,8,25,2021-08,6
2021-08-26,39.331944444444446,2021,8,26,2021-08,6
2021-08-27,39.979166666666664,2021,8,27,2021-08,6
2021-08-28,40.087500000000006,2021,8,28,2021-08,6
2021-08-29,40.21944444444445,2021,8,29,2021-08,6
2021-08-30,40.14305555555555,2021,8,30,2021-08,6
2021-08-31,40.477777777777774,2021,8,31,2021-08,6
2021-09-01,40.447222222222216,2021,9,1,2021-09,7
2021-09-02,41.04166666666667,2021,9,2,2021-09,7
2021-09-03,40.99583333333334,2021,9,3,2021-09,7
2021-09-04,40.55694444444445,2021,9,4,2021-09,7
2021-09-05,40.92638888888889,2021,9,5,2021-09,7
2021-09-06,40.80138888888889,2021,9,6,2021-09,7
2021-09-07,41.423036398467424,2021,9,7,2021-09,7
2021-09-08,41.07132867132867,2021,9,8,2021-09,7
2021-09-09,39.333333333333336,2021,9,9,2021-09,7
2021-09-10,39.740277777777784,2021,9,10,2021-09,7
2021-09-11,40.263888888888886,2021,9,11,2021-09,7
