Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,60.91755319148936,2021,3,17,2021-03,1
2021-03-18,60.33236714975847,2021,3,18,2021-03,1
2021-03-19,60.307456511767406,2021,3,19,2021-03,1
2021-03-20,66.45744680851065,2021,3,20,2021-03,1
2021-03-21,60.71631205673758,2021,3,21,2021-03,1
2021-03-22,59.638888888888864,2021,3,22,2021-03,1
2021-03-23,59.663817122593706,2021,3,23,2021-03,1
2021-03-24,60.152925531914896,2021,3,24,2021-03,1
2021-03-25,60.628102836879435,2021,3,25,2021-03,1
2021-03-26,59.93897754137116,2021,3,26,2021-03,1
2021-03-27,60.30097517730495,2021,3,27,2021-03,1
2021-03-28,65.58023049645391,2021,3,28,2021-03,1
2021-03-29,60.0449172576832,2021,3,29,2021-03,1
2021-03-30,61.117464539007095,2021,3,30,2021-03,1
2021-03-31,60.77231087470451,2021,3,31,2021-03,1
2021-04-01,60.41518912529551,2021,4,1,2021-04,2
2021-04-02,60.17109929078014,2021,4,2,2021-04,2
2021-04-03,59.82594562647754,2021,4,3,2021-04,2
2021-04-04,61.08643617021278,2021,4,4,2021-04,2
2021-04-05,59.70138888888891,2021,4,5,2021-04,2
2021-04-06,59.951241134751776,2021,4,6,2021-04,2
2021-04-07,60.081117021276626,2021,4,7,2021-04,2
2021-04-08,60.69193262411349,2021,4,8,2021-04,2
2021-04-09,60.59278959810875,2021,4,9,2021-04,2
2021-04-10,60.1781914893617,2021,4,10,2021-04,2
2021-04-11,59.87544326241135,2021,4,11,2021-04,2
2021-04-12,61.46108031165718,2021,4,12,2021-04,2
2021-04-13,62.36199763593379,2021,4,13,2021-04,2
2021-04-14,59.82830969267139,2021,4,14,2021-04,2
2021-04-15,60.165189125295505,2021,4,15,2021-04,2
2021-04-16,60.568114657210415,2021,4,16,2021-04,2
2021-04-17,65.95463947990545,2021,4,17,2021-04,2
2021-04-18,59.83614066193853,2021,4,18,2021-04,2
2021-04-19,60.11273640661939,2021,4,19,2021-04,2
2021-04-20,59.92819148936168,2021,4,20,2021-04,2
2021-04-21,60.001477541371166,2021,4,21,2021-04,2
2021-04-22,60.290189125295505,2021,4,22,2021-04,2
2021-04-23,60.24822695035461,2021,4,23,2021-04,2
2021-04-24,60.24349881796691,2021,4,24,2021-04,2
2021-04-25,60.70833333333333,2021,4,25,2021-04,2
2021-04-26,60.64273049645389,2021,4,26,2021-04,2
2021-04-27,60.254284869976345,2021,4,27,2021-04,2
2021-04-28,62.06693262411348,2021,4,28,2021-04,2
2021-04-29,64.22340425531914,2021,4,29,2021-04,2
2021-04-30,60.15469858156029,2021,4,30,2021-04,2
2021-05-01,60.60764870472317,2021,5,1,2021-05,3
2021-05-02,59.86938534278961,2021,5,2,2021-05,3
2021-05-03,59.77231087470449,2021,5,3,2021-05,3
2021-05-04,60.22591607565011,2021,5,4,2021-05,3
2021-05-05,64.66149527186764,2021,5,5,2021-05,3
2021-05-06,59.503398345153684,2021,5,6,2021-05,3
2021-05-07,62.60992907801416,2021,5,7,2021-05,3
2021-05-08,60.834219858156025,2021,5,8,2021-05,3
2021-05-09,60.06368203309694,2021,5,9,2021-05,3
